onset	duration	trial_type
3.5	1.5	go-critical
5.5	1.5	succesful stop
7.875	1.5	go-critical
10.75	1.5	go-critical
13.125	1.5	go-critical
15.875	1.5	junk
18.25	1.5	failed stop - critical
20.75	1.5	go-noncritical
23.0	1.5	go-noncritical
25.625	1.5	go-noncritical
29.875	1.5	go-critical
32.125	1.5	go-noncritical
34.25	1.5	go-critical
37.875	1.5	failed stop - noncritical
40.25	1.5	failed stop - noncritical
42.375	1.5	go-critical
45.25	1.5	failed stop - noncritical
47.375	1.5	go-noncritical
50.0	1.5	go-noncritical
53.0	1.5	go-noncritical
55.5	1.5	go-noncritical
57.875	1.5	go-critical
60.0	1.5	go-noncritical
64.25	1.5	go-critical
68.75	1.5	failed stop - critical
72.25	1.5	go-critical
75.375	1.5	go-noncritical
79.875	1.5	failed stop - noncritical
82.375	1.5	go-critical
84.875	1.5	go-critical
87.125	1.5	succesful stop
90.5	1.5	go-noncritical
92.875	1.5	go-noncritical
95.0	1.5	go-critical
97.0	1.5	go-critical
99.875	1.5	failed stop - noncritical
102.625	1.5	succesful stop
106.125	1.5	go-noncritical
108.5	1.5	failed stop - critical
110.5	1.5	failed stop - noncritical
115.875	1.5	go-critical
118.75	1.5	go-noncritical
121.0	1.5	go-noncritical
123.0	1.5	go-critical
126.75	1.5	go-critical
128.75	1.5	go-noncritical
132.25	1.5	go-critical
135.0	1.5	go-critical
139.25	1.5	go-critical
141.25	1.5	go-noncritical
144.25	1.5	go-noncritical
147.625	1.5	go-critical
150.625	1.5	go-noncritical
154.75	1.5	junk
160.0	1.5	go-critical
162.0	1.5	failed stop - critical
164.125	1.5	succesful stop
166.75	1.5	go-noncritical
168.75	1.5	go-critical
172.375	1.5	failed stop - noncritical
174.625	1.5	go-noncritical
180.0	1.5	go-noncritical
183.25	1.5	go-critical
186.25	1.5	go-critical
188.5	1.5	go-critical
191.375	1.5	succesful stop
193.375	1.5	go-critical
195.375	1.5	go-noncritical
197.375	1.5	failed stop - noncritical
201.0	1.5	succesful stop
204.75	1.5	go-noncritical
207.0	1.5	failed stop - noncritical
210.25	1.5	go-critical
212.875	1.5	go-critical
215.125	1.5	go-noncritical
217.75	1.5	go-noncritical
220.125	1.5	go-noncritical
223.0	1.5	go-noncritical
225.0	1.5	go-critical
227.125	1.5	go-critical
229.125	1.5	go-noncritical
233.125	1.5	go-critical
236.625	1.5	failed stop - critical
239.125	1.5	go-noncritical
242.0	1.5	go-noncritical
245.25	1.5	succesful stop
247.25	1.5	go-noncritical
249.625	1.5	go-critical
251.625	1.5	go-critical
253.625	1.5	go-noncritical
255.625	1.5	go-critical
257.625	1.5	go-noncritical
259.875	1.5	go-critical
262.5	1.5	failed stop - noncritical
265.0	1.5	failed stop - noncritical
267.125	1.5	failed stop - noncritical
269.75	1.5	failed stop - critical
271.875	1.5	go-critical
274.125	1.5	go-critical
279.5	1.5	go-critical
281.625	1.5	go-noncritical
284.75	1.5	go-noncritical
286.75	1.5	go-critical
288.75	1.5	go-noncritical
292.875	1.5	go-noncritical
295.125	1.5	failed stop - noncritical
298.0	1.5	go-critical
300.125	1.5	go-noncritical
302.5	1.5	go-noncritical
306.75	1.5	failed stop - critical
309.875	1.5	go-critical
311.875	1.5	go-noncritical
316.25	1.5	go-critical
318.375	1.5	go-critical
321.5	1.5	go-noncritical
326.5	1.5	go-noncritical
328.75	1.5	go-noncritical
330.875	1.5	go-critical
333.0	1.5	go-critical
335.875	1.5	go-noncritical
339.625	1.5	go-noncritical
343.0	1.5	go-critical
345.625	1.5	junk
347.625	1.5	failed stop - noncritical
350.0	1.5	succesful stop
354.125	1.5	failed stop - critical
357.375	1.5	go-critical
