onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.252	1.8984	client_1	5.75	1.875	accept	0	-0.0224
6.252	1.8984	client_1	1.75	5.875	accept	0	-0.3324
11.002	1.8984	client_1	-2.25	-2.125	accept	0	-0.1304
16.752	1.8984	client_1	1.75	1.875	accept	0	-0.1434
21.252	1.8984	client_1	-14.25	5.875	reject	0	1.2436
28.752	1.8984	client_2	-2.25	-4.125	reject	0	-0.0164
40.002	1.8984	client_1	9.75	-6.125	accept	0	0.4766
46.002	1.8984	client_1	-2.25	1.875	accept	0	-0.2624
52.252	1.8984	client_2	5.75	-2.125	accept	0	-0.2774
63.752	1.8984	client_2	-14.25	-6.125	reject	0	0.1266
70.752	1.8984	client_2	13.75	-2.125	accept	0	-0.1584
77.752	1.8984	client_2	13.75	-6.125	accept	0	-0.1774
84.752	1.8984	client_2	-2.25	-2.125	accept	0	1.0456
89.752	1.8984	client_2	-14.25	1.875	reject	0	-0.0614
95.752	1.8984	client_2	13.75	3.875	accept	0	-0.3544
100.502	1.8984	client_2	13.75	-0.125	accept	0	-0.2434
108.252	1.8984	client_2	1.75	-0.125	accept	0	0.1676
113.002	1.8984	client_1	-2.25	-6.125	accept	0	0.1896
118.252	1.8984	client_1	-10.25	-6.125	reject	0	-0.2104
126.502	1.8984	client_2	9.75	1.875	accept	0	-0.1724
133.752	1.8984	client_1	-14.25	1.875	reject	0	-0.2064
142.002	1.8984	client_2	-2.25	3.875	accept	0	-0.1314
146.752	1.8984	client_2	5.75	-4.125	accept	0	-0.0514
152.002	1.8984	client_2	1.75	-6.125	reject	0	0.9486
159.502	1.8984	client_1	13.75	-6.125	accept	0	-0.2104
166.502	1.8984	client_1	1.75	7.875	accept	0	-0.4284
173.502	1.8984	client_1	9.75	-4.125	accept	0	-0.3034
182.752	1.8984	client_1	-6.25	-2.125	reject	0	0.6866
188.502	1.8984	client_1	1.75	-6.125	accept	0	0.2336
194.252	1.8984	client_1	-2.25	-0.125	accept	0	0.9766
204.502	1.8984	client_1	9.75	-2.125	accept	0	0.2856
209.502	1.8984	client_2	1.75	-2.125	accept	0	1.1936
215.252	1.8984	client_1	9.75	5.875	accept	0	-0.0574
225.252	1.8984	client_2	-2.25	-6.125	reject	0	0.2196
229.752	1.8984	client_2	-14.25	-4.125	reject	0	0.1896
236.002	1.8984	client_1	13.75	-0.125	accept	0	-0.1434
245.252	1.8984	client_2	-10.25	5.875	accept	0	-0.2714
253.002	1.8984	client_2	-6.25	-2.125	reject	0	0.0736
260.252	1.8984	client_2	5.75	3.875	accept	0	-0.2864
269.752	1.8984	client_1	-14.25	-2.125	reject	0	-0.1814
275.002	1.8984	client_1	13.75	-4.125	accept	0	-0.5424
281.752	1.8984	client_1	-2.25	3.875	accept	0	-0.4874
288.502	1.8984	client_2	-14.25	7.875	accept	0	0.2536
295.252	1.8984	client_1	1.75	-0.125	accept	0	-0.2204
306.252	1.8984	client_1	5.75	-0.125	accept	0	-0.0974
312.002	1.8984	client_2	-6.25	3.875	accept	0	-0.2384
316.752	1.8984	client_1	-6.25	5.875	accept	0	-0.3844
325.002	1.8984	client_1	-6.25	-6.125	reject	0	0.0916
329.752	1.8984	client_2	-6.25	1.875	accept	0	0.5676
335.752	1.8984	client_2	1.75	3.875	accept	0	-0.3204
341.002	1.8984	client_1	13.75	1.875	accept	0	-0.3944
345.752	1.8984	client_1	-10.25	-2.125	reject	0	-0.1694
350.502	1.8984	client_1	-14.25	-6.125	reject	0	-0.1964
356.002	1.8984	client_1	5.75	-4.125	accept	0	-0.2684
363.502	1.8984	client_2	5.75	5.875	accept	0	-0.3814
368.252	1.8984	client_2	13.75	7.875	accept	0	-0.3824
375.752	1.8984	client_2	-2.25	5.875	accept	0	-0.4504
383.002	1.8984	client_2	1.75	-4.125	accept	0	0.5006
387.502	1.8984	client_2	-6.25	-0.125	accept	0	1.1606
392.252	1.8984	client_2	-10.25	-6.125	reject	0	-0.1164
397.502	1.8984	client_1	-10.25	7.875	accept	0	-0.1904
402.002	1.8984	client_2	1.75	7.875	accept	0	-0.3044
409.002	1.8984	client_1	9.75	7.875	accept	0	-0.3564
414.002	1.8984	client_2	-10.25	-2.125	reject	0	-0.2934
