onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.752	2.9687	-0.3247	0	-15.1875	16.1875	client_2	accept	positive
9.002	2.9687	-0.2947	0	-13.1875	18.1875	client_2	accept	positive
18.502	2.9687	-0.0177	0	10.8125	-20.8125	client_2	reject	positive
25.502	2.9687	-0.0487	0	3.8125	12.1875	client_2	accept	positive
33.002	2.9687	-0.2417	0	23.8125	-1.8125	client_2	reject	positive
41.502	2.9687	0.5243	0	17.8125	-21.8125	client_1	reject	negative
48.502	2.9687	-0.2107	0	6.8125	10.1875	client_1	accept	positive
58.002	2.9687	-0.1197	0	-8.1875	-3.8125	client_2	reject	positive
69.252	2.9687	0.1073	0	13.8125	5.1875	client_2	accept	positive
77.502	2.9687	-0.1807	0	-10.1875	17.1875	client_2	accept	positive
83.252	2.9687	0.0303	0	10.8125	3.1875	client_2	accept	negative
89.002	2.9687	-0.3587	0	19.8125	2.1875	client_1	accept	positive
95.002	2.9687	-0.0327	0	-19.1875	11.1875	client_2	reject	positive
104.752	2.9687	-0.1997	0	-3.1875	9.1875	client_2	accept	negative
110.502	2.9687	-0.4247	0	0.8125	13.1875	client_1	accept	positive
122.502	2.9687	-0.0597	0	-14.1875	7.1875	client_1	accept	positive
135.002	2.9687	-0.2407	0	5.8125	-28.8125	client_2	reject	positive
146.252	2.9687	0.7563	0	12.8125	-16.8125	client_1	reject	negative
152.002	2.9687	0.7443	0	19.8125	0.1875	client_2	reject	positive
160.002	2.9687	-0.1597	0	-18.1875	-4.8125	client_2	reject	positive
166.002	2.9687	-0.0967	0	-6.1875	16.1875	client_2	accept	positive
172.752	2.9687	0.1593	0	23.8125	-1.8125	client_1	accept	positive
179.252	2.9687	0.2693	0	-5.1875	-5.8125	client_1	reject	positive
190.252	2.9687	0.0263	0	0.8125	-23.8125	client_1	reject	positive
202.252	2.9687	-0.2807	0	-4.1875	-18.8125	client_1	reject	positive
210.752	2.9687	-0.3577	0	2.8125	-25.8125	client_1	reject	positive
216.252	2.9687	-0.0387	0	-1.1875	-21.8125	client_1	reject	positive
222.252	2.9687	0.4233	0	-9.1875	2.1875	client_1	reject	negative
228.252	2.9687	-0.1607	0	16.8125	3.1875	client_2	accept	positive
233.752	2.9687	0.0983	0	-5.1875	12.1875	client_2	accept	positive
239.502	2.9687	-0.0427	0	-21.1875	8.1875	client_1	reject	positive
246.752	2.9687	-0.1727	0	-12.1875	5.1875	client_1	accept	positive
256.002	2.9687	0.7483	0	-3.1875	-7.8125	client_1	reject	positive
264.252	2.9687	0.2123	0	-5.1875	-0.8125	client_2	reject	positive
270.252	2.9687	-0.2037	0	3.8125	9.1875	client_1	accept	positive
276.502	2.9687	0.0063	0	-7.1875	16.1875	client_2	accept	positive
282.252	2.9687	-0.2447	0	-22.1875	9.1875	client_1	reject	positive
288.752	2.9687	-0.1677	0	-0.1875	10.1875	client_2	accept	positive
295.752	2.9687	-0.1207	0	-12.1875	-10.8125	client_1	reject	positive
306.752	2.9687	-0.2737	0	-10.1875	-1.8125	client_1	reject	positive
312.502	2.9687	-0.2717	0	17.8125	1.1875	client_1	accept	positive
318.252	2.9687	0.2563	0	14.8125	4.1875	client_2	accept	positive
324.252	2.9687	-0.2857	0	-9.1875	-13.8125	client_1	reject	positive
334.252	2.9687	0.2293	0	-13.1875	13.1875	client_2	accept	negative
342.502	2.9687	0.2033	0	8.8125	-18.8125	client_1	reject	positive
351.002	2.9687	0.5073	0	22.8125	-0.8125	client_2	accept	negative
358.252	2.9687	-0.2137	0	-4.1875	15.1875	client_2	accept	positive
364.252	2.9687	0.5433	0	-6.1875	0.1875	client_1	reject	negative
