onset	duration	temperature	ratings	regulate-up/down
428.216	12.5	45.300000	n/a	n/a
446.233	11.0	n/a	130.000000	n/a
465.463	12.5	44.300000	n/a	n/a
483.496	11.0	n/a	120.000000	n/a
500.732	12.5	46.300000	n/a	n/a
520.759	11.0	n/a	133.000000	n/a
538.992	12.5	45.300000	n/a	n/a
558.006	11.0	n/a	126.000000	n/a
577.236	12.5	42.300000	n/a	n/a
594.239	11.0	n/a	107.000000	n/a
611.474	12.5	43.300000	n/a	n/a
630.488	11.0	n/a	104.000000	n/a
647.724	12.5	45.300000	n/a	n/a
664.743	11.0	n/a	121.000000	n/a
682.976	12.5	43.300000	n/a	n/a
703.004	11.0	n/a	109.000000	n/a
721.236	12.5	46.300000	n/a	n/a
742.245	11.0	n/a	132.000000	n/a
762.472	12.5	42.300000	n/a	n/a
780.505	11.0	n/a	105.000000	n/a
798.738	12.5	44.300000	n/a	n/a
817.768	11.0	n/a	118.000000	n/a
