onset	duration	image_category
12	6	object
18	6	object
24	6	blank
30	6	face
36	6	blank
42	6	face
48	6	scene
54	6	scene
60	6	face
66	6	face
72	6	face
78	6	object
84	6	scene
90	6	scene
96	6	blank
102	6	object
108	6	blank
114	6	scene
120	6	face
126	6	scene
132	6	face
138	6	face
144	6	object
150	6	face
156	6	object
162	6	scene
168	6	object
174	6	scene
180	6	blank
186	6	object
192	6	object
198	6	blank
204	6	object
210	6	object
216	6	face
222	6	blank
228	6	blank
234	6	scene
240	6	scene
246	6	blank
252	6	blank
258	6	face
264	6	blank
270	6	blank
276	6	scene
282	6	object
288	6	face
294	6	scene
