onset	duration	stimulus	product	pleasantness
19.199	2	warning_star	n/a	n/a
21.209	7.522	taste_and_swallow_fm_van	fm_van	6
28.748	22.5	judge_fm_van	fm_van	6
51.248	1.256	rate_fm_van	fm_van	6
55.352	29.14	rinse	n/a	n/a
84.501	2	warning_star	n/a	n/a
86.512	7.522	taste_and_swallow_fm_apr	fm_apr	5
94.035	22.5	judge_fm_apr	fm_apr	5
116.535	1.07	rate_fm_apr	fm_apr	5
120.47	29.14	rinse	n/a	n/a
149.636	2	warning_star	n/a	n/a
151.646	7.522	taste_and_swallow_fc_ole	fc_ole	3
159.185	22.5	judge_fc_ole	fc_ole	3
181.685	2.06	rate_fc_ole	fc_ole	3
186.594	29.14	rinse	n/a	n/a
215.743	2	warning_star	n/a	n/a
217.753	7.522	taste_and_swallow_fc_cap	fc_cap	2
225.276	22.5	judge_fc_cap	fc_cap	2
247.776	2.444	rate_fc_cap	fc_cap	2
253.101	25	rinse	n/a	n/a
297.262	2	warning_star	n/a	n/a
299.272	7.522	taste_and_swallow_fm_neu	fm_neu	4
306.795	22.5	judge_fm_neu	fm_neu	4
329.295	1.941	rate_fm_neu	fm_neu	4
334.102	29.14	rinse	n/a	n/a
363.268	2	warning_star	n/a	n/a
365.278	7.522	taste_and_swallow_fc_peg	fc_peg	1
372.8	22.5	judge_fc_peg	fc_peg	1
395.3	1.239	rate_fc_peg	fc_peg	1
399.403	29.14	rinse	n/a	n/a
428.536	2	warning_star	n/a	n/a
430.547	7.522	taste_and_swallow_fc_cap	fc_cap	2
438.069	22.5	judge_fc_cap	fc_cap	2
460.569	2.73	rate_fc_cap	fc_cap	2
466.164	29.14	rinse	n/a	n/a
495.296	2	warning_star	n/a	n/a
497.307	7.522	taste_and_swallow_fm_van	fm_van	3
504.829	22.5	judge_fm_van	fm_van	3
527.329	2.662	rate_fm_van	fm_van	3
532.84	25	rinse	n/a	n/a
576.983	2	warning_star	n/a	n/a
578.993	7.522	taste_and_swallow_fm_neu	fm_neu	3
586.515	22.5	judge_fm_neu	fm_neu	3
609.015	2.244	rate_fm_neu	fm_neu	3
614.108	29.14	rinse	n/a	n/a
643.257	2	warning_star	n/a	n/a
645.267	7.522	taste_and_swallow_fm_apr	fm_apr	2
652.789	22.5	judge_fm_apr	fm_apr	2
675.289	1.842	rate_fm_apr	fm_apr	2
679.98	29.14	rinse	n/a	n/a
709.129	2	warning_star	n/a	n/a
711.139	7.522	taste_and_swallow_fc_peg	fc_peg	1
718.661	22.5	judge_fc_peg	fc_peg	1
741.161	1.155	rate_fc_peg	fc_peg	1
745.165	29.14	rinse	n/a	n/a
774.314	2	warning_star	n/a	n/a
776.324	7.522	taste_and_swallow_fc_ole	fc_ole	5
783.846	22.5	judge_fc_ole	fc_ole	5
806.346	1.088	rate_fc_ole	fc_ole	5
810.283	25	rinse	n/a	n/a
