onset	duration	stimulus
18.6	3	0cal
20.1	3	rinse
38.3	3	0cal
42.8	3	rinse
60	3	control
61.5	3	rinse
84.6	3	112.5cal
87.1	3	rinse
108.3	3	150
112.8	3	rinse
131	3	150
133.5	3	rinse
156.7	3	control
162.2	3	rinse
180.3	3	control
183.8	3	rinse
205	3	control
209.5	3	rinse
228.6	3	tasteless
241.3	3	150
246.8	3	rinse
264.9	3	tasteless
275.5	3	150
283	3	rinse
303.2	3	150
305.7	3	rinse
322.9	3	0cal
328.4	3	rinse
347.5	3	112.5cal
355	3	rinse
374.2	3	control
376.7	3	rinse
396.9	3	150
400.4	3	rinse
419.5	3	150
421	3	rinse
442.2	3	tasteless
456.9	3	112.5cal
460.4	3	rinse
478.5	3	control
481	3	rinse
499.2	3	tasteless
510.8	3	0cal
513.3	3	rinse
531.5	3	tasteless
543.1	3	112.5cal
544.6	3	rinse
567.8	3	tasteless
581.4	3	112.5cal
585.9	3	rinse
604.1	3	0cal
611.6	3	rinse
634.8	3	112.5cal
640.3	3	rinse
657.4	3	112.5cal
659.9	3	rinse
680.1	3	tasteless
696.7	3	0cal
699.2	3	rinse
720.4	3	control
727.9	3	rinse
745.1	3	0cal
748.6	3	rinse
