onset	duration	block	trial	cond	nBack	delay	category	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt
20	34	1	1	WM	1	0	lexdec	real	11	0	0	0	9	9	0	1	1.164
54	32	1	2	WM	1	0	scene	real	10	1	0	0	8	5	3	0.625	1.063
86	46	1	3	WM	1	0	lexdec	real	17	0	0	0	15	13	2	0.867	1.252
132	44	1	4	WM	1	0	face	real	16	1	0	0	14	13	1	0.929	1.187
176	28	1	5	WM	1	0	face	catch	8	1	0	0	6	6	0	1	0.942
204	50	1	6	WM	1	0	face	real	19	1	0	0	17	14	3	0.824	1.208
254	52	1	7	WM	1	0	scene	real	20	1	0	0	18	14	4	0.778	1.164
306	38	1	8	WM	1	0	lexdec	real	13	0	0	0	11	11	0	1	1.135
344	42	1	9	WM	1	0	face	real	15	1	0	0	13	11	2	0.846	1.09
386	40	1	10	WM	1	0	scene	real	14	1	0	0	12	10	2	0.833	1.138
426	54	1	11	WM	1	0	lexdec	real	21	0	0	0	19	18	1	0.947	0.998
480	36	1	12	WM	1	0	face	real	12	1	0	0	10	8	2	0.8	1.002
516	18	1	13	WM	1	0	lexdec	catch	3	0	0	0	1	1	0	1	0.718
534	48	1	14	WM	1	0	scene	real	18	1	0	0	16	16	0	1	1.177
582	20	1	15	WM	1	0	scene	catch	4	1	0	0	2	2	0	1	0.57
