onset	duration	trialType	correct	stim_file
2	1.0	2.0	1	stim_2.png
18	1.0	5.0	1	stim_5.png
24	1.0	4.0	1	stim_4.png
34	1.0	5.0	1	stim_5.png
50	1.0	3.0	1	stim_3.png
66	1.0	5.0	1	stim_5.png
72	1.0	5.0	1	stim_5.png
78	1.0	4.0	1	stim_4.png
96	1.0	5.0	1	stim_5.png
108	1.0	3.0	1	stim_3.png
114	1.0	2.0	1	stim_2.png
128	1.0	4.0	1	stim_4.png
134	1.0	4.0	1	stim_4.png
144	1.0	2.0	1	stim_2.png
150	1.0	2.0	1	stim_2.png
158	1.0	2.0	1	stim_2.png
166	1.0	5.0	1	stim_5.png
172	1.0	2.0	1	stim_2.png
182	1.0	2.0	1	stim_2.png
190	1.0	4.0	1	stim_4.png
198	1.0	4.0	1	stim_4.png
206	1.0	3.0	1	stim_3.png
220	1.0	5.0	1	stim_5.png
226	1.0	2.0	1	stim_2.png
238	1.0	3.0	1	stim_3.png
250	1.0	5.0	1	stim_5.png
268	1.0	4.0	1	stim_4.png
274	1.0	3.0	1	stim_3.png
288	1.0	4.0	1	stim_4.png
296	1.0	5.0	1	stim_5.png
302	1.0	2.0	1	stim_2.png
312	1.0	4.0	1	stim_4.png
320	1.0	3.0	1	stim_3.png
326	1.0	2.0	1	stim_2.png
340	1.0	5.0	1	stim_5.png
346	1.0	3.0	1	stim_3.png
352	1.0	3.0	1	stim_3.png
364	1.0	3.0	1	stim_3.png
370	1.0	4.0	1	stim_4.png
378	1.0	4.0	1	stim_4.png
396	1.0	4.0	1	stim_4.png
402	1.0	3.0	1	stim_3.png
410	1.0	2.0	1	stim_2.png
428	1.0	2.0	1	stim_2.png
436	1.0	3.0	1	stim_3.png
444	1.0	5.0	1	stim_5.png
450	1.0	5.0	1	stim_5.png
466	1.0	3.0	1	stim_3.png
