onset	duration	trial_type	response_time	correct	stim_file
9.5	1.2	Frequent  	0.7	100	146.png
21.3	1.2	Frequent  	0.6	100	145.png
33.2	1.2	Frequent  	0.5	100	98.png
45.2	1.2	Frequent  	0.7	100	17.png
57.5	1.2	Infrequent	0.8	100	146.png
69.2	1.2	Frequent  	0.6	100	98.png
81.3	1.2	Frequent  	0.8	100	145.png
93.2	1.2	Frequent  	0.7	100	146.png
105.3	1.2	Frequent  	1.1	100	17.png
117.2	1.2	Infrequent	0.7	100	17.png
129.3	1.2	Infrequent	0.6	100	145.png
141.3	1.2	Frequent  	0.7	100	98.png
153.2	1.2	Frequent  	0.7	100	145.png
165.3	1.2	Frequent  	0.7	100	146.png
177.2	1.2	Frequent  	0.5	100	145.png
189.3	1.2	Frequent  	0.8	100	146.png
201.2	1.2	Frequent  	0.6	100	146.png
213.3	1.2	Frequent  	0.8	100	17.png
225.2	1.2	Frequent  	0.7	100	145.png
237.2	1.2	Frequent  	0.8	100	98.png
249.2	1.2	Frequent  	0.7	100	17.png
261.2	1.2	Frequent  	0.5	100	98.png
273.2	1.2	Infrequent	0.6	100	98.png
285.4	1.2	Frequent  	0.7	100	17.png
