onset	duration	trial_type
2.36	0.71	toneCS-
11.65	0.71	toneCS+_shock
12.38	0.5	PhysicalShockOnset
21.42	0.7	toneCS+_shock
22.13	0.5	PhysicalShockOnset
31.68	0.71	toneCS+_shock
40.97	0.71	toneCS+_shock
50.25	0.71	toneCS-
59.54	0.71	toneCS+_shock
60.27	0.5	PhysicalShockOnset
69.31	0.71	toneCS+_shock
78.6	0.69	toneCS+_shock
87.87	0.7	toneCS+_shock
88.59	0.5	PhysicalShockOnset
97.63	0.69	toneCS-
106.9	0.69	toneCS+_shock
116.17	0.7	toneCS+_shock
116.88	0.5	PhysicalShockOnset
125.93	0.7	toneCS-
135.2	0.7	toneCS+_shock
135.91	0.5	PhysicalShockOnset
144.47	0.7	toneCS-
153.74	0.7	toneCS-
163.01	0.69	toneCS+_shock
163.73	0.5	PhysicalShockOnset
172.29	0.69	toneCS+_shock
173	0.5	PhysicalShockOnset
181.56	0.7	toneCS+_shock
190.83	0.7	toneCS+_shock
200.1	0.7	toneCS+_shock
200.81	0.5	PhysicalShockOnset
210.36	0.69	toneCS+_shock
211.07	0.5	PhysicalShockOnset
220.61	0.71	toneCS-
229.9	0.69	toneCS+_shock
230.61	0.5	PhysicalShockOnset
239.17	0.69	toneCS+_shock
248.44	0.7	toneCS-
257.71	0.71	toneCS+_shock
258.44	0.5	PhysicalShockOnset
267.48	0.7	toneCS+_shock
276.76	0.7	toneCS-
286.03	0.7	toneCS+_shock
295.3	0.7	toneCS-
304.57	0.69	toneCS-
313.84	0.69	toneCS-
323.11	0.7	toneCS+_shock
332.38	0.7	toneCS+_shock
