onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
0	0	boostShock	n/a	n/a	n/a	n/a	n/a
0	0	boostShock	n/a	n/a	n/a	n/a	n/a
6.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
9.21	0.6	targetCS+	object	right	left	0.002	incorrect
12.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
15.08	0.6	targetCS-	object	right	right	0.45	correct
21.24	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
23.94	0.6	targetCS+	place	right	right	0.336	correct
28.11	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
30.81	0.6	targetCS+	place	right	right	0.316	correct
35.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
38.66	0.6	targetCS+	place	left	left	0.225	correct
41.84	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
44.55	0.6	targetCS-	object	left	left	0.353	correct
50.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
53.42	0.6	targetCS+	object	left	left	0.292	correct
57.59	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
60.29	0.6	targetCS-	object	right	right	0.324	correct
63.45	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
66.14	0.6	targetCS-	place	right	right	0.303	correct
70.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
72.99	0.6	targetCS+	place	left	left	0.42	correct
79.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
81.87	0.6	targetCS+	object	right	right	0.447	correct
87.02	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
89.72	0.6	targetCS+	object	left	left	0.338	correct
94.89	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
97.59	0.6	targetCS+	object	left	left	0.393	correct
100.75	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
103.44	0.6	targetCS-	object	left	left	0.481	correct
109.62	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
112.32	0.6	targetCS-	object	left	left	0.332	correct
116.47	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
119.17	0.6	targetCS-	object	right	right	0.665	correct
122.8	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
136.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
138.86	0.6	targetCS-	place	left	left	0.414	correct
143.04	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
145.75	0.6	targetCS+	object	right	right	0.4	correct
150.92	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
153.62	0.6	targetCS+	place	left	left	0.394	correct
156.79	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
159.49	0.6	targetCS-	object	left	left	0.327	correct
163.66	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
166.36	0.6	targetCS-	place	right	right	0.262	correct
171.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
174.23	0.6	targetCS+	place	right	right	0.446	correct
180.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
183.1	0.6	targetCS+	object	left	left	0.282	correct
186.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
188.97	0.6	targetCS+	place	left	left	0.515	correct
195.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
197.94	0.6	targetCS-	place	right	right	0.389	correct
203.12	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
205.81	0.6	targetCS-	place	left	left	0.322	correct
208.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
211.68	0.6	targetCS-	place	right	right	0.528	correct
215.98	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
218.69	0.6	targetCS-	object	right	right	0.358	correct
221.84	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
224.54	0.6	targetCS+	object	right	right	0.396	correct
229.72	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
232.41	0.6	targetCS-	place	left	right	0.322	incorrect
238.57	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
241.27	0.6	targetCS+	place	right	right	0.371	correct
245.44	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
248.14	0.6	targetCS-	place	left	left	0.438	correct
