onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
15.505346073	3.0	Word	encoding	if	0.9	0.0	NaN	0.4279664549994777	0	0	0
21.007343775	3.0	Word	marking	if	0.9	0.0	NaN	0.4279664549994777	1	0	0
28.008278072	3.0	Word	encoding	is	0.6	0.0	NaN	0.5102469940002266	0	1	0
32.533071686	3.0	Word	marking	is	0.6	0.0	NaN	0.5102469940002266	0	1	0
42.015552032	3.0	Word	encoding	me	0.74	0.724669603524229	2.4677471539998805	0.4996297749994483	0	0	0
46.033441795	3.0	Word	marking	me	0.74	0.724669603524229	2.4677471539998805	0.4996297749994483	0	0	0
53.516038102	3.0	Word	encoding	do	0.65	0.0	NaN	0.37489415499931056	0	0	0
57.500390625	3.0	Word	marking	do	0.65	0.0	NaN	0.37489415499931056	1	0	0
64.507159557	3.0	Word	encoding	as	0.07	0.07709251101321586	2.4775872390000586	0.3884461640000154	0	0	0
70.51758715	3.0	Word	marking	as	0.07	0.07709251101321586	2.4775872390000586	0.3884461640000154	0	0	0
77.518375327	3.0	Word	encoding	or	0.11	0.11013215859030837	1.7722448049999002	0.5806338200000027	0	0	0
80.51778838	3.0	Word	marking	or	0.11	0.11013215859030837	1.7722448049999002	0.5806338200000027	0	0	0
86.516117548	3.0	Word	encoding	ox	0.21	0.21585903083700442	2.410941833999459	0.7296183549997295	0	0	0
90.510646506	3.0	Word	marking	ox	0.21	0.21585903083700442	2.410941833999459	0.7296183549997295	0	0	0
99.003805833	3.0	Word	encoding	so	0.77	0.7775330396475771	2.4674150589999044	0.5750885049992576	0	0	0
103.501791566	3.0	Word	marking	so	0.77	0.7775330396475771	2.4674150589999044	0.5750885049992576	0	0	0
111.007010273	3.0	Word	encoding	am	0.28	0.28854625550660795	2.409698393999861	0.5907149049999134	0	0	0
114.518719111	3.0	Word	marking	am	0.28	0.28854625550660795	2.409698393999861	0.5907149049999134	0	0	0
121.004748403	3.0	Word	encoding	he	0.03	0.011013215859030838	2.2305401539997547	0.4464582390000942	0	0	0
125.527216587	3.0	Word	marking	he	0.03	0.011013215859030838	2.2305401539997547	0.4464582390000942	0	0	0
133.518003493	3.0	Word	encoding	of	0.98	0.9823788546255506	2.2780250039995735	0.3968931049994353	0	0	0
