onset	duration	event_type
1.1227080822	1.0797751623277096	type2_color3_cuep
6.9563691616	3	type2_color3_searchp
11.0562930107	1.847849797422291	type2_color2_cuep
17.6730279922	3	type2_color2_searchp
21.7061800957	1.0	type3_color5_cuep
27.9730529785	3	type3_color5_searchp
32.006469965	1.3593563908785256	type3_color5_cuep
37.6233391762	3	type3_color5_searchp
41.6563491821	1.0797751623277096	type1_color2_cuep
47.4732379913	3	type1_color2_searchp
51.5064930916	1.7113283041617808	type2_color5_cuep
56.6900250912	3	type2_color5_searchp
60.723181963	1.0797751623277096	type3_color1_cuep
67.6567151546	3	type3_color1_searchp
71.6900501251	1.4677992676220695	type2_color2_cuep
80.240375042	3	type2_color2_searchp
84.2734820843	1.5848931924611136	type1_color5_cuep
93.0903999805	3	type1_color5_searchp
97.1236031055	1.4677992676220695	type2_color1_cuep
105.0904321671	3	type2_color1_searchp
109.1236181259	1.0	type1_color4_cuep
112.9571590424	3	type1_color4_searchp
116.990309	1.847849797422291	type3_color4_cuep
124.4405961037	3	type3_color4_searchp
128.5072500706	1.5848931924611136	type1_color3_cuep
135.3573629856	3	type1_color3_searchp
139.390609026	1.4677992676220695	type1_color4_cuep
143.4073979855	3	type1_color4_searchp
147.4407429695	1.7113283041617808	type2_color3_cuep
155.640843153	3	type2_color3_searchp
159.7240970135	1.9952623149688795	type1_color1_cuep
166.0077021122	3	type1_color1_searchp
170.0408940315	1.1659144011798317	type1_color3_cuep
176.8576481342	3	type1_color3_searchp
180.9575481415	1.1659144011798317	type3_color2_cuep
187.3911170959	3	type3_color2_searchp
191.42436409	1.0	type3_color4_cuep
195.90797019	3	type3_color4_searchp
200.0077769756	1.9952623149688795	type1_color5_cuep
207.5579361916	3	type1_color5_searchp
211.5912101269	1.7113283041617808	type3_color3_cuep
219.141379118	3	type3_color3_searchp
223.1746351719	1.2589254117941673	type1_color1_cuep
227.5581459999	3	type1_color1_searchp
231.5913760662	1.1659144011798317	type2_color4_cuep
237.5083491802	3	type2_color4_searchp
241.5414631367	1.2589254117941673	type2_color1_cuep
247.0749461651	3	type2_color1_searchp
251.1081969738	1.847849797422291	type1_color2_cuep
255.7916741371	3	type1_color2_searchp
259.8916311264	1.9952623149688795	type3_color3_cuep
264.7251551151	3	type3_color3_searchp
268.7583141327	1.2589254117941673	type3_color2_cuep
275.8751471043	3	type3_color2_searchp
279.9084429741	1.3593563908785256	type2_color5_cuep
284.3918981552	3	type2_color5_searchp
288.4251949787	1.3593563908785256	type2_color4_cuep
296.5086550713	3	type2_color4_searchp
300.5419530869	1.5848931924611136	type3_color1_cuep
305.958782196	3	type3_color1_searchp
