onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	454	22
12.0	0.5	3	1	1	1	466	17
21.0	0.5	3	1	1	1	482	25
27.0	0.5	6	2	2	1	537	22
33.0	0.5	1	1	1	1	569	1
45.0	0.5	2	1	1	1	635	9
51.0	0.5	3	1	1	1	496	26
61.0	0.5	6	2	2	1	669	25
66.0	0.5	2	1	1	1	585	10
76.0	0.5	3	1	1	1	546	24
86.0	0.5	6	2	2	1	523	17
93.0	0.5	1	1	1	1	551	2
98.0	0.5	4	2	1	0	608	1
110.0	0.5	3	1	1	1	698	21
117.0	0.5	5	2	2	1	627	9
129.0	0.5	6	2	2	1	587	26
141.0	0.5	1	1	1	1	831	4
150.0	0.5	3	1	1	1	690	27
162.0	0.5	1	1	1	1	605	7
170.0	0.5	5	2	2	1	725	10
179.0	0.5	4	2	2	1	510	2
190.0	0.5	3	1	1	1	779	32
198.0	0.5	6	2	2	1	589	24
209.0	0.5	3	1	1	1	693	23
214.0	0.5	6	2	2	1	559	21
219.0	0.5	2	1	1	1	647	13
231.0	0.5	3	1	1	1	801	28
243.0	0.5	6	2	2	1	694	23
255.0	0.5	4	2	2	1	608	4
264.0	0.5	1	1	1	1	668	5
271.0	0.5	6	2	2	1	658	27
282.0	0.5	6	2	2	1	549	32
292.0	0.5	2	1	2	0	554	16
301.0	0.5	4	2	2	1	907	7
307.0	0.5	3	1	1	1	664	31
315.0	0.5	5	2	2	1	550	13
320.0	0.5	1	1	1	1	822	8
330.0	0.5	3	1	1	1	666	30
341.0	0.5	2	1	1	1	659	14
346.0	0.5	6	2	2	1	670	28
355.0	0.5	4	2	2	1	541	5
362.0	0.5	6	2	2	1	544	30
370.0	0.5	3	1	1	1	639	18
376.0	0.5	4	2	2	1	732	8
381.0	0.5	2	1	1	1	516	15
392.0	0.5	5	2	2	1	646	16
403.0	0.5	5	2	2	1	528	14
413.0	0.5	6	2	2	1	561	31
420.0	0.5	1	1	1	1	448	6
431.0	0.5	3	1	1	1	555	29
440.0	0.5	3	1	1	1	552	20
451.0	0.5	5	2	2	1	585	15
457.0	0.5	3	1	1	1	727	19
462.0	0.5	6	2	2	1	582	20
468.0	0.5	2	1	1	1	591	12
475.0	0.5	6	2	2	1	655	29
485.0	0.5	1	1	1	1	609	3
491.0	0.5	6	2	2	1	452	18
500.0	0.5	4	2	2	1	583	6
510.0	0.5	6	2	2	1	680	19
518.0	0.5	2	1	1	1	672	11
526.0	0.5	4	2	2	1	508	3
534.0	0.5	5	2	2	1	546	12
542.0	0.5	5	2	2	1	464	11
