onset	duration	trial_num	item_name	bid	RT
0	4.651	1	GumiWine2	2.73333333333	4651
4.651	4.069	2	HispusimShatiah	7.51111111111	4069
8.72	6.258	3	SkittlesSour4	8.17777777778	6258
14.978	3.421	4	KifkefMaklot2	1.2	3421
18.399	3.769	5	ChocolateParaSucariotKoftzot2	0.688888888889	3769
22.168	3.304	6	Mars	2.71111111111	3304
25.472	3.037	7	ClickXLbrown4	3.13333333333	3037
28.509	4.137	8	BisliGrill	4.22222222222	4137
32.646	3.234	9	Smarties	0.355555555556	3234
35.88	2.92	10	Twist	0.6	2920
38.8	5.188	11	WerthersOriginal	2.75555555556	5188
43.988	3.02	12	Taami	2.77777777778	3020
47.008	2.62	13	BisliBbq	4.82222222222	2620
49.628	3.571	14	DoritosGrill	6.51111111111	3571
53.199	3.121	15	BambaNugat	3.71111111111	3121
56.32	4.138	16	HappyHippo	5.8	4138
60.458	3.719	17	Twix	7.66666666667	3719
64.177	3.054	18	ClickBisquit2	3.17777777778	3054
67.231	4.153	19	Kitkat	6.42222222222	4153
71.384	2.987	20	BisliPizza3	2.24444444444	2987
74.371	3.118	21	Keifli	2.15555555556	3118
77.489	8.545	22	Egozi	2.82222222222	8545
86.034	5.238	23	GumiSnakes3	7.53333333333	5238
91.272	3.404	24	KinderJoy	1.17777777778	3404
94.676	3.435	25	PesekZman	0.577777777778	3435
98.111	2.736	26	BisliOnion	0.733333333333	2736
100.847	3.351	27	ClickBalls5	0.688888888889	3351
104.198	3.534	28	Apropo	5.42222222222	3534
107.732	4.405	29	KashitSour	7.44444444444	4405
112.137	2.654	30	Cheetos	9.68888888889	2654
114.791	2.768	31	BambaSweet	0.355555555556	2768
117.559	3.838	32	Mentos	8.51111111111	3838
121.397	4.287	33	SkittlesFruits2	5.95555555556	4287
125.684	3.502	34	KinderBuenoWhite2	1.62222222222	3502
129.186	2.787	35	BagaleShtuhim	9.15555555556	2787
131.973	3.771	36	ClickBlackWhite3	1.6	3771
135.744	3.769	37	BabyDoll	6.55555555556	3769
139.513	4.438	38	Tortit	0.666666666667	4438
143.951	2.92	39	CrunchShokoVanil	0.733333333333	2920
146.871	2.787	40	ChocolateParaCookies5	4.24444444444	2787
149.658	2.634	41	Mekupelet	1.75555555556	2634
152.292	3.339	42	CrunchBisquitWhite2	1.22222222222	3339
155.631	4.253	43	Hit	0.533333333333	4253
159.884	5.839	44	DoritosNatural	6.37777777778	5839
165.723	4.586	45	Tapuchips	3.82222222222	4586
170.309	4.841	46	Bamba	3.82222222222	4841
175.15	5.187	47	Loacker	5.44444444444	5187
180.337	5.506	48	ClickXLwhite4	2.2	5506
185.843	3.068	49	CrunchBisquitBrown3	2.13333333333	3068
188.911	4.138	50	Tictac	0.6	4138
193.049	5.056	51	Bounty	4.2	5056
198.105	4.703	52	KinderBuenoBrown3	2.22222222222	4703
202.808	3.572	53	DoritosSourSpicy	6.33333333333	3572
206.38	3.753	54	Snickers	7.53333333333	3753
210.133	8.576	55	ChocolateParaMarir2	4.91111111111	8576
218.709	3.603	56	Shugi	1.08888888889	3603
222.312	10.744	57	Halva2	2.77777777778	10744
233.056	9.777	58	Dubonim	6.35555555556	9777
242.833	2.737	59	ChocolateParaMilk3	0.577777777778	2737
245.57	4.17	60	Popco	3.24444444444	4170
