onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
686.8727	1	687.8923	Mekupelet	42	0	0	NaN	NaN
689.8593	1	690.8968	Dubonim	14	1	1	650.0672	1051.827
693.8638	1	694.8833	Loacker	18	0	1	NaN	NaN
695.8661	1	696.8849	KinderJoy	47	0	0	NaN	NaN
697.8683	1	698.8872	PesekZman	56	0	0	NaN	NaN
701.8562	1	702.8904	KinderBuenoWhite2	43	1	0	583.4112	879.2978
703.8583	1	704.8769	Snickers	7	0	1	NaN	NaN
708.864	1	709.8984	SkittlesFruits2	16	1	1	600.0535	779.2725
710.8662	1	711.8846	SkittlesSour4	4	0	1	NaN	NaN
713.8525	1	714.8708	BabyDoll	10	0	1	NaN	NaN
716.8563	1	717.8742	ChocolateParaCookies5	22	0	1	NaN	NaN
720.8607	1	721.8978	HispusimShatiah	8	1	1	616.7217	831.7951
723.8641	1	724.8824	ClickXLwhite4	39	0	0	NaN	NaN
725.8664	1	726.8848	DoritosSourSpicy	15	0	1	NaN	NaN
728.8528	1	729.8894	Shugi	48	1	0	600.0473	973.8735
732.8575	1	733.8919	KashitSour	9	1	1	633.3849	929.3983
735.8609	1	736.879	CrunchBisquitBrown3	41	0	0	NaN	NaN
737.8631	1	738.8812	Mentos	3	0	1	NaN	NaN
739.8654	1	740.8839	ChocolateParaMarir2	20	0	1	NaN	NaN
744.8543	1	745.8911	Twist	54	1	0	616.7184	835.5917
748.8587	1	749.8951	BisliOnion	49	1	0	633.3748	937.6503
752.8632	1	753.8828	Twix	5	0	1	NaN	NaN
758.8529	1	759.8712	CrunchBisquitWhite2	45	0	0	NaN	NaN
760.8556	1	761.8744	Kitkat	12	0	1	NaN	NaN
762.8579	1	763.8924	KifkefMaklot2	46	1	0	650.0464	956.6135
764.8601	1	765.8788	DoritosNatural	13	0	1	NaN	NaN
766.8623	1	767.9004	DoritosGrill	11	1	1	650.0506	1002.496
770.8668	1	771.8851	Keifli	40	0	0	NaN	NaN
772.869	1	773.8876	BisliBbq	21	0	1	NaN	NaN
776.8568	1	777.8752	ChocolateParaMilk3	57	0	0	NaN	NaN
778.859	1	779.877	Apropo	19	0	1	NaN	NaN
780.8612	1	781.8793	ClickBlackWhite3	44	0	0	NaN	NaN
782.8635	1	783.8816	Tictac	55	0	0	NaN	NaN
787.8691	1	788.8875	Tortit	53	0	0	NaN	NaN
789.8547	1	790.8729	GumiSnakes3	6	0	1	NaN	NaN
791.8569	1	792.8753	CrunchShokoVanil	50	0	0	NaN	NaN
794.8605	1	795.8795	ClickBalls5	52	0	0	NaN	NaN
801.8682	1	802.9047	HappyHippo	17	1	1	600.0525	816.8976
805.856	1	806.8753	Hit	58	0	0	NaN	NaN
812.8638	1	813.9165	ChocolateParaSucariotKoftzot2	51	1	0	666.7139	914.2347
