onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	1.111	3
15	1	1	2	1	1	2	1.213	2
18	1	1	3	1	2	2	1.019	1
21	1	1	4	1	1	1	0.779	3
24	1	1	5	1	1	2	1.092	2
27	1	1	6	1	2	1	0.87	1
30	1	1	7	1	1	1	1.041	2
33	1	1	8	1	2	2	1.21	3
36	1	1	9	1	2	1	0.939	1
39	1	1	10	1	1	1	0.906	2
42	1	1	11	1	2	2	0.833	3
45	1	1	12	1	1	2	1.1	4
63	1	2	1	2	1	2	0.892	3
66	1	2	2	2	1	2	0.718	2
69	1	2	3	2	1	1	0.731	3
72	1	2	4	2	2	1	0.854	4
75	1	2	5	2	2	1	0.929	4
78	1	2	6	2	2	1	0.879	3
81	1	2	7	2	1	1	0.722	2
84	1	2	8	2	1	1	1.185	2
87	1	2	9	2	2	2	0.794	3
90	1	2	10	2	2	2	1.132	4
93	1	2	11	2	2	2	0.971	3
96	1	2	12	2	1	2	1.106	2
114	1	3	1	1	2	2	0.716	2
117	1	3	2	1	1	2	0.71	3
120	1	3	3	1	1	1	0.856	2
123	1	3	4	1	1	2	0.743	3
126	1	3	5	1	1	1	0.743	4
129	1	3	6	1	2	2	1.574	3
132	1	3	7	1	1	1	1.018	3
135	1	3	8	1	2	1	0.993	3
138	1	3	9	1	1	2	0.872	2
141	1	3	10	1	2	1	0.956	1
144	1	3	11	1	2	1	0.638	1
147	1	3	12	1	2	2	0.488	2
165	1	4	1	2	1	2	1.059	4
168	1	4	2	2	2	1	0.767	3
171	1	4	3	2	1	1	0.657	2
174	1	4	4	2	2	2	0.852	3
177	1	4	5	2	1	1	0.687	3
180	1	4	6	2	2	2	0.842	2
183	1	4	7	2	2	2	1.118	2
186	1	4	8	2	1	1	1.125	1
189	1	4	9	2	1	2	0.688	1
192	1	4	10	2	2	1	1.056	3
195	1	4	11	2	1	2	1.216	2
198	1	4	12	2	2	1	1.034	3
