onset	duration	trial_type	image_number	presented_calories	actual_calories	text	food_rating
10	2.5	calorie image	0021.jpg	260	310.4	260 calories	3
15	2.5	calorie image	0117.jpg	180	183.26	180 calories	3
17.5	2.5	calorie image	0145.jpg	370	430	370 calories	3
20	2.5	calorie image	0248.jpg	20	24.6	20 calories	4
22.5	2.5	calorie image	0476.jpg	380	383	380 calories	2
25	2.5	calorie image	0086.jpg	750	652	750 calories	1
30	2.5	calorie image	0062.jpg	190	189	190 calories	2
32.5	2.5	calorie image	0425.jpg	380	450	380 calories	4
35	2.5	calorie image	0503.jpg	610	530	610 calories	3
37.5	2.5	calorie image	0281.jpg	80	71	80 calories	4
40	2.5	calorie image	0026.jpg	180	183.26	180 calories	2
42.5	2.5	calorie image	0116.jpg	310	270	310 calories	3
45	2.5	calorie image	0041.jpg	190	227	190 calories	2
47.5	2.5	calorie image	0294.jpg	20	21	20 calories	3
52.5	2.5	calorie image	0089.jpg	470	413	470 calories	2
55	2.5	calorie image	0445.jpg	760	755	760 calories	3
57.5	2.5	calorie image	0440.jpg	520	520	520 calories	4
60	2.5	calorie image	0405.jpg	500	500	500 calories	1
67.5	2.5	calorie image	0407.jpg	630	630	630 calories	1
75	2.5	calorie image	0453.jpg	680	590	680 calories	4
77.5	2.5	calorie image	0493.jpg	450	450	450 calories	2
80	2.5	calorie image	0193.jpg	80	96.72	80 calories	2
82.5	2.5	calorie image	0419.jpg	250	250	250 calories	2
92.5	2.5	calorie image	0489.jpg	290	340	290 calories	4
95	2.5	calorie image	0094.jpg	390	340	390 calories	2
100	2.5	calorie image	0136.jpg	180	217	180 calories	2
105	2.5	calorie image	0433.jpg	280	280	280 calories	4
110	2.5	calorie image	0138.jpg	190	185	190 calories	3
112.5	2.5	calorie image	0066.jpg	500	499.5	500 calories	1
115	2.5	calorie image	0486.jpg	660	779	660 calories	1
122.5	2.5	calorie image	0458.jpg	160	160	160 calories	2
130	2.5	calorie image	0199.jpg	60	51	60 calories	4
132.5	2.5	calorie image	0474.jpg	680	595	680 calories	1
135	2.5	calorie image	0435.jpg	250	250	250 calories	2
140	2.5	calorie image	0174.jpg	550	545	550 calories	2
142.5	2.5	calorie image	0292.jpg	150	151.8	150 calories	3
147.5	2.5	calorie image	0438.jpg	410	360	410 calories	1
150	2.5	calorie image	0159.jpg	210	244	210 calories	3
152.5	2.5	calorie image	0449.jpg	790	690	790 calories	2
155	2.5	calorie image	0456.jpg	750	750	750 calories	2
157.5	2.5	calorie image	0477.jpg	370	430	370 calories	3
160	2.5	calorie image	0279.jpg	110	105	110 calories	2
162.5	2.5	calorie image	0155.jpg	140	122	140 calories	2
165	2.5	calorie image	0255.jpg	40	40.5	40 calories	1
172.5	2.5	calorie image	0058.jpg	310	360	310 calories	1
177.5	2.5	calorie image	0479.jpg	690	602	690 calories	2
182.5	2.5	calorie image	0287.jpg	300	260	300 calories	2
190	2.5	calorie image	0466.jpg	90	110	90 calories	4
195	2.5	calorie image	0186.jpg	110	97.16	110 calories	1
197.5	2.5	calorie image	0056.jpg	280	330	280 calories	2
200	2.5	calorie image	0295.jpg	200	197	200 calories	3
202.5	2.5	calorie image	0421.jpg	480	420	480 calories	2
205	2.5	calorie image	0001.jpg	400	466.5	400 calories	2
210	2.5	calorie image	0446.jpg	720	715	720 calories	1
215	2.5	calorie image	0451.jpg	480	480	480 calories	3
217.5	2.5	calorie image	0006.jpg	400	396	400 calories	2
220	2.5	calorie image	0005.jpg	90	88.02	90 calories	2
222.5	2.5	calorie image	0488.jpg	420	420	420 calories	2.197740113
225	2.5	calorie image	0161.jpg	210	209.658	210 calories	3
227.5	2.5	calorie image	0482.jpg	240	210	240 calories	1
232.5	2.5	calorie image	0409.jpg	720	720	720 calories	2
240	2.5	calorie image	0119.jpg	240	206	240 calories	2
245	2.5	calorie image	0426.jpg	630	630	630 calories	2.197740113
247.5	2.5	calorie image	0280.jpg	30	38	30 calories	4
252.5	2.5	calorie image	0495.jpg	150	182	150 calories	2
257.5	2.5	calorie image	0167.jpg	450	530	450 calories	3
260	2.5	calorie image	0072.jpg	360	420	360 calories	1
262.5	2.5	calorie image	0140.jpg	180	182	180 calories	4
265	2.5	calorie image	0083.jpg	300	301.2	300 calories	3
272.5	2.5	calorie image	0168.jpg	150	182	150 calories	2
275	2.5	calorie image	0434.jpg	640	640	640 calories	1
280	2.5	calorie image	0450.jpg	540	630	540 calories	1
282.5	2.5	calorie image	0487.jpg	550	549	550 calories	1
290	2.5	calorie image	0436.jpg	250	290	250 calories	4
292.5	2.5	calorie image	0408.jpg	460	540	460 calories	1
297.5	2.5	calorie image	0308.jpg	70	70	70 calories	2.197740113
300	2.5	calorie image	0401.jpg	360	360	360 calories	2
302.5	2.5	calorie image	0465.jpg	470	410	470 calories	2
305	2.5	calorie image	0085.jpg	1050	910	1050 calories	1
315	2.5	calorie image	0311.jpg	240	242	240 calories	1
317.5	2.5	calorie image	0439.jpg	620	540	620 calories	2
320	2.5	calorie image	0127.jpg	240	243.75	240 calories	1
322.5	2.5	calorie image	0304.jpg	490	428	490 calories	2
325	2.5	calorie image	0017.jpg	1170	1165	1170 calories	1
330	2.5	calorie image	0025.jpg	180	160	180 calories	3
332.5	2.5	calorie image	0500.jpg	670	670	670 calories	1
335	2.5	calorie image	0065.jpg	870	760	870 calories	1
340	2.5	calorie image	0504.jpg	750	650	750 calories	1
