onset	duration	trial_type	correct
4	6.0	CS1	1
16	6.0	MS2	1
26	6.0	CS2	1
36	6.0	MS3	1
48	6.0	MS3	1
58	6.0	MS4	0
68	6.0	MS2	1
80	6.0	MS1	1
94	6.0	CS4	1
106	6.0	MS4	1
116	6.0	CS4	0
130	6.0	MS4	1
140	6.0	MS4	0
156	6.0	CS3	1
166	6.0	MS3	1
176	6.0	MS1	0
186	6.0	CS3	1
196	6.0	MS1	1
206	6.0	CS4	1
218	6.0	MS3	0
228	6.0	CS4	1
240	6.0	CS3	1
250	6.0	MS2	1
260	6.0	CS1	1
270	6.0	MS4	0
280	6.0	MS1	0
292	6.0	CS2	1
304	6.0	CS4	1
316	6.0	CS1	1
326	6.0	CS3	1
340	6.0	CS3	1
352	6.0	CS1	1
362	6.0	MS2	1
374	6.0	CS2	1
384	6.0	MS2	1
394	6.0	MS3	1
404	6.0	CS1	1
418	6.0	MS1	1
428	6.0	CS2	1
438	6.0	CS2	1
