onset	duration	trial_type	correct
4	6.0	CS2	1
18	6.0	MS1	1
30	6.0	CS3	1
44	6.0	MS2	1
56	6.0	MS3	1
68	6.0	MS2	1
78	6.0	MS4	1
90	6.0	MS3	1
100	6.0	CS2	1
110	6.0	MS2	1
120	6.0	MS1	1
130	6.0	MS4	1
140	6.0	MS3	1
150	6.0	MS4	1
162	6.0	CS1	1
172	6.0	MS4	1
182	6.0	CS1	1
192	6.0	CS4	1
202	6.0	CS2	1
216	6.0	CS1	1
226	6.0	MS3	1
236	6.0	MS1	1
246	6.0	CS1	1
256	6.0	MS2	1
268	6.0	CS2	1
278	6.0	CS2	1
288	6.0	CS4	1
298	6.0	CS1	1
312	6.0	CS3	1
322	6.0	MS3	1
338	6.0	MS4	1
352	6.0	CS3	1
362	6.0	CS4	1
372	6.0	MS1	1
382	6.0	CS3	1
394	6.0	CS4	1
404	6.0	MS2	1
414	6.0	CS3	1
426	6.0	MS1	1
436	6.0	CS4	1
