onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
62.4384765625	0	stim-thr	10	63937	n/a	n/a	2.5	0.51288	n/a	n/a
66.3076171875	0	stim-thr	10	67899	n/a	n/a	2.48	1.2269	n/a	n/a
69.3779296875	0	stim-thr	10	71043	n/a	n/a	2.46	1.1645	n/a	n/a
72.46875	0	stim-thr	10	74208	n/a	n/a	2.44	1.0815	n/a	n/a
76.2861328125	0	stim-thr	10	78117	n/a	n/a	2.42	1.7399	n/a	n/a
78.234375	0	stim-thr	10	80112	n/a	n/a	2.4	0.52956	n/a	n/a
81.4814453125	0	stim-thr	10	83437	n/a	n/a	2.38	0.63615	n/a	n/a
84.2353515625	0	stim-thr	10	86257	n/a	n/a	2.36	0.23843	n/a	n/a
89.033203125	0	stim-thr	10	91170	n/a	n/a	2.34	1.8797	n/a	n/a
91.6044921875	0	stim-thr	10	93803	n/a	n/a	2.32	1.2911	n/a	n/a
94.408203125	0	stim-thr	10	96674	n/a	n/a	2.3	0.95893	n/a	n/a
97.8759765625	0	stim-thr	10	100225	n/a	n/a	2.28	1.2786	n/a	n/a
100.84375	0	stim-thr	10	103264	n/a	n/a	2.26	1.0894	n/a	n/a
104.1787109375	0	stim-thr	10	106679	n/a	n/a	2.24	1.2946	n/a	n/a
107.1162109375	0	stim-thr	10	109687	n/a	n/a	2.22	1.0878	n/a	n/a
110.6298828125	0	stim-thr	10	113285	n/a	n/a	2.2	1.4421	n/a	n/a
113.373046875	0	stim-thr	10	116094	n/a	n/a	2.18	1.045	n/a	n/a
117.474609375	0	stim-thr	10	120294	n/a	n/a	2.16	1.9874	n/a	n/a
119.083984375	0	stim-thr	10	121942	n/a	n/a	2.14	0.43735	n/a	n/a
122.0107421875	0	stim-thr	10	124939	n/a	n/a	2.12	0.2116	n/a	n/a
125.1484375	0	stim-thr	10	128152	n/a	n/a	2.1	0.21939	n/a	n/a
128.205078125	0	stim-thr	10	131282	n/a	n/a	2.08	0.12718	n/a	n/a
132.0400390625	0	stim-thr	10	135209	n/a	n/a	2.06	0.80916	n/a	n/a
135.298828125	0	stim-thr	10	138546	n/a	n/a	2.04	0.89675	n/a	n/a
138.2763671875	0	stim-thr	10	141595	n/a	n/a	2.02	0.73163	n/a	n/a
142.2294921875	0	stim-thr	10	145643	n/a	n/a	2	1.527	n/a	n/a
145.125	0	stim-thr	10	148608	n/a	n/a	1.98	1.2558	n/a	n/a
148.580078125	0	stim-thr	10	152146	n/a	n/a	1.96	1.544	n/a	n/a
152.052734375	0	stim-thr	10	155702	n/a	n/a	1.94	1.8657	n/a	n/a
155.2978515625	0	stim-thr	10	159025	n/a	n/a	1.92	1.9455	n/a	n/a
156.8837890625	0	stim-thr	10	160649	n/a	n/a	1.9	0.38406	n/a	n/a
159.943359375	0	stim-thr	10	163782	n/a	n/a	1.88	0.27775	n/a	n/a
164.212890625	0	stim-thr	10	168154	n/a	n/a	1.86	1.3925	n/a	n/a
166.1484375	0	stim-thr	10	170136	n/a	n/a	1.84	0.18764	n/a	n/a
170.1689453125	0	stim-thr	10	174253	n/a	n/a	1.82	1.0508	n/a	n/a
173.306640625	0	stim-thr	10	177466	n/a	n/a	1.8	1.0607	n/a	n/a
177.1015625	0	stim-thr	10	181352	n/a	n/a	1.78	1.7223	n/a	n/a
179.5234375	0	stim-thr	10	183832	n/a	n/a	1.76	0.96971	n/a	n/a
182.50390625	0	stim-thr	10	186884	n/a	n/a	1.74	0.78691	n/a	n/a
186.208984375	0	stim-thr	10	190678	n/a	n/a	1.72	1.3429	n/a	n/a
189.517578125	0	stim-thr	10	194066	n/a	n/a	1.7	1.4825	n/a	n/a
192.2431640625	0	stim-thr	10	196857	n/a	n/a	1.68	1.0401	n/a	n/a
195.0478515625	0	stim-thr	10	199729	n/a	n/a	1.66	0.69543	n/a	n/a
197.8193359375	0	stim-thr	10	202567	n/a	n/a	1.64	0.29999	n/a	n/a
201.8505859375	0	stim-thr	10	206695	n/a	n/a	1.62	1.1722	n/a	n/a
204.375	0	stim-thr	10	209280	n/a	n/a	1.6	0.52429	n/a	n/a
207.1015625	0	stim-thr	10	212072	n/a	n/a	1.58	0.088908	n/a	n/a
211.673828125	0	stim-thr	10	216754	n/a	n/a	1.56	1.5099	n/a	n/a
213.796875	0	stim-thr	10	218928	n/a	n/a	1.54	0.48557	n/a	n/a
217.34765625	0	stim-thr	10	222564	n/a	n/a	1.52	0.8848	n/a	n/a
221.01171875	0	stim-thr	10	226316	n/a	n/a	1.5	1.3756	n/a	n/a
223.4951171875	0	stim-thr	10	228859	n/a	n/a	1.48	0.71846	n/a	n/a
227.3837890625	0	stim-thr	10	232841	n/a	n/a	1.46	1.4727	n/a	n/a
229.85546875	0	stim-thr	10	235372	n/a	n/a	1.44	0.78941	n/a	n/a
233.5849609375	0	stim-thr	10	239191	n/a	n/a	1.42	1.3668	n/a	n/a
236.794921875	0	stim-thr	10	242478	n/a	n/a	1.4	1.4081	n/a	n/a
239.416015625	0	stim-thr	10	245162	n/a	n/a	1.38	0.88461	n/a	n/a
241.71484375	0	stim-thr	10	247516	n/a	n/a	1.36	0.039155	n/a	n/a
245.4921875	0	stim-thr	10	251384	n/a	n/a	1.34	0.66172	n/a	n/a
248.841796875	0	stim-thr	10	254814	n/a	n/a	1.32	0.84862	n/a	n/a
