onset	duration	trial_type	response_time	accuracy
3e-04	2.414	Neutral1	0.697	1
2.4173	2.408	Neutral1	0.575	1
4.8333	2.425	Neutral1	0.559	1
7.2663	2.413	Neutral1	0.414	1
9.6823	2.412	Neutral1	0.462	1
12.0993	2.422	Neutral1	0.405	1
14.5323	2.403	Neutral1	0.42	1
16.9483	2.417	Neutral1	0.484	1
19.3813	2.417	Neutral1	0.451	1
21.8143	2.413	Neutral1	0.497	1
24.2303	2.415	Neutral1	0.449	1
26.6633	2.423	Neutral1	0.624	1
29.0963	2.417	Neutral1	0.551	1
31.5293	2.405	Neutral1	0.438	1
33.9463	2.422	Neutral1	0.389	1
36.3793	2.417	Neutral1	0.484	1
38.8123	2.411	Neutral1	0.395	1
41.2283	2.408	Neutral1	0.458	1
43.6453	2.416	Neutral1	0.449	1
46.0783	2.417	Neutral1	0.4	1
48.5113	2.41	Neutral1	0.343	1
50.9273	2.422	Neutral1	0.439	1
53.3603	2.407	Neutral1	0.358	1
55.7763	2.427	Neutral1	0.478	1
58.2093	2.409	Neutral1	0.509	1
60.6263	2.419	Neutral1	0.452	1
63.0593	2.419	Neutral1	0.386	1
65.4923	2.406	Neutral1	0.473	1
67.9083	2.414	Neutral1	0.481	1
70.3243	2.428	Neutral1	0.529	1
72.7573	2.403	Neutral1	0.52	1
75.1743	2.415	Neutral1	0.415	1
77.5903	2.429	Neutral1	0.463	1
80.0233	2.413	Neutral1	0.43	1
82.4393	2.411	Neutral1	0.478	1
84.8563	2.41	Neutral1	0.46	1
87.2723	2.422	Neutral1	0.372	1
89.7053	2.408	Neutral1	0.475	1
92.1213	2.416	Neutral1	0.499	1
94.5383	2.416	Neutral1	0.466	1
96.9713	2.418	Neutral1	0.385	1
99.4043	2.407	Neutral1	0.424	1
101.8203	2.415	Neutral1	0.432	1
104.2363	2.424	Neutral1	0.591	1
106.6693	2.423	Neutral1	0.374	1
109.1023	2.404	Neutral1	0.421	1
111.5193	2.41	Neutral1	0.444	1
113.9353	2.42	Neutral1	0.42	1
116.3683	2.422	Neutral1	0.339	1
118.8013	2.411	Neutral1	0.394	1
121.2183	2.415	Neutral1	0.449	1
123.6343	2.409	Neutral1	0.36	1
126.0503	2.416	Neutral1	0.4	1
128.4833	2.416	Neutral1	0.367	1
130.9163	2.423	Neutral1	0.39	1
133.3493	2.42	Neutral1	0.437	1
135.7823	2.413	Neutral1	0.396	1
138.1993	2.411	Neutral1	0.611	1
140.6153	2.408	Neutral1	0.459	1
143.0313	2.425	Neutral1	0.459	1
145.4643	2.417	Neutral1	0.401	1
147.8973	2.415	Neutral1	0.416	1
150.3143	2.416	Neutral1	0.383	1
152.7473	2.408	Neutral1	0.358	1
155.1633	2.416	Neutral1	0.35	1
157.5963	2.412	Neutral1	0.413	1
160.0123	2.426	Neutral1	0.477	1
162.4453	2.411	Neutral1	0.444	1
164.8623	2.409	Neutral1	0.426	1
167.2783	2.42	Neutral1	0.354	1
169.7113	2.412	Neutral1	0.329	1
172.1273	1.973	Neutral1	0.457	1
185.1093	2.599	CongMix	0.466	1
187.7253	2.81	IncongMix	0.41	1
190.5423	2.353	IncongMix	0.553	1
192.9083	2.162	CongMix	0.379	1
195.0743	2.735	IncongMix	0.485	1
197.8243	2.365	CongMix	0.399	1
200.1903	2.708	CongMix	0.425	1
202.9073	2.894	IncongMix	0.428	1
205.8063	2.327	IncongMix	0.544	1
208.1393	2.254	CongMix	0.371	1
210.4063	2.712	IncongMix	0.712	1
213.1223	2.444	CongMix	0.444	1
215.5723	2.064	IncongMix	0.498	1
217.6383	1.912	IncongMix	0.496	1
219.5543	1.955	CongMix	0.388	1
221.5213	2.355	IncongMix	0.405	1
223.8873	2.258	CongMix	0.391	1
226.1543	2.804	CongMix	0.371	1
228.9703	2.145	CongMix	0.395	1
231.1203	2.209	IncongMix	0.493	1
233.3363	2.512	IncongMix	0.429	1
235.8523	2.316	CongMix	0.417	1
238.1853	2.68	CongMix	0.364	1
240.8683	2.264	IncongMix	0.497	1
243.1353	2.447	CongMix	0.398	1
245.5843	2.093	CongMix	0.46	1
247.6843	2.741	IncongMix	0.608	1
250.4343	2.383	CongMix	0.45	1
252.8333	2.106	IncongMix	0.523	1
254.9503	2.01	IncongMix	0.51	1
256.9663	2.551	CongMix	0.518	1
259.5323	2.628	CongMix	0.512	1
262.1653	2.248	IncongMix	0.415	1
264.4153	2.881	IncongMix	0.381	1
267.2983	2.169	IncongMix	0.353	0
269.4813	2.871	IncongMix	0.538	1
272.3643	2.823	CongMix	0.407	1
275.1973	2.745	IncongMix	0.462	1
277.9473	2.175	CongMix	0.408	1
280.1303	2.548	CongMix	0.449	1
282.6793	2.579	IncongMix	0.396	1
285.2623	2.221	CongMix	0.388	1
287.4953	2.395	CongMix	0.395	1
289.8953	2.112	CongMix	0.395	1
292.0123	1.934	IncongMix	0.518	1
293.9613	2.887	IncongMix	0.521	1
296.8613	1.963	CongMix	0.413	1
298.8273	2.849	CongMix	0.399	1
301.6773	2.021	CongMix	0.405	1
303.7103	2.63	CongMix	0.38	1
306.3433	2.445	IncongMix	0.378	1
308.7933	2.227	IncongMix	0.56	1
311.0263	2.863	CongMix	0.447	1
313.8923	2.08	CongMix	0.397	1
315.9753	2.275	CongMix	0.442	1
318.2583	2.446	CongMix	0.479	1
320.7083	2.133	IncongMix	0.517	1
322.8573	1.992	IncongMix	0.576	1
324.8573	1.944	IncongMix	0.544	1
326.8073	2.531	CongMix	0.481	1
329.3403	2.558	IncongMix	0.508	1
331.9063	2.118	IncongMix	0.518	1
334.0393	2.902	CongMix	0.369	1
336.9563	2.492	IncongMix	0.492	1
