onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	3	err	0.976	slearn.wav	zurn.bmp
4.819000000000003	4.8	1	err	1.121	treens.wav	smeens.bmp
9.639000000000003	4.4	6	err	0.721	r.wav	s.bmp
14.057000000000002	4.8	5	err	1.469	blackcross.wav	blackcross.bmp
18.877000000000002	4.4	5	err	1.571	blackcross.wav	blackcross.bmp
23.295	4.8	2	err	1.523	clease.wav	prease.bmp
28.115000000000002	4.0	6	err	1.191	m.wav	n.bmp
32.13100000000001	4.8	5	err	1.852	blackcross.wav	blackcross.bmp
36.951	4.4	5	err	1.889	blackcross.wav	blackcross.bmp
41.36900000000001	4.0	4	err	1.812	plear.wav	zour.bmp
45.386	4.8	5	err	1.802	blackcross.wav	blackcross.bmp
50.205000000000005	4.4	3	err	0.843	nerge.wav	yurge.bmp
54.623	4.0	2	err	1.33	spomb.wav	clomb.bmp
58.64000000000001	4.4	5	err	2.048	blackcross.wav	blackcross.bmp
63.058	4.8	5	err	1.686	blackcross.wav	blackcross.bmp
67.87800000000001	4.4	2	err	1.028	zalve.wav	walve.bmp
72.29599999999999	4.4	1	err	1.448	swault.wav	lault.bmp
76.714	4.4	4	err	0.45	learth.wav	plost.bmp
81.132	4.0	4	err	1.307	drose.wav	crange.bmp
85.148	4.4	6	err	1.675	i.wav	j.bmp
89.56700000000001	4.4	5	err	3.072	blackcross.wav	blackcross.bmp
93.98500000000001	4.4	5	err	2.105	blackcross.wav	blackcross.bmp
98.40300000000002	4.8	5	err	1.586	blackcross.wav	blackcross.bmp
103.22300000000001	4.0	1	err	1.303	vearn.wav	glearn.bmp
107.239	4.4	2	err	err	larp.wav	swarp.bmp
111.65700000000001	4.8	3	err	0.943	twapse.wav	praps.bmp
116.477	4.0	1	err	1.188	preash.wav	sleash.bmp
120.49300000000002	4.8	5	err	3.052	blackcross.wav	blackcross.bmp
125.31300000000002	4.4	5	err	0.0	blackcross.wav	blackcross.bmp
129.73100000000002	4.8	5	err	1.568	blackcross.wav	blackcross.bmp
134.55100000000002	4.0	1	err	1.099	slutch.wav	putch.bmp
138.567	4.4	4	err	2.091	sull.wav	trow.bmp
142.985	4.4	5	err	1.581	blackcross.wav	blackcross.bmp
147.404	4.0	6	err	1.336	h.wav	p.bmp
151.42000000000002	4.0	3	err	1.051	glutch.wav	nuch.bmp
155.436	4.8	3	err	0.897	slurl.wav	dirl.bmp
160.256	4.4	4	err	2.652	spouth.wav	zull.bmp
164.674	4.4	5	err	0.0	blackcross.wav	blackcross.bmp
169.092	4.0	4	err	1.188	scose.wav	brost.bmp
173.109	4.8	6	err	1.205	c.wav	u.bmp
177.929	4.8	4	err	2.109	preath.wav	shworth.bmp
182.74800000000002	4.8	2	err	0.0	slour.wav	vour.bmp
187.568	4.4	5	err	1.957	blackcross.wav	blackcross.bmp
191.98600000000002	4.8	2	err	1.519	nouth.wav	scouth.bmp
196.806	4.8	5	err	1.607	blackcross.wav	blackcross.bmp
201.626	4.0	3	err	1.647	nuss.wav	zus.bmp
205.642	4.8	2	err	1.053	grost.wav	nost.bmp
210.46200000000002	4.0	1	err	1.507	crense.wav	nense.bmp
214.478	4.8	2	err	1.363	frood.wav	plood.bmp
219.29800000000003	4.8	4	err	1.546	quarf.wav	ralve.bmp
224.11800000000002	4.0	5	err	2.858	blackcross.wav	blackcross.bmp
228.134	4.0	5	err	0.0	blackcross.wav	blackcross.bmp
232.15099999999998	4.4	6	err	2.071	y.wav	o.bmp
236.569	4.0	4	err	0.0	glough.wav	vown.bmp
240.585	4.0	2	err	1.243	glead.wav	jead.bmp
244.602	4.0	2	err	1.277	meaf.wav	teaf.bmp
248.61800000000002	4.4	5	err	1.738	blackcross.wav	blackcross.bmp
253.03600000000003	4.0	2	err	1.238	crove.wav	swove.bmp
257.053	4.0	6	err	1.392	k.wav	t.bmp
261.06899999999996	4.0	5	err	1.785	blackcross.wav	blackcross.bmp
265.08599999999996	4.8	6	err	1.535	j.wav	b.bmp
269.906	4.0	5	err	1.868	blackcross.wav	blackcross.bmp
273.92199999999997	4.4	6	err	1.503	l.wav	d.bmp
278.34	4.8	4	err	1.082	strough.wav	wouth.bmp
283.15999999999997	4.4	1	err	0.836	treal.wav	cheal.bmp
287.578	4.0	5	err	1.497	blackcross.wav	blackcross.bmp
291.594	4.0	5	err	1.894	blackcross.wav	blackcross.bmp
295.611	4.4	6	err	1.144	i.wav	r.bmp
300.029	4.0	4	err	1.121	splour.wav	morth.bmp
304.04499999999996	4.4	4	err	0.856	kearth.wav	geath.bmp
308.464	4.4	2	err	1.003	sworth.wav	horth.bmp
312.882	4.8	1	err	0.875	twide.wav	stide.bmp
317.70099999999996	4.0	5	err	0.0	blackcross.wav	blackcross.bmp
321.71799999999996	4.0	3	err	1.053	splirt.wav	furt.bmp
325.734	4.4	3	err	0.917	pault.wav	zalt.bmp
330.152	4.8	4	err	1.106	glown.wav	stomb.bmp
334.972	4.4	3	err	1.079	brunge.wav	skonge.bmp
339.39	4.8	3	err	1.188	pript.wav	shrypt.bmp
344.21	4.8	6	err	1.282	v.wav	w.bmp
349.03	4.4	6	err	1.841	k.wav	l.bmp
353.448	4.0	5	err	1.97	blackcross.wav	blackcross.bmp
357.464	4.4	1	err	1.451	crelm.wav	melm.bmp
361.882	4.4	1	err	0.954	brith.wav	spith.bmp
366.301	5.2	6	err	0.0	g.wav	h.bmp
