onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	2	0	0.636	slour.bmp	vour.bmp
4.025000000000002	4.0	5	1	1.075	blackcross.bmp	blackcross.bmp
8.05	4.0	6	1	0.756	a.bmp	s.bmp
12.075	4.0	3	1	0.677	reash.bmp	sliche.bmp
16.099999999999998	4.4	5	1	1.412	blackcross.bmp	blackcross.bmp
20.526	4.4	6	1	0.544	i.bmp	j.bmp
24.951000000000004	4.4	1	1	0.528	treens.bmp	smeens.bmp
29.377	4.4	1	1	0.543	vuss.bmp	duss.bmp
33.803	4.8	6	0	0.768	f.bmp	n.bmp
38.629000000000005	4.8	1	1	0.508	zurf.bmp	hurf.bmp
43.456	4.8	5	1	1.234	blackcross.bmp	blackcross.bmp
48.283	4.8	1	1	0.534	crelm.bmp	melm.bmp
53.10900000000001	4.0	2	0	0.884	clease.bmp	prease.bmp
57.134	4.0	1	1	0.659	twirt.bmp	stirt.bmp
61.159000000000006	4.4	3	1	0.608	slurl.bmp	dirl.bmp
65.58500000000001	4.4	4	1	1.029	blease.bmp	seaf.bmp
70.01100000000001	4.4	5	1	1.156	blackcross.bmp	blackcross.bmp
74.436	4.8	5	1	1.137	blackcross.bmp	blackcross.bmp
79.263	4.8	4	1	0.693	quarf.bmp	ralve.bmp
84.09	4.8	6	1	0.69	m.bmp	n.bmp
88.91600000000001	4.8	1	1	0.706	clurl.bmp	turl.bmp
93.74300000000001	4.8	6	1	0.508	r.bmp	s.bmp
98.569	4.0	5	1	1.296	blackcross.bmp	blackcross.bmp
102.59400000000001	4.0	3	1	0.962	brunge.bmp	skonge.bmp
106.61900000000001	4.0	4	1	0.653	strough.bmp	wouth.bmp
110.64399999999999	4.4	6	1	0.57	l.bmp	d.bmp
115.07000000000001	4.4	5	1	1.317	blackcross.bmp	blackcross.bmp
119.496	4.4	5	1	1.186	blackcross.bmp	blackcross.bmp
123.921	4.4	5	1	1.358	blackcross.bmp	blackcross.bmp
128.34699999999998	4.8	5	1	1.114	blackcross.bmp	blackcross.bmp
133.17399999999998	4.8	1	1	0.72	crense.bmp	nense.bmp
138.0	4.8	5	1	1.363	blackcross.bmp	blackcross.bmp
142.827	4.0	2	0	0.66	twough.bmp	drough.bmp
146.852	4.0	2	0	0.797	twarf.bmp	starf.bmp
150.87699999999998	4.0	5	1	1.332	blackcross.bmp	blackcross.bmp
154.902	4.0	2	0	0.663	meaf.bmp	teaf.bmp
158.927	4.0	6	1	0.636	t.bmp	u.bmp
162.952	4.4	5	1	1.53	blackcross.bmp	blackcross.bmp
167.37699999999998	4.4	5	1	1.474	blackcross.bmp	blackcross.bmp
171.803	4.4	5	1	1.415	blackcross.bmp	blackcross.bmp
176.22899999999998	4.4	5	1	1.125	blackcross.bmp	blackcross.bmp
180.655	4.4	5	1	1.279	blackcross.bmp	blackcross.bmp
185.07999999999998	4.8	4	1	0.721	vood.bmp	shase.bmp
189.90699999999998	4.8	3	1	0.582	glutch.bmp	nuch.bmp
194.733	4.8	4	1	0.601	plange.bmp	jase.bmp
199.56	4.8	5	1	1.205	blackcross.bmp	blackcross.bmp
204.387	4.0	6	1	0.728	c.bmp	u.bmp
208.41199999999998	4.4	2	0	0.635	slange.bmp	prange.bmp
212.837	4.0	1	1	0.596	vearn.bmp	glearn.bmp
216.862	4.0	2	0	0.54	zalve.bmp	walve.bmp
220.887	4.0	6	1	0.6	j.bmp	b.bmp
224.91199999999998	4.0	4	1	0.629	sharf.bmp	twove.bmp
228.937	4.0	3	1	0.84	chelm.bmp	swealm.bmp
232.962	4.0	5	1	1.295	blackcross.bmp	blackcross.bmp
236.98699999999997	4.0	5	1	1.349	blackcross.bmp	blackcross.bmp
241.012	4.4	2	0	0.601	plown.bmp	rown.bmp
245.438	4.4	5	1	1.267	blackcross.bmp	blackcross.bmp
249.863	4.4	5	1	1.26	blackcross.bmp	blackcross.bmp
254.289	4.4	2	0	0.686	glead.bmp	jead.bmp
258.715	4.4	3	1	0.623	shrune.bmp	hoon.bmp
263.14099999999996	4.4	3	1	0.625	pript.bmp	shrypt.bmp
267.566	4.4	6	1	0.659	g.bmp	h.bmp
271.99199999999996	4.4	4	1	0.744	splour.bmp	morth.bmp
276.418	4.4	5	1	1.463	blackcross.bmp	blackcross.bmp
280.844	4.4	4	1	0.618	learth.bmp	plost.bmp
285.269	4.8	4	1	1.106	neaf.bmp	shrease.bmp
290.096	4.8	4	0	0.541	scose.bmp	brost.bmp
294.923	4.8	1	1	0.655	plipt.bmp	bipt.bmp
299.74899999999997	4.8	6	1	0.656	o.bmp	p.bmp
304.57599999999996	4.8	5	1	1.546	blackcross.bmp	blackcross.bmp
309.402	4.8	4	1	0.781	spouth.bmp	zull.bmp
314.229	4.0	4	1	1.636	drose.bmp	crange.bmp
318.25399999999996	4.0	1	1	0.714	swault.bmp	lault.bmp
322.279	4.0	3	1	0.699	derb.bmp	shurb.bmp
326.304	4.0	3	1	0.951	nerge.bmp	yurge.bmp
330.329	4.4	3	1	0.68	yeal.bmp	sheel.bmp
334.75399999999996	4.4	4	1	0.769	glough.bmp	vown.bmp
339.18	4.4	1	1	1.158	twide.bmp	stide.bmp
343.606	4.4	6	1	0.598	c.bmp	d.bmp
348.032	4.8	1	1	1.339	preash.bmp	sleash.bmp
352.858	4.8	6	1	0.542	k.bmp	t.bmp
357.685	4.8	2	0	0.621	zow.bmp	shrow.bmp
362.51099999999997	4.8	4	1	0.587	vead.bmp	slood.bmp
367.33799999999997	4.8	5	1	1.312	blackcross.bmp	blackcross.bmp
