onset	duration	trial_type	response_time	sample	value
1.4375000000	n/a	UncuedWalking	n/a	736.0000000000	100
1.9687500000	n/a	UncuedWalking	n/a	1008.0000000000	200
2.5585937500	n/a	UncuedWalking	n/a	1310.0000000000	100
3.0976562500	n/a	UncuedWalking	n/a	1586.0000000000	200
3.7011718750	n/a	UncuedWalking	n/a	1895.0000000000	100
4.2675781250	n/a	UncuedWalking	n/a	2185.0000000000	200
4.8808593750	n/a	UncuedWalking	n/a	2499.0000000000	100
5.4375000000	n/a	UncuedWalking	n/a	2784.0000000000	200
6.0449218750	n/a	UncuedWalking	n/a	3095.0000000000	100
6.5957031250	n/a	UncuedWalking	n/a	3377.0000000000	200
7.1992187500	n/a	UncuedWalking	n/a	3686.0000000000	100
7.7402343750	n/a	UncuedWalking	n/a	3963.0000000000	200
8.3339843750	n/a	UncuedWalking	n/a	4267.0000000000	100
8.8789062500	n/a	UncuedWalking	n/a	4546.0000000000	200
9.4804687500	n/a	UncuedWalking	n/a	4854.0000000000	100
10.0488281250	n/a	UncuedWalking	n/a	5145.0000000000	200
10.6445312500	n/a	UncuedWalking	n/a	5450.0000000000	100
11.1855468750	n/a	UncuedWalking	n/a	5727.0000000000	200
11.7988281250	n/a	UncuedWalking	n/a	6041.0000000000	100
12.3437500000	n/a	UncuedWalking	n/a	6320.0000000000	200
12.9492187500	n/a	UncuedWalking	n/a	6630.0000000000	100
13.4980468750	n/a	UncuedWalking	n/a	6911.0000000000	200
14.0957031250	n/a	UncuedWalking	n/a	7217.0000000000	100
14.6210937500	n/a	UncuedWalking	n/a	7486.0000000000	200
15.2363281250	n/a	UncuedWalking	n/a	7801.0000000000	100
15.7988281250	n/a	UncuedWalking	n/a	8089.0000000000	200
16.3847656250	n/a	UncuedWalking	n/a	8389.0000000000	100
16.9433593750	n/a	UncuedWalking	n/a	8675.0000000000	200
17.5429687500	n/a	UncuedWalking	n/a	8982.0000000000	100
18.1035156250	n/a	UncuedWalking	n/a	9269.0000000000	200
18.7070312500	n/a	UncuedWalking	n/a	9578.0000000000	100
19.2695312500	n/a	UncuedWalking	n/a	9866.0000000000	200
19.8769531250	n/a	UncuedWalking	n/a	10177.0000000000	100
20.4492187500	n/a	UncuedWalking	n/a	10470.0000000000	200
21.0449218750	n/a	UncuedWalking	n/a	10775.0000000000	100
21.5800781250	n/a	UncuedWalking	n/a	11049.0000000000	200
22.1835937500	n/a	UncuedWalking	n/a	11358.0000000000	100
22.7226562500	n/a	UncuedWalking	n/a	11634.0000000000	200
23.3320312500	n/a	UncuedWalking	n/a	11946.0000000000	100
23.8847656250	n/a	UncuedWalking	n/a	12229.0000000000	200
24.4863281250	n/a	UncuedWalking	n/a	12537.0000000000	100
25.0390625000	n/a	UncuedWalking	n/a	12820.0000000000	200
25.6347656250	n/a	PreferredCadence	n/a	13125.0000000000	114
25.8808593750	n/a	PreferredCadence	n/a	13251.0000000000	444
26.1738281250	n/a	PreferredCadence	n/a	13401.0000000000	201
26.4375000000	n/a	PreferredCadence	n/a	13536.0000000000	251
26.8105468750	n/a	PreferredCadence	n/a	13727.0000000000	101
26.9941406250	n/a	PreferredCadence	n/a	13821.0000000000	151
27.3808593750	n/a	PreferredCadence	n/a	14019.0000000000	201
27.5468750000	n/a	PreferredCadence	n/a	14104.0000000000	251
28.0234375000	n/a	PreferredCadence	n/a	14348.0000000000	101
28.1562500000	n/a	PreferredCadence	n/a	14416.0000000000	151
28.5839843750	n/a	PreferredCadence	n/a	14635.0000000000	201
28.7128906250	n/a	PreferredCadence	n/a	14701.0000000000	251
29.2011718750	n/a	PreferredCadence	n/a	14951.0000000000	101
29.2695312500	n/a	PreferredCadence	n/a	14986.0000000000	151
29.7675781250	n/a	PreferredCadence	n/a	15241.0000000000	201
29.8730468750	n/a	PreferredCadence	n/a	15295.0000000000	251
30.3789062500	n/a	PreferredCadence	n/a	15554.0000000000	101
30.4316406250	n/a	PreferredCadence	n/a	15581.0000000000	151
30.9492187500	n/a	PreferredCadence	n/a	15846.0000000000	201
30.9902343750	n/a	PreferredCadence	n/a	15867.0000000000	251
31.5410156250	n/a	PreferredCadence	n/a	16149.0000000000	101
31.5917968750	n/a	PreferredCadence	n/a	16175.0000000000	151
32.0917968750	n/a	PreferredCadence	n/a	16431.0000000000	201
32.1523437500	n/a	PreferredCadence	n/a	16462.0000000000	251
32.6914062500	n/a	PreferredCadence	n/a	16738.0000000000	101
32.7089843750	n/a	PreferredCadence	n/a	16747.0000000000	151
33.2402343750	n/a	PreferredCadence	n/a	17019.0000000000	201
33.3085937500	n/a	PreferredCadence	n/a	17054.0000000000	251
33.8320312500	n/a	PreferredCadence	n/a	17322.0000000000	101
33.8671875000	n/a	PreferredCadence	n/a	17340.0000000000	151
34.3769531250	n/a	PreferredCadence	n/a	17601.0000000000	201
34.4257812500	n/a	PreferredCadence	n/a	17626.0000000000	251
34.9765625000	n/a	PreferredCadence	n/a	17908.0000000000	101
35.0273437500	n/a	PreferredCadence	n/a	17934.0000000000	151
35.5156250000	n/a	PreferredCadence	n/a	18184.0000000000	201
35.5800781250	n/a	PreferredCadence	n/a	18217.0000000000	251
36.1230468750	n/a	PreferredCadence	n/a	18495.0000000000	101
36.1386718750	n/a	PreferredCadence	n/a	18503.0000000000	151
36.6679687500	n/a	PreferredCadence	n/a	18774.0000000000	201
36.7480468750	n/a	PreferredCadence	n/a	18815.0000000000	251
37.2695312500	n/a	PreferredCadence	n/a	19082.0000000000	101
37.3027343750	n/a	PreferredCadence	n/a	19099.0000000000	151
37.8203125000	n/a	PreferredCadence	n/a	19364.0000000000	201
37.8574218750	n/a	PreferredCadence	n/a	19383.0000000000	251
38.4140625000	n/a	PreferredCadence	n/a	19668.0000000000	151
38.4160156250	n/a	PreferredCadence	n/a	19669.0000000000	101
38.9414062500	n/a	PreferredCadence	n/a	19938.0000000000	201
39.0234375000	n/a	PreferredCadence	n/a	19980.0000000000	251
39.5546875000	n/a	PreferredCadence	n/a	20252.0000000000	101
39.5800781250	n/a	PreferredCadence	n/a	20265.0000000000	151
40.0976562500	n/a	PreferredCadence	n/a	20530.0000000000	201
40.1308593750	n/a	PreferredCadence	n/a	20547.0000000000	251
40.6855468750	n/a	PreferredCadence	n/a	20831.0000000000	101
40.7421875000	n/a	PreferredCadence	n/a	20860.0000000000	151
41.2285156250	n/a	PreferredCadence	n/a	21109.0000000000	201
41.3007812500	n/a	PreferredCadence	n/a	21146.0000000000	251
41.8320312500	n/a	PreferredCadence	n/a	21418.0000000000	101
41.8574218750	n/a	PreferredCadence	n/a	21431.0000000000	151
42.3769531250	n/a	PreferredCadence	n/a	21697.0000000000	201
42.4550781250	n/a	PreferredCadence	n/a	21737.0000000000	251
42.9882812500	n/a	PreferredCadence	n/a	22010.0000000000	101
43.0136718750	n/a	PreferredCadence	n/a	22023.0000000000	151
43.5449218750	n/a	PreferredCadence	n/a	22295.0000000000	201
43.5761718750	n/a	PreferredCadence	n/a	22311.0000000000	251
44.1464843750	n/a	PreferredCadence	n/a	22603.0000000000	101
44.1738281250	n/a	PreferredCadence	n/a	22617.0000000000	151
44.6933593750	n/a	PreferredCadence	n/a	22883.0000000000	201
44.7304687500	n/a	PreferredCadence	n/a	22902.0000000000	251
45.2890625000	n/a	PreferredCadence	n/a	23188.0000000000	151
45.2910156250	n/a	PreferredCadence	n/a	23189.0000000000	101
45.8320312500	n/a	PreferredCadence	n/a	23466.0000000000	201
45.8906250000	n/a	PreferredCadence	n/a	23496.0000000000	251
46.4296875000	n/a	PreferredCadence	n/a	23772.0000000000	101
46.4511718750	n/a	PreferredCadence	n/a	23783.0000000000	151
46.9843750000	n/a	PreferredCadence	n/a	24056.0000000000	201
47.0078125000	n/a	PreferredCadence	n/a	24068.0000000000	251
47.5625000000	n/a	PreferredCadence	n/a	24352.0000000000	151
47.5761718750	n/a	PreferredCadence	n/a	24359.0000000000	101
48.1113281250	n/a	PreferredCadence	n/a	24633.0000000000	201
