onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.016534	1.457	FoodChoice	-0.05333299999999999	1.529832	0.12666650000000002	0.1	0.153333	1.0
10.516589999999999	1.457	FoodChoice	0.006666999999999992	1.346783	0.0766665	0.08	0.07333300000000001	0.0
14.51653	1.457	FoodChoice	1.733333	0.751833	1.3866665	2.253333	0.52	1.0
19.01654	1.457	FoodChoice	0.1666669999999999	1.1138350000000001	1.5966665	1.68	1.513333	1.0
23.51653	1.457	FoodChoice	-0.26000000000000023	1.092835	2.3833330000000004	2.253333	2.5133330000000003	0.0
30.016540000000003	1.457	FoodChoice	-1.5733339999999998	1.442817	0.9399999999999998	0.153333	1.7266669999999997	0.0
40.016529999999996	1.457	FoodChoice	-1.213333	1.206841	0.6733335	0.06666699999999999	1.28	0.0
45.51659	1.457	FoodChoice	-0.1666669999999999	1.1747809999999999	1.6033335	1.52	1.686667	0.0
51.51659	1.457	FoodChoice	-0.033332999999999974	1.68878	0.11666649999999999	0.1	0.13333299999999998	1.0
61.51659	1.457	FoodChoice	1.426667	1.218782	0.8133335	1.526667	0.1	1.0
67.51659000000001	1.457	FoodChoice	-0.433334	1.015784	0.79	0.573333	1.006667	0.0
82.01659000000001	1.457	FoodChoice	0.826666	1.375779	0.6	1.013333	0.186667	1.0
86.01659000000001	1.457	FoodChoice	0.0	1.3007799999999998	0.1	0.1	0.1	0.0
96.51654	1.457	FoodChoice	-0.01333300000000004	1.424828	1.0133334999999999	1.006667	1.02	0.0
101.0165	1.457	FoodChoice	-0.033332999999999835	1.8868099999999999	2.2366665	2.22	2.253333	0.0
105.5165	1.457	FoodChoice	0.18000000000000016	1.289824	2.13	2.22	2.04	0.0
110.5166	1.457	FoodChoice	0.2933330000000003	1.5837809999999999	1.8733334999999998	2.02	1.7266669999999997	1.0
117.0165	1.457	FoodChoice	-0.07999999999999999	1.618824	0.113333	0.07333300000000001	0.153333	1.0
121.5166	1.457	FoodChoice	-0.020000000000000018	1.246782	0.143333	0.13333299999999998	0.153333	1.0
125.5166	1.457	FoodChoice	-0.046667000000000014	1.716779	0.5433335	0.52	0.566667	1.0
131.0165	1.457	FoodChoice	-0.026666999999999996	1.473843	1.0266665000000001	1.013333	1.04	1.0
136.0165	1.457	FoodChoice	-0.9	2.222814	1.023333	0.573333	1.473333	1.0
140.0165	1.457	FoodChoice	0.020000000000000018	1.95183	1.7366669999999997	1.7466669999999997	1.7266669999999997	1.0
144.0165	1.457	FoodChoice	0.0066669999999999785	1.148824	1.0166665	1.02	1.013333	0.0
155.0166	1.457	FoodChoice	0.166667	1.32381	0.4633335	0.546667	0.38	1.0
161.5165	1.457	FoodChoice	0.24	1.221825	1.3533330000000001	1.473333	1.233333	1.0
165.5165	1.457	FoodChoice	0.006666999999999992	2.909834	0.0566665	0.06	0.053333000000000005	0.0
169.5165	1.457	FoodChoice	0.0	1.643839	0.04	0.04	0.04	1.0
174.0165	1.457	FoodChoice	-0.02	1.247822	0.03	0.02	0.04	0.0
180.5166	1.457	FoodChoice	0.0	2.56176	0.1	0.1	0.1	0.0
184.5165	1.457	FoodChoice	0.26000000000000023	1.13485	2.3833330000000004	2.5133330000000003	2.253333	1.0
190.0165	1.457	FoodChoice	0.046667000000000014	1.601826	1.2566665000000001	1.28	1.233333	1.0
194.0166	1.457	FoodChoice	-0.020000000000000018	1.1428049999999998	1.51	1.5	1.52	1.0
203.0166	1.457	FoodChoice	-0.013333000000000001	1.309764	0.026666500000000003	0.02	0.033333	1.0
207.0166	1.457	FoodChoice	-0.713333	1.240776	0.9233335	0.566667	1.28	0.0
214.0165	1.457	FoodChoice	-0.053332999999999964	1.314824	0.5466664999999999	0.52	0.573333	1.0
218.5166	1.457	FoodChoice	0.0	1.722777	0.1	0.1	0.1	1.0
223.5165	1.457	FoodChoice	-0.013332999999999998	1.800841	0.08666650000000001	0.08	0.093333	0.0
229.5165	1.457	FoodChoice	0.026666999999999996	2.241823	0.1733335	0.186667	0.16	0.0
235.5166	1.457	FoodChoice	-1.8400000000000003	1.222783	1.3	0.38	2.22	0.0
240.0165	1.457	FoodChoice	1.4066670000000001	1.388807	0.7966664999999999	1.5	0.093333	1.0
245.5166	1.457	FoodChoice	0.7733330000000003	0.9817799999999999	2.1333335	2.52	1.7466669999999997	1.0
249.5165	1.457	FoodChoice	-0.03333300000000006	1.6338409999999999	1.4966665	1.48	1.513333	0.0
263.0165	1.457	FoodChoice	-0.020000000000000018	2.243837	0.143333	0.13333299999999998	0.153333	0.0
268.0165	1.457	FoodChoice	-0.24666699999999997	0.830823	2.3966665000000003	2.273333	2.52	1.0
272.5165	1.457	FoodChoice	0.046665999999999985	1.524815	0.21	0.23333299999999998	0.186667	1.0
277.0166	1.457	FoodChoice	-0.686666	2.2518	0.89	0.546667	1.233333	1.0
283.5166	1.457	FoodChoice	1.393333	1.201811	0.7766665	1.473333	0.08	1.0
289.5165	1.457	FoodChoice	0.020000000000000018	2.124812	0.143333	0.153333	0.13333299999999998	0.0
295.5165	1.457	FoodChoice	-0.52	1.587841	0.78	0.52	1.04	0.0
301.5165	1.457	FoodChoice	-0.020000000000000018	2.5028080000000004	1.7366669999999997	1.7266669999999997	1.7466669999999997	0.0
313.5165	1.457	FoodChoice	-0.05999999999999994	1.362823	0.576667	0.546667	0.606667	1.0
317.5165	1.457	FoodChoice	-0.06	1.342825	0.063333	0.033333	0.093333	0.0
321.5165	1.457	FoodChoice	0.0066669999999997565	1.0768360000000001	2.5166665000000004	2.52	2.5133330000000003	0.0
326.5165	1.457	FoodChoice	0.033333999999999975	1.1898440000000001	0.59	0.606667	0.573333	1.0
332.0165	3.0	Missed	1.4	n/a	0.773333	1.473333	0.07333300000000001	n/a
338.5166	1.457	FoodChoice	1.413333	0.963764	0.8066665000000001	1.513333	0.1	1.0
