onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.283000e+00	1	MoneyCue	1	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	40.3	2.5689	1
3.283000e+00	4	Anticipation	1	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	n/a	n/a	1
7.299000e+00	2.5	Image	1	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	41.733	2.8077	1
1.711500e+01	1	MoneyCue	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor56.jpg	inanimate32.jpg	43.033	1.0978	1
1.813100e+01	2	Anticipation	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor56.jpg	inanimate32.jpg	n/a	n/a	1
2.013100e+01	2.5	Image	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor56.jpg	inanimate32.jpg	43.3	-0.3	1
2.994700e+01	1	MoneyCue	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor57.jpg	inanimate9.jpg	43.641	-0.25448	1
3.094700e+01	6	Anticipation	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor57.jpg	inanimate9.jpg	n/a	n/a	1
3.696300e+01	2.5	Image	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor57.jpg	inanimate9.jpg	43.2	-0.34754	1
4.579500e+01	1	MoneyCue	1	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	44.133	0.21093	2
4.679500e+01	4	Anticipation	1	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	n/a	n/a	2
5.081100e+01	2.5	Image	1	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	45.365	1.2252	2
6.162700e+01	1	MoneyCue	1	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	43.8	-1.6422	1
6.262700e+01	6	Anticipation	1	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	n/a	n/a	1
6.864300e+01	2.5	Image	1	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	45.4	-1.0885	1
7.847500e+01	1	MoneyCue	1	6	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	47.033	-0.54153	2
7.947500e+01	4	Anticipation	1	6	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	n/a	n/a	2
8.349100e+01	2.5	Image	1	6	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	42.3	3.1262	2
9.230700e+01	1	MoneyCue	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	42.861	-0.91029	2
9.330700e+01	2	Anticipation	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	n/a	n/a	2
9.530700e+01	2.5	Image	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	41.733	2.7011	2
1.041220e+02	1	MoneyCue	1	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	42	-0.37705	3
1.051220e+02	6	Anticipation	1	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	n/a	n/a	3
1.111220e+02	2.5	Image	1	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	38.5	1.9918	3
1.219540e+02	1	MoneyCue	1	9	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	43.033	-0.6235	2
1.229540e+02	4	Anticipation	1	9	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	n/a	n/a	2
1.269700e+02	2.5	Image	1	9	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	44.502	-0.19028	2
1.367860e+02	1	MoneyCue	1	10	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	43.777	2.2888	1
1.377860e+02	2	Anticipation	1	10	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	n/a	n/a	1
1.398020e+02	2.5	Image	1	10	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	43.6	2.2852	1
1.506010e+02	1	MoneyCue	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor47.jpg	animate44.jpg	41.5	0.72951	2
1.516010e+02	2	Anticipation	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor47.jpg	animate44.jpg	n/a	n/a	2
1.536010e+02	2.5	Image	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor47.jpg	animate44.jpg	41.233	2.6191	2
