onset	duration	type
0.106	1	Scenes
1.423	1	Scenes
2.723	1	Scenes
4.023	1	Scenes
5.339	1	Scenes
6.656	1	Scenes
7.956	1	Scenes
9.272	1	Scenes
20.554	1	Scrambled
21.854	1	Scrambled
23.154	1	Scrambled
24.454	1	Scrambled
25.754	1	Scrambled
27.054	1	Scrambled
28.37	1	Scrambled
29.67	1	Scrambled
40.952	1	Objects
42.252	1	Objects
43.552	1	Objects
44.852	1	Objects
46.152	1	Objects
47.468	1	Objects
48.768	1	Objects
50.068	1	Objects
61.35	1	Scenes
62.65	1	Scenes
63.95	1	Scenes
65.25	1	Scenes
66.55	1	Scenes
67.866	1	Scenes
69.166	1	Scenes
70.466	1	Scenes
81.748	1	Scrambled
83.048	1	Scrambled
84.348	1	Scrambled
85.648	1	Scrambled
87.014	1	Scrambled
88.314	1	Scrambled
89.614	1	Scrambled
90.914	1	Scrambled
102.196	1	Objects
103.496	1	Objects
104.796	1	Objects
106.079	1	Objects
107.379	1	Objects
108.679	1	Objects
109.979	1	Objects
111.279	1	Objects
122.56	1	Scenes
123.86	1	Scenes
125.16	1	Scenes
126.46	1	Scenes
127.76	1	Scenes
129.06	1	Scenes
130.36	1	Scenes
131.66	1	Scenes
142.958	1	Scrambled
144.258	1	Scrambled
145.558	1	Scrambled
146.858	1	Scrambled
148.208	1	Scrambled
149.508	1	Scrambled
150.858	1	Scrambled
152.174	1	Scrambled
163.49	1	Objects
164.806	1	Objects
166.09	1	Objects
167.406	1	Objects
168.706	1	Objects
170.006	1	Objects
171.355	1	Objects
172.639	1	Objects
183.921	1	Scenes
185.221	1	Scenes
186.521	1	Scenes
187.837	1	Scenes
189.17	1	Scenes
190.47	1	Scenes
191.77	1	Scenes
193.07	1	Scenes
204.402	1	Scrambled
205.702	1	Scrambled
207.002	1	Scrambled
208.302	1	Scrambled
209.601	1	Scrambled
210.901	1	Scrambled
212.201	1	Scrambled
213.501	1	Scrambled
224.783	1	Objects
226.067	1	Objects
227.383	1	Objects
228.666	1	Objects
229.966	1	Objects
231.266	1	Objects
232.6	1	Objects
233.916	1	Objects
245.198	1	Scenes
246.498	1	Scenes
247.798	1	Scenes
249.114	1	Scenes
250.431	1	Scenes
251.731	1	Scenes
253.047	1	Scenes
254.347	1	Scenes
265.612	1	Scrambled
266.912	1	Scrambled
268.212	1	Scrambled
269.512	1	Scrambled
270.812	1	Scrambled
272.112	1	Scrambled
273.412	1	Scrambled
274.711	1	Scrambled
286.044	1	Objects
287.344	1	Objects
288.677	1	Objects
289.977	1	Objects
291.343	1	Objects
292.627	1	Objects
293.943	1	Objects
295.243	1	Objects
306.525	1	Scenes
307.825	1	Scenes
309.125	1	Scenes
310.424	1	Scenes
311.724	1	Scenes
313.024	1	Scenes
314.357	1	Scenes
315.657	1	Scenes
326.939	1	Scrambled
328.239	1	Scrambled
329.539	1	Scrambled
330.839	1	Scrambled
332.172	1	Scrambled
333.472	1	Scrambled
334.772	1	Scrambled
336.072	1	Scrambled
347.354	1	Objects
348.654	1	Objects
349.954	1	Objects
351.254	1	Objects
352.553	1	Objects
353.853	1	Objects
355.153	1	Objects
356.437	1	Objects
