onset	duration	condition	stim	resp	RT
15.051	20	1	n/a	n/a	n/a
35.123	20	2	n/a	n/a	n/a
55.081	20	4	n/a	n/a	n/a
75.156	20	2	n/a	n/a	n/a
95.114	20	3	n/a	n/a	n/a
115.072	20	3	n/a	n/a	n/a
135.147	20	2	n/a	n/a	n/a
155.105	20	4	n/a	n/a	n/a
175.064	20	1	n/a	n/a	n/a
195.138	20	3	n/a	n/a	n/a
215.08	20	4	n/a	n/a	n/a
235.155	20	3	n/a	n/a	n/a
255.113	20	4	n/a	n/a	n/a
275.072	20	1	n/a	n/a	n/a
295.146	20	1	n/a	n/a	n/a
315.105	20	2	n/a	n/a	n/a
0	0.8	n/a	5	n/a	n/a
1.6	0.8	n/a	7	n/a	n/a
3.2	0.8	n/a	7	n/a	n/a
4.8	0.8	n/a	5	n/a	n/a
6.4	0.8	n/a	7	n/a	n/a
8	0.8	n/a	5	n/a	n/a
9.6	0.8	n/a	7	n/a	n/a
11.2	0.8	n/a	5	n/a	n/a
12.8	0.8	n/a	7	n/a	n/a
14.4	0.8	n/a	7	n/a	n/a
16	0.8	n/a	5	n/a	n/a
17.6	0.8	n/a	7	n/a	n/a
19.2	0.8	n/a	5	n/a	n/a
20.8	0.8	n/a	5	n/a	n/a
22.4	0.8	n/a	7	n/a	n/a
24	0.8	n/a	7	n/a	n/a
25.6	0.8	n/a	7	n/a	n/a
27.2	0.8	n/a	5	n/a	n/a
28.8	0.8	n/a	5	n/a	n/a
30.4	0.8	n/a	7	n/a	n/a
32	0.8	n/a	5	n/a	n/a
33.6	0.8	n/a	5	n/a	n/a
35.2	0.8	n/a	5	n/a	n/a
36.8	0.8	n/a	7	n/a	n/a
38.4	0.8	n/a	5	n/a	n/a
40	0.8	n/a	7	n/a	n/a
41.6	0.8	n/a	5	n/a	n/a
43.2	0.8	n/a	5	n/a	n/a
44.8	0.8	n/a	7	n/a	n/a
46.4	0.8	n/a	7	n/a	n/a
48	0.8	n/a	7	n/a	n/a
49.6	0.8	n/a	5	n/a	n/a
51.2	0.8	n/a	5	n/a	n/a
52.8	0.8	n/a	5	n/a	n/a
54.4	0.8	n/a	7	n/a	n/a
56	0.8	n/a	5	n/a	n/a
57.6	0.8	n/a	5	n/a	n/a
59.2	0.8	n/a	5	n/a	n/a
60.8	0.8	n/a	7	n/a	n/a
62.4	0.8	n/a	7	n/a	n/a
64	0.8	n/a	5	n/a	n/a
65.6	0.8	n/a	5	n/a	n/a
67.2	0.8	n/a	5	n/a	n/a
68.8	0.8	n/a	7	n/a	n/a
