onset	duration	event_value	event_name
64.1484375	0.1	4	run_start
72.736328125	0.1	9	fixation_on
73.939453125	0.1	2	cue_right
77.05078125	0.1	12	target_right
77.431640625	0.1	15	reaction_correct
78.060546875	0.1	10	trial_end
80.3125	0.1	9	fixation_on
82.208984375	0.1	2	cue_right
85.333984375	0.1	12	target_right
85.66015625	0.1	15	reaction_correct
86.349609375	0.1	10	trial_end
89.330078125	0.1	9	fixation_on
91.041015625	0.1	1	cue_left
92.158203125	0.1	11	target_left
92.529296875	0.1	15	reaction_correct
93.16015625	0.1	10	trial_end
95.966796875	0.1	9	fixation_on
97.396484375	0.1	1	cue_left
100.521484375	0.1	11	target_left
100.83203125	0.1	15	reaction_correct
101.5390625	0.1	10	trial_end
104.203125	0.1	9	fixation_on
105.849609375	0.1	2	cue_right
110.9609375	0.1	12	target_right
111.3359375	0.1	15	reaction_correct
111.962890625	0.1	10	trial_end
114.7109375	0.1	9	fixation_on
116.001953125	0.1	2	cue_right
118.111328125	0.1	12	target_right
118.556640625	0.1	15	reaction_correct
119.119140625	0.1	10	trial_end
121.716796875	0.1	9	fixation_on
123.720703125	0.1	3	cue_center
125.62890625	0.1	13	target_center
125.9375	0.1	15	reaction_correct
126.646484375	0.1	10	trial_end
129.173828125	0.1	9	fixation_on
130.826171875	0.1	3	cue_center
133.265625	0.1	13	target_center
133.56640625	0.1	15	reaction_correct
134.287109375	0.1	10	trial_end
136.814453125	0.1	9	fixation_on
138.28515625	0.1	3	cue_center
140.890625	0.1	13	target_center
141.197265625	0.1	15	reaction_correct
141.90234375	0.1	10	trial_end
144.0234375	0.1	9	fixation_on
146.017578125	0.1	1	cue_left
149.125	0.1	11	target_left
149.455078125	0.1	15	reaction_correct
150.140625	0.1	10	trial_end
152.765625	0.1	9	fixation_on
154.369140625	0.1	2	cue_right
158.482421875	0.1	12	target_right
158.802734375	0.1	15	reaction_correct
159.49609375	0.1	10	trial_end
162.0703125	0.1	9	fixation_on
163.720703125	0.1	2	cue_right
167.865234375	0.1	12	target_right
168.287109375	0.1	15	reaction_correct
168.869140625	0.1	10	trial_end
171.171875	0.1	9	fixation_on
172.849609375	0.1	2	cue_right
174.958984375	0.1	12	target_right
175.33203125	0.1	15	reaction_correct
175.978515625	0.1	10	trial_end
178.62890625	0.1	9	fixation_on
179.99609375	0.1	3	cue_center
182.751953125	0.1	13	target_center
183.083984375	0.1	15	reaction_correct
183.76171875	0.1	10	trial_end
186.40625	0.1	9	fixation_on
188.064453125	0.1	2	cue_right
189.1796875	0.1	12	target_right
189.595703125	0.1	15	reaction_correct
190.201171875	0.1	10	trial_end
192.755859375	0.1	9	fixation_on
193.78125	0.1	1	cue_left
197.892578125	0.1	11	target_left
198.2109375	0.1	15	reaction_correct
198.900390625	0.1	10	trial_end
201.82421875	0.1	9	fixation_on
203.810546875	0.1	3	cue_center
207.513671875	0.1	13	target_center
207.806640625	0.1	15	reaction_correct
208.53125	0.1	10	trial_end
210.68359375	0.1	9	fixation_on
211.826171875	0.1	1	cue_left
214.931640625	0.1	11	target_left
215.296875	0.1	15	reaction_correct
215.935546875	0.1	10	trial_end
218.29296875	0.1	9	fixation_on
220.078125	0.1	3	cue_center
222.421875	0.1	13	target_center
222.7890625	0.1	15	reaction_correct
223.443359375	0.1	10	trial_end
225.71875	0.1	9	fixation_on
226.892578125	0.1	1	cue_left
231.0078125	0.1	11	target_left
231.37109375	0.1	15	reaction_correct
232.009765625	0.1	10	trial_end
234.083984375	0.1	9	fixation_on
235.576171875	0.1	2	cue_right
239.69140625	0.1	12	target_right
240.0234375	0.1	15	reaction_correct
240.693359375	0.1	10	trial_end
243.505859375	0.1	9	fixation_on
245.357421875	0.1	1	cue_left
247.478515625	0.1	11	target_left
247.865234375	0.1	15	reaction_correct
248.48828125	0.1	10	trial_end
251.37109375	0.1	9	fixation_on
253.208984375	0.1	2	cue_right
258.3359375	0.1	12	target_right
258.685546875	0.1	15	reaction_correct
259.34375	0.1	10	trial_end
262.041015625	0.1	9	fixation_on
263.587890625	0.1	2	cue_right
265.720703125	0.1	12	target_right
266.146484375	0.1	15	reaction_correct
266.7265625	0.1	10	trial_end
269.517578125	0.1	9	fixation_on
270.802734375	0.1	2	cue_right
275.919921875	0.1	12	target_right
276.259765625	0.1	15	reaction_correct
276.935546875	0.1	10	trial_end
279.59765625	0.1	9	fixation_on
280.708984375	0.1	2	cue_right
284.818359375	0.1	12	target_right
285.2734375	0.1	15	reaction_correct
285.826171875	0.1	10	trial_end
287.853515625	0.1	9	fixation_on
289.720703125	0.1	2	cue_right
290.826171875	0.1	12	target_right
291.35546875	0.1	15	reaction_correct
291.83203125	0.1	10	trial_end
293.8984375	0.1	9	fixation_on
295.845703125	0.1	2	cue_right
296.97265625	0.1	12	target_right
297.462890625	0.1	15	reaction_correct
297.978515625	0.1	10	trial_end
300.845703125	0.1	9	fixation_on
302.748046875	0.1	3	cue_center
306.87109375	0.1	13	target_center
307.18359375	0.1	15	reaction_correct
307.875	0.1	10	trial_end
310.3125	0.1	9	fixation_on
311.41015625	0.1	2	cue_right
314.537109375	0.1	12	target_right
314.90234375	0.1	15	reaction_correct
315.541015625	0.1	10	trial_end
317.650390625	0.1	9	fixation_on
318.85546875	0.1	2	cue_right
321.9765625	0.1	12	target_right
322.322265625	0.1	15	reaction_correct
322.98046875	0.1	10	trial_end
325.92578125	0.1	9	fixation_on
327.51953125	0.1	2	cue_right
330.63671875	0.1	12	target_right
331.0703125	0.1	15	reaction_correct
331.65625	0.1	10	trial_end
333.751953125	0.1	9	fixation_on
335.390625	0.1	1	cue_left
338.51953125	0.1	11	target_left
338.861328125	0.1	15	reaction_correct
