onset	duration	event_value	event_name
66.90234375	0.1	4	run_start
74.2109375	0.1	9	fixation_on
75.541015625	0.1	1	cue_left
77.642578125	0.1	12	target_right
78.1328125	0.1	15	reaction_correct
78.654296875	0.1	10	trial_end
80.80078125	0.1	9	fixation_on
82.453125	0.1	1	cue_left
87.5625	0.1	11	target_left
87.89453125	0.1	15	reaction_correct
88.57421875	0.1	10	trial_end
90.9296875	0.1	9	fixation_on
92.0078125	0.1	2	cue_right
97.126953125	0.1	12	target_right
97.41015625	0.1	15	reaction_correct
98.13671875	0.1	10	trial_end
100.373046875	0.1	9	fixation_on
101.916015625	0.1	2	cue_right
107.048828125	0.1	12	target_right
107.359375	0.1	15	reaction_correct
108.07421875	0.1	10	trial_end
110.77734375	0.1	9	fixation_on
112.626953125	0.1	1	cue_left
115.75	0.1	11	target_left
116.072265625	0.1	15	reaction_correct
116.759765625	0.1	10	trial_end
119.359375	0.1	9	fixation_on
120.80859375	0.1	1	cue_left
121.94140625	0.1	11	target_left
122.279296875	0.1	15	reaction_correct
122.951171875	0.1	10	trial_end
125.470703125	0.1	9	fixation_on
126.62109375	0.1	1	cue_left
127.73046875	0.1	11	target_left
128.05078125	0.1	15	reaction_correct
128.736328125	0.1	10	trial_end
131.126953125	0.1	9	fixation_on
132.390625	0.1	2	cue_right
134.49609375	0.1	12	target_right
134.822265625	0.1	15	reaction_correct
135.509765625	0.1	10	trial_end
138.271484375	0.1	9	fixation_on
139.380859375	0.1	2	cue_right
143.494140625	0.1	12	target_right
143.826171875	0.1	15	reaction_correct
144.5078125	0.1	10	trial_end
147.435546875	0.1	9	fixation_on
149.3203125	0.1	1	cue_left
150.455078125	0.1	11	target_left
151.046875	0.1	15	reaction_correct
151.46484375	0.1	10	trial_end
153.6015625	0.1	9	fixation_on
155.44140625	0.1	1	cue_left
156.5546875	0.1	11	target_left
156.85546875	0.1	15	reaction_correct
157.556640625	0.1	10	trial_end
160.265625	0.1	9	fixation_on
162.087890625	0.1	1	cue_left
166.20703125	0.1	11	target_left
166.490234375	0.1	15	reaction_correct
167.216796875	0.1	10	trial_end
169.60546875	0.1	9	fixation_on
170.712890625	0.1	2	cue_right
172.84765625	0.1	12	target_right
173.134765625	0.1	15	reaction_correct
