onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1098.JPG	0	3#	New	0.997	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1540.JPG	0	3#	New	0.891	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1291.JPG	0	3#	New	0.715	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1669.JPG	0	3#	New	0.821	0
14.0	3.5	First	stimuli/objects/setsof2/161a.jpg	161	3#	New	0.740	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1543.JPG	0	5%	None	1.747	0
21.0	3.5	First	stimuli/objects/setsof2/009b.jpg	9	3#	New	0.870	0
24.5	3.5	First	stimuli/objects/setsof2/148b.jpg	148	3#	New	0.635	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1427.JPG	0	3#	New	0.977	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1562.JPG	0	3#	New	0.856	0
35.0	3.5	Foil	stimuli/objects/foils/foil_1471.JPG	0	3#	New	0.713	0
38.5	3.5	Repeat	stimuli/objects/setsof2/161a.jpg	161	1!	Old	1.359	0
42.0	3.5	First	stimuli/objects/setsof2/190a.jpg	190	3#	New	0.969	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1505.JPG	0	3#	New	1.038	0
49.0	3.5	Lure	stimuli/objects/setsof2/009a.jpg	9	5%	None	1.746	4
52.5	3.5	Foil	stimuli/objects/foils/foil_1021.jpg	0	3#	New	0.949	0
56.0	3.5	First	stimuli/objects/setsof2/090b.jpg	90	3#	New	0.965	0
59.5	3.5	First	stimuli/objects/setsof2/052b.jpg	52	3#	New	1.106	0
63.0	3.5	Repeat	stimuli/objects/setsof2/148b.jpg	148	1!	Old	1.156	0
66.5	3.5	First	stimuli/objects/setsof2/110b.jpg	110	3#	New	1.024	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1531.JPG	0	3#	New	1.460	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1185.JPG	0	3#	New	0.892	0
77.0	3.5	First	stimuli/objects/setsof2/048b.jpg	48	3#	New	0.906	0
80.5	3.5	Repeat	stimuli/objects/setsof2/190a.jpg	190	1!	Old	1.379	0
84.0	3.5	Repeat	stimuli/objects/setsof2/090b.jpg	90	1!	Old	1.236	0
