onset	duration	sample	type	value
0	0.008	1	trigger	onset
4	0.008	2001	trigger	target
8	0.008	4001	trigger	target
12	0.008	6001	trigger	target
16	0.008	8001	trigger	target
20	0.008	10001	trigger	target
24	0.008	12001	trigger	target
28	0.008	14001	trigger	target
32	0.008	16001	trigger	target
36	0.008	18001	trigger	target
40	0.008	20001	trigger	target
44	0.008	22001	trigger	target
48	0.008	24001	trigger	target
52	0.008	26001	trigger	target
56	0.008	28001	trigger	target
60	0.008	30001	trigger	target
64	0.008	32001	trigger	target
68	0.008	34001	trigger	target
72	0.008	36001	trigger	target
76	0.008	38001	trigger	target
80	0.008	40001	trigger	target
84	0.008	42001	trigger	target
88	0.008	44001	trigger	target
92	0.008	46001	trigger	target
96	0.008	48001	trigger	target
100	0.008	50001	trigger	target
104	0.008	52001	trigger	target
108	0.008	54001	trigger	target
112	0.008	56001	trigger	target
116	0.008	58001	trigger	target
120	0.008	60001	trigger	target
