onset	duration	Experiment - Geschichte_A2	Serial_no	Code	Condition	Onset_time	response	response_time	Accuracy	Bildh	EmoVal	Kompl	NatŸrlichk	Similarity	Arousal	Metaph	Buchstaben	Wšrter	SŠtze	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung	Metazahl	Summemit	Summeohne
1,626	26	01OD	1	129	1	1626	keine	0	keine	3,533333	1,25	2,75	5,642857	5,6	3,0625	3,5	372	65	6	0	0	0	1	0	4	0	2	0	6	19	13
46,649	26	01OD	2	119	1	46649	keine	0	keine	4,2	1	3,25	5,133333	5,733333	4,9375	4,6875	293	54	6	3	2	0	0	3	7	1	3	0	5	30	25
94,692	26	01OD	3	127	1	94692	keine	0	keine	4,4	1,9375	3,5625	4,4	6	4,375	3,8125	363	67	5	1	0	0	1	1	8	0	3	0	5	24	19
145,736	8	01OD	4	333	3	145736	Nein	3168	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
159,775	26	01OD	5	113	1	159775	keine	0	keine	5,266667	0,266667	2,466667	4,133333	5,933333	5,0625	4,875	225	33	4	2	0	0	3	3	5	3	3	0	4	27	23
200,822	8	01OD	6	333	3	200822	Ja	3082	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,847	26	01OD	7	203	2	216847	keine	0	keine	2,785714	-0,066667	4,066667	5,066667	5,466667	4,125	1,6875	411	77	7	5	1	0	0	3	4	0	4	0	0	24	25
265,882	26	01OD	8	202	2	265882	keine	0	keine	4,4	1,5625	4,0625	5,533333	5,933333	3,9375	2,25	290	44	7	1	1	0	3	2	3	0	4	0	0	21	21
306,92	26	01OD	9	204	2	306920	keine	0	keine	3,2	0,466667	3,533333	4,466667	5,8	4,1875	2,125	191	37	6	0	0	1	0	2	6	0	4	0	0	19	20
350,968	26	01OD	10	120	1	350968	keine	0	keine	3,066667	-1	4,75	4,8	6	4,375	3,5	282	53	4	2	0	1	3	2	5	2	6	0	5	30	25
397,999	26	01OD	11	206	2	397999	keine	0	keine	4,266667	0,1875	2,1875	5,533333	6,266667	4,125	2,3125	422	69	4	1	0	0	1	2	4	2	3	0	0	17	19
440,031	26	01OD	12	111	1	440031	keine	0	keine	2,533333	-1,133333	3,266667	4,733333	5,466667	3,4375	2,0625	310	55	5	0	0	0	1	2	1	0	0	0	4	13	9
486,073	26	01OD	13	208	2	486073	keine	0	keine	4,733333	-2,3125	3,5	5,133333	5,333333	5,125	2,3125	532	93	5	1	0	0	2	2	4	1	3	0	0	18	19
534,112	8	01OD	14	333	3	534112	Nein	2691	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
