onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	2.153	RhymeSpell/took.WAV	RhymeSpell/spook.WAV
4.443	4.443	2	1	2.518	RhymeSpell/quo.WAV	RhymeSpell/glow.WAV
8.886	4.443	5	1	0.853	Tones/675.WAV	Tones/600.WAV
13.329	4.443	0	1	1.347	Tones/nullsilence.WAV	Tones/nullsilence.WAV
17.772	4.443	3	0	2.37	RhymeSpell/seat.WAV	RhymeSpell/threat.WAV
22.215	4.442	0	1	1.574	Tones/nullsilence.WAV	Tones/nullsilence.WAV
26.657	4.443	5	1	1.034	Tones/600.WAV	Tones/600.WAV
31.1	4.443	5	1	1.532	Tones/325.WAV	Tones/325.WAV
35.543	4.443	1	0	n/a	RhymeSpell/car.WAV	RhymeSpell/star.WAV
39.986	4.443	0	1	2.787	Tones/nullsilence.WAV	Tones/nullsilence.WAV
44.429	4.443	3	1	2.614	RhymeSpell/flash.WAV	RhymeSpell/wash.WAV
48.872	4.442	6	1	2.162	Tones/425600750.WAV	Tones/425600750.WAV
53.314	4.443	0	1	1.558	Tones/nullsilence.WAV	Tones/nullsilence.WAV
57.757	4.443	0	1	1.573	Tones/nullsilence.WAV	Tones/nullsilence.WAV
62.2	4.443	4	0	n/a	RhymeSpell/name.WAV	RhymeSpell/knee.WAV
66.643	4.443	4	1	1.311	RhymeSpell/cap.WAV	RhymeSpell/north.WAV
71.086	4.443	0	1	1.869	Tones/nullsilence.WAV	Tones/nullsilence.WAV
75.529	4.442	6	1	1.463	Tones/550800525.WAV	Tones/550800600.WAV
79.971	4.443	6	0	1.249	Tones/350825400.WAV	Tones/425825400.WAV
84.414	4.443	0	1	1.5	Tones/nullsilence.WAV	Tones/nullsilence.WAV
88.857	4.443	1	0	n/a	RhymeSpell/page.WAV	RhymeSpell/stage.WAV
93.3	4.443	2	0	2.425	RhymeSpell/woe.WAV	RhymeSpell/show.WAV
97.743	4.443	0	1	1.302	Tones/nullsilence.WAV	Tones/nullsilence.WAV
102.186	4.443	4	1	1.561	RhymeSpell/scheme.WAV	RhymeSpell/saint.WAV
106.629	4.442	2	0	n/a	RhymeSpell/foe.WAV	RhymeSpell/stow.WAV
111.071	4.443	0	1	2.773	Tones/nullsilence.WAV	Tones/nullsilence.WAV
115.514	4.443	6	1	0.897	Tones/650475300.WAV	Tones/650475300.WAV
119.957	4.443	6	1	1.189	Tones/425675500.WAV	Tones/425750500.WAV
124.4	4.443	0	1	1.781	Tones/nullsilence.WAV	Tones/nullsilence.WAV
128.843	4.443	5	1	3.302	Tones/350.WAV	Tones/425.WAV
133.286	4.442	0	1	3.087	Tones/nullsilence.WAV	Tones/nullsilence.WAV
137.728	4.443	2	1	2.097	RhymeSpell/weird.WAV	RhymeSpell/beard.WAV
142.171	4.443	1	1	2.001	RhymeSpell/cage.WAV	RhymeSpell/rage.WAV
146.614	4.443	3	0	1.815	RhymeSpell/grand.WAV	RhymeSpell/wand.WAV
151.057	4.443	6	1	2.82	Tones/875575325.WAV	Tones/875575400.WAV
155.5	4.443	3	0	n/a	RhymeSpell/breast.WAV	RhymeSpell/feast.WAV
159.943	4.442	0	1	1.802	Tones/nullsilence.WAV	Tones/nullsilence.WAV
164.385	4.443	5	1	1.257	Tones/850.WAV	Tones/850.WAV
168.828	4.443	0	1	3.186	Tones/nullsilence.WAV	Tones/nullsilence.WAV
173.271	4.443	6	0	2.722	Tones/725400775.WAV	Tones/650400775.WAV
177.714	4.443	2	1	2.526	RhymeSpell/plea.WAV	RhymeSpell/key.WAV
182.157	4.443	4	1	1.078	RhymeSpell/boom.WAV	RhymeSpell/past.WAV
186.6	4.442	5	1	0.932	Tones/775.WAV	Tones/700.WAV
191.042	4.443	0	1	2.754	Tones/nullsilence.WAV	Tones/nullsilence.WAV
195.485	4.443	0	1	2.384	Tones/nullsilence.WAV	Tones/nullsilence.WAV
199.928	4.443	4	1	1.943	RhymeSpell/brass.WAV	RhymeSpell/gut.WAV
204.371	4.443	0	1	1.68	Tones/nullsilence.WAV	Tones/nullsilence.WAV
208.814	4.443	4	1	2.238	RhymeSpell/nail.WAV	RhymeSpell/weep.WAV
213.257	4.443	0	1	2.414	Tones/nullsilence.WAV	Tones/nullsilence.WAV
217.7	4.442	3	0	1.053	RhymeSpell/christ.WAV	RhymeSpell/twist.WAV
222.142	4.443	5	0	n/a	Tones/625.WAV	Tones/625.WAV
226.585	4.443	2	1	1.669	RhymeSpell/froze.WAV	RhymeSpell/nose.WAV
231.028	4.443	0	1	2.332	Tones/nullsilence.WAV	Tones/nullsilence.WAV
235.471	4.443	1	0	2.012	RhymeSpell/cork.WAV	RhymeSpell/stork.WAV
239.914	4.443	0	1	3.305	Tones/nullsilence.WAV	Tones/nullsilence.WAV
244.357	4.442	4	1	1.471	RhymeSpell/food.WAV	RhymeSpell/brought.WAV
248.799	4.443	3	0	n/a	RhymeSpell/gone.WAV	RhymeSpell/phone.WAV
253.242	4.443	0	0	0.351	Tones/nullsilence.WAV	Tones/nullsilence.WAV
257.685	4.443	0	1	1.867	Tones/nullsilence.WAV	Tones/nullsilence.WAV
262.128	4.443	4	1	2.581	RhymeSpell/jet.WAV	RhymeSpell/pace.WAV
266.571	4.443	0	1	2.058	Tones/nullsilence.WAV	Tones/nullsilence.WAV
271.014	4.442	1	0	n/a	RhymeSpell/grow.WAV	RhymeSpell/snow.WAV
275.456	4.443	1	1	1.007	RhymeSpell/fluff.WAV	RhymeSpell/puff.WAV
279.899	4.443	6	1	1.381	Tones/325500725.WAV	Tones/325500725.WAV
284.342	4.443	6	1	1.36	Tones/625450850.WAV	Tones/625450775.WAV
288.785	4.443	0	1	1.583	Tones/nullsilence.WAV	Tones/nullsilence.WAV
293.228	4.443	4	0	2.631	RhymeSpell/calm.WAV	RhymeSpell/fame.WAV
297.671	4.443	0	1	2.269	Tones/nullsilence.WAV	Tones/nullsilence.WAV
302.114	4.442	2	1	2.627	RhymeSpell/grade.WAV	RhymeSpell/laid.WAV
306.556	4.443	0	1	1.657	Tones/nullsilence.WAV	Tones/nullsilence.WAV
310.999	4.443	1	1	1.916	RhymeSpell/care.WAV	RhymeSpell/rare.WAV
315.442	4.443	4	1	1.268	RhymeSpell/fall.WAV	RhymeSpell/tint.WAV
319.885	4.443	1	0	1.678	RhymeSpell/note.WAV	RhymeSpell/wrote.WAV
324.328	4.443	5	1	3.295	Tones/800.WAV	Tones/800.WAV
328.771	4.442	5	1	0.845	Tones/375.WAV	Tones/450.WAV
333.213	4.443	0	1	2.578	Tones/nullsilence.WAV	Tones/nullsilence.WAV
337.656	4.443	4	1	2.737	RhymeSpell/splash.WAV	RhymeSpell/braid.WAV
342.099	4.443	0	0	n/a	Tones/nullsilence.WAV	Tones/nullsilence.WAV
346.542	4.443	1	0	2.828	RhymeSpell/spruce.WAV	RhymeSpell/truce.WAV
350.985	4.443	1	1	1.935	RhymeSpell/shell.WAV	RhymeSpell/tell.WAV
355.428	4.442	1	0	1.55	RhymeSpell/fist.WAV	RhymeSpell/gist.WAV
359.87	4.443	6	1	2.572	Tones/875675300.WAV	Tones/875675300.WAV
364.313	4.443	3	0	n/a	RhymeSpell/phase.WAV	RhymeSpell/case.WAV
368.756	4.443	2	1	2.317	RhymeSpell/run.WAV	RhymeSpell/ton.WAV
373.199	4.443	0	1	1.873	Tones/nullsilence.WAV	Tones/nullsilence.WAV
377.642	4.443	5	1	2.355	Tones/650.WAV	Tones/575.WAV
382.085	4.442	3	0	1.773	RhymeSpell/scarce.WAV	RhymeSpell/farce.WAV
386.527	4.443	4	1	1.71	RhymeSpell/half.WAV	RhymeSpell/bake.WAV
390.97	4.443	1	0	1.98	RhymeSpell/cart.WAV	RhymeSpell/smart.WAV
395.413	4.443	0	1	1.524	Tones/nullsilence.WAV	Tones/nullsilence.WAV
399.856	4.443	6	1	1.246	Tones/375750475.WAV	Tones/375750475.WAV
404.299	4.443	0	1	1.855	Tones/nullsilence.WAV	Tones/nullsilence.WAV
408.742	4.443	0	1	1.583	Tones/nullsilence.WAV	Tones/nullsilence.WAV
413.185	4.442	2	1	1.894	RhymeSpell/hood.WAV	RhymeSpell/should.WAV
417.627	4.443	0	1	1.677	Tones/nullsilence.WAV	Tones/nullsilence.WAV
422.07	4.443	6	0	n/a	Tones/375800525.WAV	Tones/375800525.WAV
426.513	4.443	2	1	1.025	RhymeSpell/fruit.WAV	RhymeSpell/loot.WAV
430.956	4.443	0	1	2.348	Tones/nullsilence.WAV	Tones/nullsilence.WAV
435.399	4.443	4	1	1.301	RhymeSpell/palm.WAV	RhymeSpell/salt.WAV
439.842	4.442	3	1	1.946	RhymeSpell/shall.WAV	RhymeSpell/call.WAV
444.284	4.443	0	1	1.377	Tones/nullsilence.WAV	Tones/nullsilence.WAV
448.727	4.443	1	1	2.225	RhymeSpell/clear.WAV	RhymeSpell/fear.WAV
453.17	4.443	2	1	2.611	RhymeSpell/view.WAV	RhymeSpell/few.WAV
