onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.45	3.00	bus1	1233	1	686	1280	878080	0.8583	busRept19.jpg
3.95	3.00	mal1	2863	2	300	461	138300	0.0396	malware07.jpg
7.45	3.00	bus1	2741	1	760	1280	972800	0.9632	busRept07.jpg
10.95	3.00	bus1	1988	1	756	1280	967680	0.9575	busRept10.jpg
14.45	3.00	bus1	850	1	768	1056	811008	0.7841	busRept20.jpg
17.95	3.00	bus1	1756	1	768	879	675072	0.6337	busRept16.jpg
21.45	3.00	mal1	1963	1	676	1274	861224	0.8397	malware19.jpg
24.95	3.00	mal1	1036	1	768	1223	939264	0.9261	malware03.jpg
28.45	3.00	mal1	2379	1	281	500	140500	0.0421	malware14.jpg
31.95	3.00	bus1	2960	1	772	1280	988160	0.9802	busRept04.jpg
35.45	3.00	mal1	2876	1	457	500	228500	0.1394	malware11.jpg
38.95	3.00	mal1	1724	1	236	500	118000	0.0172	malware08.jpg
42.45	3.00	mal1	2766	2	265	500	132500	0.0332	malware10.jpg
45.95	3.00	bus1	2277	1	768	1020	783360	0.7535	busRept01.jpg
49.45	3.00	bus1	1177	1	686	1280	878080	0.8583	busRept11.jpg
52.95	3.00	bus1	720	1	768	1148	881664	0.8623	busRept17.jpg
56.45	3.00	mal1	1875	2	360	500	180000	0.0858	malware04.jpg
59.95	3.00	mal2	1419	2	360	500	180000	0.0858	malware04.jpg
63.45	3.00	mal2	1116	1	768	1223	939264	0.9261	malware03.jpg
66.95	3.00	novel	2160	1	768	875	672000	0.6303	busNoRept14.jpg
70.45	3.00	bus1	1180	1	768	1056	811008	0.7841	busRept18.jpg
73.95	3.00	bus2	1329	1	760	1280	972800	0.9632	busRept07.jpg
77.45	3.00	bus1	1479	1	697	1280	892160	0.8739	busRept13.jpg
80.95	3.00	mal2	2495	1	236	500	118000	0.0172	malware08.jpg
84.45	3.00	mal2	1354	1	676	1274	861224	0.8397	malware19.jpg
87.95	3.00	bus1	980	1	686	1280	878080	0.8583	busRept09.jpg
91.45	3.00	mal1	1489	1	410	500	205000	0.1134	malware17.jpg
94.95	3.00	mal3	2082	2	360	500	180000	0.0858	malware04.jpg
98.45	3.00	mal3	892	1	676	1274	861224	0.8397	malware19.jpg
101.95	3.00	mal1	1681	1	383	539	206437	0.1150	malware06.jpg
105.45	3.00	bus2	683	1	768	1056	811008	0.7841	busRept18.jpg
108.95	3.00	bus2	682	1	768	1056	811008	0.7841	busRept20.jpg
112.45	3.00	novel	763	1	768	1148	881664	0.8623	busNoRept08.jpg
115.95	3.00	bus1	2691	2	721	1280	922880	0.9079	busRept02.jpg
119.45	3.00	bus1	1884	1	768	1059	813312	0.7867	busRept08.jpg
122.95	3.00	mal1	0	NaN	448	500	224000	0.1345	malware20.jpg
126.03	3.00	bus1	2490	2	720	1280	921600	0.9065	busRept05.jpg
129.51	3.00	mal1	1848	2	389	500	194500	0.1018	malware01.jpg
133.01	3.00	bus1	1169	1	768	1021	784128	0.7544	busRept06.jpg
