onset	duration	trial_type
0.0156	6.0	action
8.022	6.0	interoception
16.0117	6.0	action
24.0182	6.0	situation
32.0246	6.0	interoception
60.0303	6.0	action
68.02	6.0	situation
76.0264	6.0	situation
84.0329	6.0	situation
92.0226	6.0	situation
100.029	6.0	action
108.0354	6.0	interoception
146.0325	6.0	situation
164.0302	6.0	action
172.0366	6.0	action
180.043	6.0	situation
188.0327	6.0	action
196.0392	6.0	interoception
204.0456	6.0	interoception
212.0353	6.0	situation
230.0497	6.0	action
238.0394	6.0	action
246.0458	6.0	situation
264.0436	6.0	action
272.05	6.0	interoception
280.0564	6.0	situation
288.0461	6.0	interoception
296.0525	6.0	situation
304.0589	6.0	situation
312.0487	6.0	action
320.0551	6.0	action
328.0615	6.0	situation
346.0592	6.0	interoception
364.0569	6.0	action
372.0634	6.0	action
380.0531	6.0	action
388.0595	6.0	interoception
396.0659	6.0	action
404.0556	6.0	interoception
412.062	6.0	action
420.0684	6.0	action
428.0582	6.0	interoception
436.0646	6.0	situation
444.071	6.0	interoception
452.0774	6.0	situation
460.0671	6.0	interoception
468.0735	6.0	interoception
476.0799	6.0	situation
494.0777	6.0	action
502.0674	6.0	interoception
520.0818	6.0	situation
528.0715	6.0	interoception
536.0779	6.0	interoception
544.0843	6.0	situation
552.0741	6.0	situation
560.0805	6.0	action
568.0869	6.0	interoception
576.0766	6.0	interoception
584.083	6.0	interoception
592.0894	6.0	situation
