onset	duration	trial_type	event_value	event_sample
7.548333333333333	0.0	stimulus46	46	9058
8.4475	0.0	CueLeftOrient	127	10137
10.046666666666667	0.0	Probe3	133	12056
14.0125	0.0	stimulus20	20	16815
14.928333333333333	0.0	CueLeftSF	126	17914
16.561666666666667	0.0	Probe8	140	19874
22.925833333333333	0.0	stimulus14	14	27511
23.791666666666668	0.0	CueLeftOrient	127	28550
25.358333333333334	0.0	Probe1	131	30430
27.29083333333333	0.0	stimulus2	2	32749
28.190833333333334	0.0	CueLeftSF	126	33829
29.856666666666666	0.0	Probe7	138	35828
32.03916666666667	0.0	stimulus69	69	38447
32.955	0.0	CueLeftOrient	127	39546
34.52166666666667	0.0	Probe6	136	41426
36.520833333333336	0.0	stimulus12	12	43825
37.45333333333333	0.0	CueRightOrient	129	44944
39.10333333333333	0.0	Probe6	136	46924
41.55166666666667	0.0	stimulus9	9	49862
42.435	0.0	CueRightSF	128	50922
44.0175	0.0	Probe1	131	52821
45.884166666666665	0.0	stimulus40	40	55061
46.75	0.0	CueRightSF	128	56100
48.365833333333335	0.0	Probe4	134	58039
50.3325	0.0	stimulus125	125	60399
51.248333333333335	0.0	CueLeftSF	126	61498
52.814166666666665	0.0	Probe2	132	63377
54.7475	0.0	stimulus63	63	65697
55.68	0.0	CueLeftOrient	127	66816
57.295833333333334	0.0	Probe4	134	68755
59.31166666666667	0.0	stimulus19	19	71174
60.195	0.0	CueRightOrient	129	72234
61.76083333333333	0.0	Probe2	132	74113
63.744166666666665	0.0	stimulus4	4	76493
64.62666666666667	0.0	CueLeftOrient	127	77552
66.22583333333333	0.0	Probe8	140	79471
68.625	0.0	stimulus25	25	82350
69.49166666666666	0.0	CueLeftOrient	127	83390
71.07416666666667	0.0	Probe2	132	85289
72.99	0.0	stimulus6	6	87588
73.85666666666667	0.0	CueRightSF	128	88628
75.50583333333333	0.0	Probe2	132	90607
77.72166666666666	0.0	stimulus25	25	93266
78.605	0.0	CueLeftSF	126	94326
80.25416666666666	0.0	Probe3	133	96305
82.23666666666666	0.0	stimulus2	2	98684
83.12	0.0	CueLeftOrient	127	99744
84.71916666666667	0.0	Probe1	131	101663
88.55166666666666	0.0	stimulus76	76	106262
89.45083333333334	0.0	CueRightOrient	129	107341
91.01666666666667	0.0	Probe5	135	109220
92.98333333333333	0.0	stimulus18	18	111580
93.84916666666666	0.0	CueRightOrient	129	112619
95.43166666666667	0.0	Probe6	136	114518
97.41416666666667	0.0	stimulus36	36	116897
98.3475	0.0	CueLeftSF	126	118017
99.93	0.0	Probe4	134	119916
101.89666666666666	0.0	stimulus24	24	122276
102.77916666666667	0.0	CueLeftSF	126	123335
104.345	0.0	Probe2	132	125214
108.67666666666666	0.0	stimulus14	14	130412
109.56	0.0	CueLeftOrient	127	131472
111.20916666666666	0.0	Probe4	134	133451
113.24166666666666	0.0	stimulus14	14	135890
114.14166666666667	0.0	CueRightSF	128	136970
115.77416666666667	0.0	Probe7	138	138929
117.85666666666667	0.0	stimulus60	60	141428
118.72333333333333	0.0	CueLeftOrient	127	142468
120.33916666666667	0.0	Probe4	134	144407
122.32166666666667	0.0	stimulus30	30	146786
123.23833333333333	0.0	CueLeftOrient	127	147886
124.80416666666666	0.0	Probe8	140	149765
126.98666666666666	0.0	stimulus56	56	152384
127.90333333333334	0.0	CueRightSF	128	153484
129.48583333333335	0.0	Probe1	131	155383
131.885	0.0	stimulus80	80	158262
132.785	0.0	CueLeftSF	126	159342
134.43416666666667	0.0	Probe6	136	161321
136.48333333333332	0.0	stimulus33	33	163780
137.38333333333333	0.0	CueLeftOrient	127	164860
138.99916666666667	0.0	Probe4	134	166799
141.165	0.0	stimulus84	84	169398
142.04833333333335	0.0	CueRightOrient	129	170458
143.68083333333334	0.0	Probe8	140	172417
145.78	0.0	stimulus100	100	174936
146.67916666666667	0.0	CueLeftOrient	127	176015
148.29583333333332	0.0	Probe1	131	177955
150.395	0.0	stimulus13	13	180474
151.31083333333333	0.0	CueLeftOrient	127	181573
152.8775	0.0	Probe8	140	183453
154.84333333333333	0.0	stimulus42	42	185812
155.77583333333334	0.0	CueRightSF	128	186931
157.3925	0.0	Probe1	131	188871
159.875	0.0	stimulus16	16	191850
160.72416666666666	0.0	CueRightOrient	129	192869
162.32333333333332	0.0	Probe7	138	194788
164.34	0.0	stimulus1	1	197208
165.28916666666666	0.0	CueLeftSF	126	198347
166.92166666666665	0.0	Probe6	136	200306
169.07083333333333	0.0	stimulus75	75	202885
169.97083333333333	0.0	CueRightSF	128	203965
171.62	0.0	Probe2	132	205944
173.61916666666667	0.0	stimulus44	44	208343
174.5025	0.0	CueRightOrient	129	209403
176.10166666666666	0.0	Probe6	136	211322
179.88416666666666	0.0	stimulus22	22	215861
180.75	0.0	CueLeftSF	126	216900
182.36583333333334	0.0	Probe5	135	218839
184.5325	0.0	stimulus16	16	221439
185.39833333333334	0.0	CueLeftOrient	127	222478
186.98083333333332	0.0	Probe6	136	224377
189.03083333333333	0.0	stimulus5	5	226837
189.93	0.0	CueRightOrient	129	227916
191.49583333333334	0.0	Probe1	131	229795
193.76166666666666	0.0	stimulus14	14	232514
194.695	0.0	CueRightOrient	129	233634
196.29416666666665	0.0	Probe3	133	235553
198.22666666666666	0.0	stimulus90	90	237872
199.07666666666665	0.0	CueRightSF	128	238892
200.6425	0.0	Probe7	138	240771
203.30833333333334	0.0	stimulus10	10	243970
204.15833333333333	0.0	CueLeftSF	126	244990
205.8075	0.0	Probe2	132	246969
207.80666666666667	0.0	stimulus8	8	249368
208.70666666666668	0.0	CueLeftOrient	127	250448
210.3225	0.0	Probe4	134	252387
212.37166666666667	0.0	stimulus56	56	254846
213.255	0.0	CueLeftSF	126	255906
214.90416666666667	0.0	Probe6	136	257885
217.97	0.0	stimulus42	42	261564
218.88583333333332	0.0	CueRightSF	128	262663
220.51833333333335	0.0	Probe4	134	264622
222.60083333333333	0.0	stimulus54	54	267121
223.5175	0.0	CueLeftOrient	127	268221
225.15	0.0	Probe8	140	270180
227.15	0.0	stimulus12	12	272580
228.06583333333333	0.0	CueLeftOrient	127	273679
229.64833333333334	0.0	Probe4	134	275578
235.04666666666665	0.0	stimulus39	39	282056
235.97916666666666	0.0	CueRightSF	128	283175
237.5625	0.0	Probe2	132	285075
241.06083333333333	0.0	stimulus120	120	289273
241.96083333333334	0.0	CueLeftOrient	127	290353
243.57666666666665	0.0	Probe6	136	292292
245.62583333333333	0.0	stimulus36	36	294751
246.57583333333332	0.0	CueLeftSF	126	295891
248.20833333333334	0.0	Probe2	132	297850
250.32416666666666	0.0	stimulus13	13	300389
251.19083333333333	0.0	CueRightOrient	129	301429
252.77333333333334	0.0	Probe1	131	303328
254.8225	0.0	stimulus12	12	305787
255.73916666666668	0.0	CueLeftSF	126	306887
257.3383333333333	0.0	Probe7	138	308806
259.3208333333333	0.0	stimulus18	18	311185
