onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0414	6	active_change	correct	1.4362000000000013	right
24.0578	6	active_change	correct	1.493500000000001	right
30.066	6	active_nochange	correct	1.4011999999999993	left
40.0825	6	passive	n/a	1.1103999999999985	right
46.0907	6	active_change	correct	1.5	right
56.1072	6	active_nochange	incorrect	1.4143000000000043	right
64.1237	6	active_change	correct	1.2616000000000014	right
70.1319	6	active_nochange	correct	1.2301999999999964	left
76.1401	6	active_change	correct	1.2959000000000032	right
82.1483	6	active_change	correct	1.305499999999995	right
90.1648	6	active_nochange	incorrect	1.2168000000000063	right
96.173	6	active_nochange	incorrect	1.2103999999999928	right
104.1895	6	active_nochange	incorrect	1.3367000000000075	right
110.1977	6	passive	n/a	2.1813000000000073	right
116.2059	6	active_change	correct	1.186000000000007	right
122.2141	6	active_nochange	incorrect	1.1056999999999988	right
130.2306	6	passive	n/a	1.9628999999999905	right
138.2471	6	active_nochange	incorrect	1.2192000000000007	right
144.2553	6	active_nochange	correct	1.292900000000003	left
154.2718	6	active_nochange	incorrect	1.4240999999999815	right
160.28	6	passive	n/a	1.0038000000000125	right
166.2882	6	passive	n/a	1.9262999999999977	right
176.3047	6	active_change	correct	1.7236000000000047	right
184.3212	6	active_change	correct	1.4479000000000042	right
192.3377	6	active_nochange	incorrect	1.296199999999999	right
198.3459	6	active_change	correct	1.241899999999987	right
208.3623	6	passive	n/a	1.7971000000000004	right
214.3705	6	active_nochange	incorrect	1.460800000000006	right
220.3787	6	active_change	incorrect	2.1063999999999794	left
226.387	6	active_change	correct	1.556999999999988	right
232.3952	6	active_nochange	incorrect	1.5407000000000153	right
242.4116	6	active_change	correct	1.5560000000000116	right
248.4198	6	active_change	correct	1.8615999999999815	right
256.4363	6	active_change	correct	1.4048999999999978	right
262.4445	6	active_change	incorrect	1.8005999999999744	left
268.4527	6	active_nochange	correct	1.5792000000000144	left
276.4692	6	passive	n/a	2.138500000000022	right
284.4857	6	passive	n/a	1.5258000000000038	left
300.5021	6	active_nochange	incorrect	1.6859000000000037	right
306.5103	6	active_nochange	correct	1.8226000000000226	left
