onset	duration	trial_type
19.996	3	jud
37.535	3	jud
55.686	3	jud
72.943	3	jud
88.237	3	jud
104.742	3	jud
121.093	3	jud
137.14	3	jud
154.091	3	jud
169.844	3	jud
185.29	3	jud
202.089	3	jud
219.793	3	jud
235.392	3	jud
251.286	3	jud
269.742	3	jud
286.388	3	jud
303.786	3	jud
319.985	3	jud
334.985	3	jud
352.089	3	jud
367.242	3	jud
385.546	3	jud
403.391	3	jud
9.992	8.892	negenhance
175.286	8.898	negenhance
192.085	8.899	negenhance
209.789	8.895	negenhance
324.993	8.891	negenhance
375.542	8.892	negenhance
27.543	8.891	negpassive
45.694	8.89	negpassive
78.245	8.889	negpassive
159.84	8.894	negpassive
225.388	8.896	negpassive
309.993	8.891	negpassive
94.738	8.896	negsuppress
111.09	8.894	negsuppress
127.136	8.898	negsuppress
276.396	8.888	negsuppress
293.794	8.89	negsuppress
357.238	8.896	negsuppress
62.939	8.895	neupassive
144.087	8.897	neupassive
241.294	8.89	neupassive
259.738	8.896	neupassive
342.085	8.899	neupassive
393.387	8.897	neupassive
