onset	duration	trial_type	stim_id	choice
0.084	1.8	decision_choice	90.jpg	Ja
1.884	0.525	decision_feedback	90.jpg	Ja
14.675	1.794	decision_choice	116.jpg	Neutraal
16.469	0.523	decision_feedback	116.jpg	Neutraal
30.266	0.921	decision_choice	400.jpg	Nee
31.187	0.521	decision_feedback	400.jpg	Nee
39.849	1.732	decision_choice	8.jpg	Neutraal
41.581	0.518	decision_feedback	8.jpg	Neutraal
53.432	1.742	decision_choice	40.jpg	Nee
55.174	0.517	decision_feedback	40.jpg	Nee
69.015	0.969	decision_choice	91.jpg	Ja
69.984	0.523	decision_feedback	91.jpg	Ja
86.598	1.505	decision_choice	259.jpg	Ja
88.103	0.52	decision_feedback	259.jpg	Ja
99.181	1.552	decision_choice	171.jpg	Neutraal
100.733	0.523	decision_feedback	171.jpg	Neutraal
108.765	0.991	decision_choice	48.jpg	Ja
109.756	0.517	decision_feedback	48.jpg	Ja
118.348	1.404	decision_choice	24.jpg	Neutraal
119.752	0.521	decision_feedback	24.jpg	Neutraal
136.931	1.359	decision_choice	411.jpg	Neutraal
138.29	0.524	decision_feedback	411.jpg	Neutraal
149.522	1.298	decision_choice	142.jpg	Ja
150.82	0.519	decision_feedback	142.jpg	Ja
158.105	0.804	decision_choice	89.jpg	Ja
158.909	0.521	decision_feedback	89.jpg	Ja
176.696	1.008	decision_choice	404.jpg	Ja
177.704	0.517	decision_feedback	404.jpg	Ja
193.279	1.148	decision_choice	353.jpg	Nee
194.427	0.519	decision_feedback	353.jpg	Nee
204.862	0.969	decision_choice	101.jpg	Ja
205.831	0.523	decision_feedback	101.jpg	Ja
220.445	1.279	decision_choice	119.jpg	Ja
221.724	0.521	decision_feedback	119.jpg	Ja
233.028	1.32	decision_choice	104.jpg	Neutraal
234.348	0.522	decision_feedback	104.jpg	Neutraal
244.611	1.262	decision_choice	34.jpg	Neutraal
245.873	0.522	decision_feedback	34.jpg	Neutraal
263.194	1.181	decision_choice	413.jpg	Nee
264.375	0.519	decision_feedback	413.jpg	Nee
280.777	1.252	decision_choice	255.jpg	Nee
282.029	0.523	decision_feedback	255.jpg	Nee
294.36	1.513	decision_choice	2.jpg	Neutraal
295.873	0.52	decision_feedback	2.jpg	Neutraal
302.943	2.047	decision_choice	410.jpg	Ja
304.99	0.52	decision_feedback	410.jpg	Ja
319.526	1.051	decision_choice	35.jpg	Ja
320.577	0.524	decision_feedback	35.jpg	Ja
337.117	1.259	decision_choice	32.jpg	Neutraal
338.376	0.525	decision_feedback	32.jpg	Neutraal
350.709	1.328	decision_choice	65.jpg	Zeker ja
352.037	0.522	decision_feedback	65.jpg	Zeker ja
367.292	0.883	decision_choice	414.jpg	Nee
368.175	0.517	decision_feedback	414.jpg	Nee
375.875	1.088	decision_choice	139.jpg	Zeker nee
376.963	0.52	decision_feedback	139.jpg	Zeker nee
386.458	1.713	decision_choice	118.jpg	Neutraal
388.171	0.52	decision_feedback	118.jpg	Neutraal
399.041	1.077	decision_choice	29.jpg	Neutraal
400.118	0.523	decision_feedback	29.jpg	Neutraal
409.624	0.83	decision_choice	74.jpg	Zeker nee
410.454	0.52	decision_feedback	74.jpg	Zeker nee
419.207	1.02	decision_choice	45.jpg	Neutraal
420.227	0.522	decision_feedback	45.jpg	Neutraal
437.79	1.21	decision_choice	337.jpg	Neutraal
439	0.523	decision_feedback	337.jpg	Neutraal
451.373	1.504	decision_choice	154.jpg	Neutraal
452.877	0.521	decision_feedback	154.jpg	Neutraal
461.956	1.225	decision_choice	336.jpg	Neutraal
463.181	0.517	decision_feedback	336.jpg	Neutraal
476.539	1.291	decision_choice	326.jpg	Ja
477.83	0.517	decision_feedback	326.jpg	Ja
487.122	1.16	decision_choice	401.jpg	Ja
488.282	0.524	decision_feedback	401.jpg	Ja
505.705	1.645	decision_choice	402.jpg	Ja
507.35	0.522	decision_feedback	402.jpg	Ja
514.288	1.542	decision_choice	64.jpg	Neutraal
515.83	0.517	decision_feedback	64.jpg	Neutraal
530.871	1.456	decision_choice	82.jpg	Ja
532.327	0.519	decision_feedback	82.jpg	Ja
548.454	1.348	decision_choice	144.jpg	Ja
549.802	0.519	decision_feedback	144.jpg	Ja
563.037	1.033	decision_choice	72.jpg	Neutraal
564.07	0.517	decision_feedback	72.jpg	Neutraal
579.62	0.963	decision_choice	69.jpg	Ja
580.583	0.52	decision_feedback	69.jpg	Ja
591.203	1.681	decision_choice	213.jpg	Neutraal
592.884	0.519	decision_feedback	213.jpg	Neutraal
601.786	1.01	decision_choice	53.jpg	Nee
602.796	0.523	decision_feedback	53.jpg	Nee
613.369	1.017	decision_choice	412.jpg	Nee
614.386	0.517	decision_feedback	412.jpg	Nee
627.961	1.284	decision_choice	403.jpg	Ja
629.245	0.524	decision_feedback	403.jpg	Ja
643.552	1.335	decision_choice	81.jpg	Neutraal
644.887	0.523	decision_feedback	81.jpg	Neutraal
652.135	1.152	decision_choice	235.jpg	Ja
653.287	0.523	decision_feedback	235.jpg	Ja
666.718	0.846	decision_choice	153.jpg	Ja
667.564	0.521	decision_feedback	153.jpg	Ja
