onset	duration	trial_type	score
7.153	4.547	face	64
14.385	5.334	face	1
23.867	2.477	face	4
28.35	3.194	face	84
32.366	4.575	face	50
40.498	4.647	face	1
45.681	3.205	face	76
51.43	6.176	face	51
59.195	3.499	face	1
66.578	6.234	face	62
76.56	2.765	face	1
82.209	3.473	face	1
88.691	6.699	face	85
98.74	6.357	face	72
107.172	4.615	face	1
112.921	1.626	face	1
118.22	6.947	face	60
125.903	3.961	face	80
133.968	4.73	face	1
141.917	7.853	face	79
151.649	9.532	face	49
164.264	7.026	face	80
171.946	3.002	face	1
175.962	5.418	face	61
184.128	3.541	face	1
190.477	2.354	face	1
196.776	2.033	face	1
199.876	3.664	face	80
205.075	2.841	face	1
209.174	5.448	face	1
218.04	2.888	face	1
225.355	6.295	face	88
232.854	3.721	face	1
239.72	10	face_too-slow	n/a
255.785	3.461	face	83
261.45	5.315	face	77
269.166	2.502	face	1
273.065	5.717	face	96
280.114	3.196	face	1
286.597	3.909	face	1
292.979	2.029	face	1
298.629	5.088	face	1
307.744	1.841	face	1
311.327	3.689	face	1
319.309	2.137	face	1
325.925	5.729	face	65
334.274	2.744	face	1
341.373	1.851	face	1
344.106	2.803	face	1
349.055	5.878	face	45
357.287	3.382	face	1
362.47	4.893	face	60
369.319	4.67	face	79
376.268	3.329	face	1
381.284	1.923	face	1
384.667	6.802	face	66
394.415	2.498	face	1
400.731	2.591	face	1
403.914	4.624	face	1
412.779	2.019	face	1
418.278	2.291	face	1
