onset	duration	trial_type
0.0228	20.0833	Bfix
21.1061	2.5226	hi_salience_left
24.7041	2.5075	hi_salience_left
28.2939	2.5226	hi_salience_right
31.9001	2.5226	hi_salience_left
35.4982	2.5226	hi_salience_left
39.0959	2.5226	hi_salience_left
42.7008	2.5226	hi_salience_left
46.3052	2.5226	hi_salience_right
49.91	2.5226	hi_salience_left
53.5077	2.5226	hi_salience_left
56.047	20.0876	Bfix
77.1345	2.5226	low_salience_left
80.7335	2.5226	low_salience_right
84.3443	2.5226	low_salience_left
87.9489	2.5226	low_salience_left
91.5583	2.5226	low_salience_left
95.1626	2.5226	low_salience_right
98.7702	2.5226	low_salience_right
102.3681	2.5226	low_salience_left
105.9731	2.5227	low_salience_left
109.5785	2.5226	low_salience_right
112.1177	20.0823	Bfix
133.1999	2.5226	hi_salience_left
136.8046	2.5226	hi_salience_left
140.4092	2.5226	hi_salience_left
144.0136	2.5226	hi_salience_right
147.6183	2.5226	hi_salience_left
151.2228	2.5226	hi_salience_left
154.828	2.5226	hi_salience_left
158.4322	2.5226	hi_salience_right
162.037	2.5226	hi_salience_left
165.6424	2.5226	hi_salience_right
168.1817	20.0226	Bfix
189.2861	2.5226	low_salience_left
192.8856	2.5226	low_salience_right
196.4831	2.5226	low_salience_left
200.0877	2.5226	low_salience_left
203.6922	2.5226	low_salience_right
207.2975	2.5226	low_salience_left
210.9023	2.5226	low_salience_right
214.4998	2.5226	low_salience_left
218.1044	2.5226	low_salience_right
221.7017	2.5226	low_salience_left
224.2409	20.0822	Bfix
245.3231	2.5226	hi_salience_right
248.9279	2.5226	hi_salience_left
252.5371	2.5226	hi_salience_left
256.1417	2.5226	hi_salience_right
259.7474	2.5226	hi_salience_right
263.3516	2.5226	hi_salience_right
266.9602	2.5226	hi_salience_right
270.565	2.5226	hi_salience_right
274.1749	2.5226	hi_salience_right
276.7141	20.0822	Bfix
297.7963	2.5226	low_salience_right
301.3935	2.5226	low_salience_left
304.9984	2.5226	low_salience_left
308.6042	2.5226	low_salience_right
312.2092	2.5226	low_salience_right
315.8137	2.5226	low_salience_right
319.4189	2.5226	low_salience_right
323.0241	2.5226	low_salience_right
326.629	2.5226	low_salience_left
330.2341	2.5226	low_salience_left
332.7734	21.1218	Bfix
