onset	duration	trial_type	response
1.0459	2.5226	start_pseudoword	other
4.0943	2.0246	pseudoword	hit
6.6216	2.0235	pseudoword	hit
9.1477	2.0238	pseudoword	hit
11.6741	2.0231	pseudoword	hit
14.1999	2.0228	pseudoword	hit
16.2227	2.5235	start_word	other
19.2487	2.0226	word	hit
21.7964	2.0231	word	hit
24.3219	2.0231	word	hit
26.8476	2.0226	word	hit
29.3952	2.0226	word	hit
31.4345	2.5231	start_random_string	other
34.46	2.0242	random_string	hit
36.9867	2.0237	random_string	hit
39.513	2.0238	random_string	hit
42.0395	2.0238	random_string	hit
44.5659	2.0228	random_string	hit
46.5888	20.0228	Bfix	other
66.6116	2.5231	start_pseudoword	other
69.6373	2.0231	pseudoword	hit
72.1629	2.0228	pseudoword	hit
74.6892	2.0231	pseudoword	hit
77.2149	2.0234	pseudoword	hit
79.7409	2.0226	pseudoword	hit
81.7801	2.5233	start_word	other
84.8062	2.0234	word	hit
87.3323	2.023	word	hit
89.858	2.0231	word	incorrect
92.3838	2.0226	word	hit
94.931	2.0226	word	hit
96.9703	2.5231	start_random_string	other
99.996	2.0233	random_string	hit
102.5218	2.0226	random_string	hit
105.0693	2.0234	random_string	hit
107.5954	2.0234	random_string	hit
110.1214	2.0227	random_string	hit
112.1441	20.0228	Bfix	other
132.1669	2.5234	start_random_string	other
135.1929	2.0231	random_string	hit
137.7186	2.0232	random_string	hit
140.2447	2.0226	random_string	hit
142.7924	2.0234	random_string	hit
145.3184	2.0228	random_string	hit
147.3412	2.5226	start_pseudoword	other
150.3888	2.023	pseudoword	hit
152.9144	2.023	pseudoword	hit
155.4401	2.0231	pseudoword	hit
157.9658	2.0231	pseudoword	hit
160.4914	2.0228	pseudoword	hit
162.5142	2.5231	start_word	other
165.5398	2.023	word	hit
168.0654	2.0231	word	hit
170.591	2.0231	word	hit
173.1167	2.0231	word	hit
175.6423	2.0226	word	hit
177.6815	20.0228	Bfix	other
197.7043	2.5231	start_pseudoword	other
200.73	2.0231	pseudoword	hit
203.2558	2.023	pseudoword	hit
205.7814	2.0231	pseudoword	hit
208.3071	2.0231	pseudoword	hit
210.8329	2.0226	pseudoword	hit
212.8722	2.5231	start_word	other
215.8978	2.023	word	hit
218.4235	2.023	word	hit
220.949	2.0226	word	hit
223.4968	2.0231	word	hit
226.0226	2.0226	word	hit
228.0619	2.5232	start_random_string	other
231.0876	2.0231	random_string	hit
233.6132	2.0231	random_string	hit
236.1389	2.0234	random_string	hit
238.665	2.0231	random_string	hit
241.1906	2.0227	random_string	hit
243.2133	20.0228	Bfix	other
263.2361	2.5231	start_word	other
266.2617	2.0231	word	hit
268.7874	2.023	word	hit
271.3131	2.0231	word	hit
273.8388	2.023	word	hit
276.3644	2.0228	word	hit
278.3872	2.5231	start_random_string	other
281.4128	2.023	random_string	hit
283.9384	2.023	random_string	hit
286.4642	2.0231	random_string	hit
288.9899	2.0231	random_string	hit
291.5156	2.0228	random_string	hit
293.5384	2.523	start_pseudoword	other
296.5641	2.023	pseudoword	hit
299.0896	2.0231	pseudoword	hit
301.6153	2.0231	pseudoword	hit
304.141	2.0231	pseudoword	hit
306.6666	2.0227	pseudoword	hit
308.6893	20.0226	Bfix	other
328.7286	2.5231	start_random_string	other
331.7542	2.0231	random_string	hit
334.2799	2.0231	random_string	hit
336.8055	2.023	random_string	hit
339.3312	2.0231	random_string	hit
341.857	2.0228	random_string	hit
343.8798	2.5231	start_pseudoword	other
346.9056	2.0231	pseudoword	hit
349.4312	2.0231	pseudoword	hit
351.9569	2.0226	pseudoword	hit
354.5044	2.0231	pseudoword	hit
357.0302	2.0226	pseudoword	hit
359.0695	2.5231	start_word	other
362.0951	2.0231	word	hit
364.6208	2.023	word	hit
367.1464	2.0226	word	hit
369.6939	2.023	word	hit
372.2196	2.0228	word	hit
374.2423	6.0226	Bfix	other
