onset	duration	trial_type
1.0493	0.2226	unattend
2.2111	0.2226	attend
3.4729	0.2226	attend
4.8348	0.2226	attend
5.9967	0.2187	unattend
7.1547	0.2226	unattend
8.3165	0.2226	unattend
9.5783	0.2226	attend
10.7402	0.2226	unattend
11.902	0.2226	unattend
13.1639	0.2226	attend
14.3258	0.2226	attend
15.5876	0.2226	unattend
16.8495	0.2226	unattend
18.0113	0.2226	attend
19.1732	0.2227	unattend
20.5352	0.2227	attend
21.6971	0.2226	attend
22.859	0.2226	attend
24.1208	0.2226	unattend
25.4826	0.2226	attend
26.7445	0.2226	unattend
27.9064	0.2226	attend
29.1682	0.2226	unattend
30.5301	0.2227	attend
31.792	0.2226	attend
32.9538	0.2226	unattend
34.2157	0.2226	attend
35.3775	0.2226	unattend
36.7394	0.2226	unattend
38.0013	0.2226	unattend
39.3632	0.2226	unattend
40.625	0.2226	unattend
41.7869	15.0238	Bfix
56.8107	0.2226	attend
57.9725	0.2226	attend
59.3344	0.2226	unattend
60.4963	0.2226	unattend
61.6582	0.2226	attend
63.02	0.2226	unattend
64.1819	0.2226	attend
65.3437	0.2226	unattend
66.5056	0.2227	attend
67.7675	0.2226	attend
69.0294	0.2226	unattend
70.1913	0.2226	unattend
71.4531	0.2226	attend
72.8149	0.2226	attend
73.9768	0.2226	unattend
75.3386	0.2226	attend
76.5004	0.2226	unattend
77.6623	0.2226	unattend
79.0242	0.2226	attend
80.186	0.2226	unattend
81.5479	0.2226	attend
82.9097	0.2226	unattend
84.1717	0.2226	unattend
85.3335	0.2226	attend
86.5954	0.2226	unattend
87.9572	0.2226	unattend
89.219	0.2226	unattend
90.3809	0.2226	attend
91.7428	0.2226	unattend
93.0046	0.2226	attend
94.1665	0.2226	unattend
95.3284	0.2226	unattend
96.6902	0.2226	attend
97.8521	15.0232	Bfix
112.8753	0.2226	unattend
114.1372	0.2226	unattend
115.4991	0.2226	unattend
116.6609	0.2226	unattend
117.9228	0.2226	unattend
119.2846	0.2226	unattend
120.6465	0.2226	unattend
121.9083	0.2226	attend
123.2702	0.2226	attend
124.432	0.2226	unattend
125.7939	0.2226	attend
127.1557	0.2226	unattend
128.5176	0.2226	unattend
129.6795	0.2226	attend
130.9413	0.2226	unattend
132.1032	0.2226	attend
133.3651	0.2227	attend
134.727	0.2226	attend
135.8888	0.2226	unattend
137.0507	0.2226	attend
138.3125	0.2226	unattend
139.4744	0.2226	attend
140.7362	0.2226	unattend
141.9981	0.2226	attend
143.2599	0.2226	attend
144.6217	0.2226	unattend
145.7836	0.2226	attend
146.9455	0.2226	attend
148.3073	0.2226	unattend
149.6692	0.2226	attend
151.0311	0.2226	unattend
152.3929	15.0233	Bfix
167.4162	0.2226	unattend
168.6781	0.2226	attend
169.9401	0.2226	unattend
171.1019	0.2226	attend
172.2638	0.2226	unattend
173.4256	0.2226	unattend
174.6875	0.2226	unattend
175.9493	0.2226	attend
177.1112	0.2226	attend
178.473	0.2226	unattend
179.8349	0.2226	unattend
181.0968	0.2226	attend
182.2586	0.2226	unattend
183.5205	0.2226	unattend
184.6824	0.2226	attend
185.8443	0.2226	unattend
187.0061	0.2226	unattend
188.168	0.2226	attend
189.3298	0.2226	unattend
190.6917	0.2226	unattend
191.9535	0.2226	attend
193.1155	0.2226	unattend
194.4773	0.2226	unattend
195.6392	0.2226	unattend
197.001	0.2227	attend
198.3629	0.2226	attend
199.7248	0.2226	unattend
200.9866	0.2226	attend
202.3484	0.2226	unattend
203.5103	0.2226	attend
204.7722	0.2226	unattend
206.0341	0.2226	unattend
207.296	15.0239	Bfix
222.3198	0.2226	attend
223.6817	0.2226	unattend
224.8435	0.2226	attend
226.0054	0.2204	unattend
227.165	0.2226	attend
228.3269	0.2226	attend
229.5888	0.2226	unattend
230.7506	0.2226	attend
232.1125	0.2226	unattend
233.3743	0.2226	unattend
234.5362	0.2226	unattend
235.698	0.2226	attend
236.8599	0.2226	unattend
238.1217	0.2226	attend
239.4836	0.2226	attend
240.8455	0.2226	unattend
242.1073	0.2226	attend
243.4692	0.2226	unattend
244.731	0.2226	attend
245.9929	0.2226	attend
247.3547	0.2226	attend
248.7166	0.2226	unattend
250.0784	0.2226	unattend
251.3403	0.2226	attend
252.7021	0.2226	attend
253.964	0.2226	attend
255.2258	0.2226	attend
256.3877	0.2226	attend
257.5495	0.2226	unattend
258.8114	0.2226	attend
259.9733	0.2226	unattend
261.3351	0.2226	unattend
262.5969	0.2226	attend
263.8588	0.2226	unattend
265.1206	0.2226	attend
266.4825	0.2226	unattend
267.8443	0.2226	attend
269.2062	5.0226	Suite
276.2289	7.2026	Bfix
