onset	duration	trial_type	response
0.0228	5.0436	Bfix	other
5.0664	0.2226	house	other
6.3449	0.2226	animal	other
7.6068	0.2226	pseudoword	other
9.0687	0.2226	pseudoword	other
10.3472	0.2226	house	other
11.6091	0.2226	pseudoword	other
12.9877	0.2226	house	other
14.4495	0.2227	pseudoword	other
15.9114	0.2226	pseudoword	other
17.39	0.2226	animal	other
18.8685	0.2226	house	other
20.1304	0.2226	pseudoword	other
21.4089	0.2226	animal	other
22.8708	0.2226	characters	other
24.1493	0.2226	house	other
25.5278	0.2226	target_fruit	other
26.9897	0.2226	characters	other
28.4683	0.2226	animal	other
29.7468	0.2226	animal	other
31.2087	0.2226	pseudoword	other
32.5706	0.2226	characters	other
33.8324	0.2226	characters	other
35.111	0.2226	house	other
36.5895	0.2226	house	other
37.8681	0.2226	animal	other
39.2299	5.0272	Bfix	other
44.2572	0.2226	characters	other
45.6357	0.2226	house	other
47.0143	0.2226	target_fruit	other
48.4928	0.2226	house	other
49.8548	0.2226	characters	other
51.2166	0.2226	pseudoword	other
52.5785	0.2227	characters	other
54.0571	0.2226	animal	other
55.3356	0.2226	animal	other
56.6975	0.2127	characters	other
57.9661	0.2226	animal	other
59.428	0.2226	pseudoword	other
60.6898	0.2226	pseudoword	other
62.1684	0.2227	animal	other
63.6304	0.2226	pseudoword	other
65.109	0.2226	house	other
66.4875	0.2226	house	other
67.866	0.2226	animal	other
69.3446	0.2226	target_fruit	other
70.8065	0.2226	pseudoword	other
72.1683	5.0228	Bfix	other
77.1911	0.2226	characters	other
78.553	0.2226	pseudoword	other
80.0315	0.2226	animal	other
81.3934	0.2226	characters	other
82.6719	0.2226	target_fruit	other
83.9337	0.2226	pseudoword	other
85.1955	0.2226	pseudoword	other
86.4741	0.2226	animal	other
87.8526	0.2226	house	other
89.3312	0.2226	animal	other
90.793	0.2226	pseudoword	other
92.2549	0.2226	pseudoword	other
93.6501	0.2226	animal	other
94.9119	0.2226	pseudoword	other
96.2905	0.2226	house	other
97.6523	0.2226	pseudoword	other
99.1142	0.2226	characters	other
100.3928	0.2226	house	other
101.8546	0.2226	characters	other
103.3332	0.2226	animal	other
104.6117	0.2226	animal	other
105.9736	0.2226	pseudoword	other
107.2521	0.2226	animal	other
108.5307	0.2226	animal	other
110.0092	0.2226	animal	other
111.3877	0.2226	animal	other
112.7496	0.2226	pseudoword	other
114.2114	0.2226	characters	other
115.5733	0.2226	pseudoword	other
117.047	0.2226	house	other
118.5088	5.0226	Bfix	other
123.5481	0.2226	characters	other
124.8266	0.2226	house	other
126.1885	0.2226	characters	other
127.5504	0.2226	characters	other
128.9122	0.2226	characters	other
130.3907	0.2226	animal	other
131.8526	0.2226	characters	other
133.2145	0.2226	pseudoword	other
134.7097	0.2226	house	other
135.9882	0.2227	house	other
137.3501	0.2226	characters	other
138.8286	0.2226	target_fruit	other
140.1072	0.2226	animal	other
141.3691	0.2226	pseudoword	other
142.7309	0.2226	pseudoword	other
144.0928	0.2226	characters	other
145.5714	0.2226	house	other
146.8499	0.2226	house	other
148.1285	0.2226	house	other
149.407	0.2226	animal	other
150.6689	5.0258	Bfix	other
155.6947	0.2226	characters	other
157.1566	0.2226	characters	other
158.4351	0.2226	animal	other
159.9136	0.2226	house	other
161.3921	0.2226	house	other
162.754	0.2226	characters	other
164.1326	0.2226	house	other
165.6111	0.2226	house	other
