onset	duration	trial_type
16	4	number
20	4	child
24	4	word
28	4	house
36	4	limb
40	4	body
48	4	adult
52	4	limb
56	4	child
60	4	instrument
64	4	car
72	4	corridor
76	4	adult
84	4	body
88	4	child
92	4	house
96	4	instrument
104	4	car
108	4	limb
112	4	number
116	4	instrument
120	4	word
136	4	adult
140	4	child
144	4	adult
148	4	number
152	4	corridor
156	4	car
160	4	house
164	4	word
172	4	corridor
176	4	number
180	4	body
188	4	word
192	4	number
196	4	child
200	4	house
204	4	limb
208	4	instrument
212	4	car
216	4	corridor
224	4	instrument
228	4	word
232	4	car
236	4	body
240	4	number
244	4	limb
248	4	body
252	4	instrument
256	4	adult
260	4	car
264	4	child
268	4	limb
272	4	house
276	4	body
280	4	corridor
284	4	house
288	4	corridor
292	4	adult
300	4	word
