onset	duration	trial_type
9.643	21	9
9.643	21	104
63.82	21	4
63.82	21	163
115.429	21	6
115.429	21	173
163.065	21	5
163.065	21	205
209.917	21	5
209.917	21	202
257.556	21	9
257.556	21	109
304.066	21	1
304.066	21	150
349.865	21	6
349.865	21	176
395.778	21	4
395.778	21	165
442.602	21	6
442.602	21	182
487.551	21	5
487.551	21	206
534.583	21	9
534.583	21	134
583.932	21	5
583.932	21	201
630.474	21	1
630.474	21	153
676.77	21	2
676.77	21	185
723.479	21	2
723.479	21	194
769.392	21	2
769.392	21	186
816.118	21	2
816.118	21	193
