onset	duration	trial_type
30.315	1	InCon
36.314	1	Con
42.314	1	Con
45.913	1	InCon
50.713	1	InCon
55.513	1	InCon
59.112	1	Con
62.712	1	Con
68.728	1	Con
73.528	1	InCon
79.527	1	InCon
84.327	1	Con
87.926	1	Con
92.726	1	InCon
96.325	1	Con
102.325	1	Con
108.324	1	Con
114.324	1	InCon
119.123	1	Con
125.123	1	Con
128.722	1	Con
133.522	1	Con
138.322	1	Con
141.921	1	InCon
145.521	1	Con
149.121	1	Con
153.92	1	Con
158.72	1	InCon
162.319	1	InCon
168.319	1	Con
171.918	1	Con
177.918	1	Con
181.517	1	Con
186.317	1	InCon
192.316	1	Con
197.116	1	Con
233.113	1	Con
237.912	1	Con
241.512	1	Con
247.528	1	InCon
253.527	1	Con
258.327	1	InCon
261.927	1	Con
265.526	1	InCon
269.126	1	Con
273.926	1	InCon
279.925	1	InCon
285.924	1	Con
290.724	1	Con
296.723	1	InCon
300.323	1	Con
305.123	1	InCon
311.122	1	Con
315.922	1	Con
319.521	1	InCon
323.121	1	InCon
327.921	1	Con
331.52	1	Con
337.52	1	InCon
342.319	1	Con
348.319	1	Con
351.918	1	InCon
357.918	1	Con
362.717	1	Con
367.517	1	Con
373.516	1	InCon
377.116	1	Con
380.716	1	Con
385.515	1	Con
390.315	1	Con
393.914	1	Con
399.914	1	Con
435.927	1	InCon
439.527	1	InCon
445.526	1	Con
449.126	1	Con
453.925	1	Con
459.925	1	Con
465.924	1	InCon
470.724	1	Con
474.324	1	Con
477.923	1	Con
483.923	1	Con
488.722	1	Con
493.522	1	InCon
497.121	1	Con
500.721	1	InCon
506.721	1	Con
511.52	1	InCon
517.52	1	InCon
522.319	1	Con
525.919	1	Con
530.718	1	Con
536.718	1	Con
542.717	1	InCon
547.517	1	InCon
551.116	1	Con
557.116	1	Con
560.716	1	Con
564.315	1	InCon
567.915	1	Con
573.914	1	Con
579.914	1	Con
583.513	1	Con
588.313	1	InCon
593.112	1	Con
597.912	1	Con
602.712	1	InCon
