onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.22799999999999	1.384	1	1	NaN	'5h'
8.74499999999999	1.38	1	1	NaN	'6s'
10.253	1.38	1	1	NaN	'3d'
11.76	1.38	1	1	NaN	'8f'
13.268	1.38	1	1	28	'4d_dot'
14.773	1.379	1	1	NaN	'7h'
16.279	1.379	1	1	NaN	'2f'
17.784	1.38	1	1	28	'1s_dot'
19.331	1.375	1	0	NaN	'4s'
20.858	1.375	1	0	NaN	'2d'
22.387	1.375	1	0	NaN	'3d'
23.909	1.375	1	0	NaN	'6h'
25.427	1.375	1	0	NaN	'5f'
26.949	1.375	1	0	NaN	'1f'
28.465	1.375	1	0	NaN	'8s'
29.986	1.375	1	0	NaN	'7h'
31.511	1.375	2	0	NaN	'3'
33.036	1.375	2	0	NaN	'1'
34.565	1.375	2	0	28	'7_dot'
36.084	1.375	2	0	28	'5_dot'
37.605	1.375	2	0	NaN	'4'
39.131	1.375	2	0	28	'8_dot'
40.662	1.375	2	0	28	'6_dot'
42.186	1.375	2	0	NaN	'2'
43.696	1.382	2	1	NaN	'7'
45.204	1.38	2	1	NaN	'2'
46.713	1.382	2	1	NaN	'1'
48.221	1.382	2	1	NaN	'3'
49.728	1.381	2	1	28	'6_dot'
51.231	1.381	2	1	NaN	'4'
52.74	1.382	2	1	28	'5_dot'
54.249	1.382	2	1	28	'8'
55.781	1.375	1	0	NaN	'8d'
57.305	1.375	1	0	NaN	'7f'
58.824	1.375	1	0	28	'3s_dot'
60.349	1.375	1	0	NaN	'1s_dot'
61.872	1.375	1	0	28	'2h_dot'
63.394	1.375	1	0	NaN	'5d'
64.925	1.375	1	0	NaN	'4h'
66.441	1.375	1	0	NaN	'6f'
67.952	1.379	1	1	28	'8f_dot'
69.46	1.38	1	1	28	'1s_dot'
70.966	1.381	1	1	NaN	'7f'
72.473	1.379	1	1	28	'5d_dot'
73.978	1.379	1	1	NaN	'4h_dot'
75.483	1.38	1	1	28	'6s'
76.989	1.379	1	1	28	'2d_dot'
78.493	1.38	1	1	NaN	'3h'
80.019	1.375	2	0	28	'6_dot'
81.539	1.375	2	0	NaN	'2'
83.058	1.375	2	0	NaN	'3'
84.581	1.375	2	0	NaN	'4'
86.104	1.375	2	0	NaN	'8'
87.621	1.375	2	0	NaN	'1'
89.141	1.375	2	0	NaN	'7'
90.666	1.375	2	0	NaN	'5'
92.174	1.382	2	1	NaN	'5'
93.682	1.382	2	1	NaN	'3'
95.19	1.382	2	1	NaN	'8'
96.697	1.381	2	1	28	'7_dot'
98.205	1.382	2	1	NaN	'1_dot'
99.707	1.382	2	1	NaN	'6'
101.217	1.382	2	1	NaN	'4'
102.724	1.382	2	1	NaN	'2'
104.255	1.375	2	0	NaN	'2'
105.771	1.375	2	0	NaN	'6'
107.293	1.375	2	0	28	'8_dot'
108.819	1.375	2	0	28	'5_dot'
110.341	1.375	2	0	28	'3_dot'
111.859	1.375	2	0	NaN	'7'
113.382	1.375	2	0	28	'1_dot'
114.907	1.375	2	0	NaN	'4'
116.42	1.38	1	1	28	'8d_dot'
117.927	1.379	1	1	28	'5s_dot'
119.433	1.38	1	1	NaN	'7f'
120.939	1.38	1	1	NaN	'6d'
122.442	1.38	1	1	NaN	'1f'
123.946	1.38	1	1	NaN	'4h'
125.448	1.38	1	1	NaN	'2s'
126.955	1.38	1	1	NaN	'3h'
128.465	1.38	1	1	28	'1f_dot'
129.971	1.379	1	1	28	'4s_dot'
131.475	1.379	1	1	28	'5h_dot'
132.98	1.38	1	1	NaN	'2d'
134.488	1.38	1	1	28	'8h_dot'
135.999	1.38	1	1	28	'3s_dot'
137.505	1.379	1	1	28	'7d_dot'
139.007	1.38	1	1	28	'6f_dot'
140.516	1.382	2	1	NaN	'3'
142.025	1.381	2	1	28	'7_dot'
143.534	1.382	2	1	28	'8_dot'
145.044	1.382	2	1	28	'4_dot'
146.553	1.382	2	1	NaN	'5'
148.059	1.382	2	1	28	'6_dot'
149.566	1.382	2	1	NaN	'2'
151.074	1.382	2	1	28	'1_dot'
152.613	1.375	1	0	28	'4h_dot'
154.135	1.375	1	0	NaN	'6s'
155.658	1.375	1	0	NaN	'3s'
157.18	1.375	1	0	NaN	'5f'
158.71	1.375	1	0	28	'7f_dot'
160.243	1.375	1	0	28	'1h_dot'
161.769	1.375	1	0	NaN	'2d'
163.285	1.375	1	0	NaN	'8d'
164.806	1.375	2	0	NaN	'2'
166.33	1.375	2	0	NaN	'6'
167.856	1.375	2	0	NaN	'5'
169.371	1.375	2	0	NaN	'3'
170.891	1.375	2	0	NaN	'8'
172.413	1.375	2	0	NaN	'4'
173.93	1.375	2	0	28	'7_dot'
175.452	1.375	2	0	28	'1_dot'
176.979	1.375	1	0	NaN	'3s'
178.497	1.375	1	0	NaN	'4h'
180.015	1.375	1	0	NaN	'1h'
181.538	1.375	1	0	NaN	'8d'
183.056	1.375	1	0	NaN	'7d'
184.576	1.375	1	0	NaN	'2f'
186.097	1.375	1	0	NaN	'6f'
187.616	1.375	1	0	28	'5s_dot'
189.127	1.382	2	1	NaN	'5'
190.637	1.382	2	1	28	'4_dot'
192.146	1.382	2	1	NaN	'2'
193.654	1.382	2	1	NaN	'3'
195.162	1.382	2	1	NaN	'1'
196.667	1.382	2	1	NaN	'7'
198.175	1.382	2	1	NaN	'6'
199.682	1.382	2	1	NaN	'8'
