onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
1.523	4.000	strong unrelated	3.008	learn a-c	test	object	scene	face	1	143	95	195	247	1.500
6.021	4.000	strong unrelated	3.069	learn a-c	restudy	scene	object	face	2	74	122	274	126	6.000
10.520	4.000	weak unrelated	3.616	learn a-c	restudy	face	scene	object	3	120	48	96	224	10.500
15.019	4.000	strong unrelated	2.514	learn a-c	test	scene	face	object	4	45	117	269	45	15.000
19.518	4.000	strong unrelated	1.198	learn a-c	test	object	face	scene	5	1	49	149	1	19.500
24.016	4.000	strong unrelated	2.248	learn a-c	restudy	face	object	scene	6	62	14	62	114	24.000
28.515	4.000	strong unrelated	2.711	learn a-c	restudy	face	scene	object	7	108	36	84	212	28.500
33.014	4.000	strong unrelated	1.741	learn a-c	test	face	object	scene	8	65	17	65	117	33.000
37.512	4.000	strong unrelated	2.056	learn a-c	restudy	object	scene	face	9	136	88	188	240	37.500
42.011	4.000	strong unrelated	2.114	learn a-c	test	object	scene	face	10	137	89	189	241	42.000
46.510	4.000	strong unrelated	2.345	learn a-c	restudy	face	scene	object	11	112	40	88	216	46.500
51.008	4.000	strong unrelated	2.246	learn a-c	restudy	scene	face	object	12	30	102	254	30	51.000
55.507	4.000	strong unrelated	1.911	learn a-c	restudy	scene	object	face	13	78	126	278	130	55.500
60.022	4.000	strong unrelated	1.382	learn a-c	restudy	scene	face	object	14	44	116	268	44	60.000
64.521	4.000	strong unrelated	2.107	learn a-c	restudy	object	face	scene	15	8	56	156	8	64.500
69.020	4.000	strong unrelated	1.401	learn a-c	test	face	scene	object	16	113	41	89	217	69.000
73.518	4.000	strong unrelated	2.659	learn a-c	test	face	object	scene	17	57	9	57	109	73.500
78.017	4.000	weak unrelated	3.080	learn a-c	restudy	scene	object	face	18	92	140	292	144	78.000
82.516	4.000	strong unrelated	2.055	learn a-c	restudy	object	face	scene	19	24	72	172	24	82.500
87.014	4.000	strong unrelated	1.868	learn a-c	restudy	scene	object	face	20	94	142	294	146	87.000
91.513	4.000	strong unrelated	1.465	learn a-c	test	object	face	scene	21	3	51	151	3	91.500
96.012	4.000	strong unrelated	1.942	learn a-c	test	face	object	scene	22	53	5	53	105	96.000
100.510	4.000	strong unrelated	1.993	learn a-c	restudy	face	scene	object	23	110	38	86	214	100.500
105.009	4.000	strong unrelated	2.176	learn a-c	restudy	object	scene	face	24	128	80	180	232	105.000
109.508	4.000	strong unrelated	1.698	learn a-c	test	face	scene	object	25	111	39	87	215	109.500
114.023	4.000	strong unrelated	1.401	learn a-c	restudy	object	face	scene	26	2	50	150	2	114.000
118.522	4.000	strong unrelated	1.640	learn a-c	restudy	face	scene	object	27	116	44	92	220	118.500
123.021	4.000	strong unrelated	1.328	learn a-c	test	face	scene	object	28	101	29	77	205	123.000
127.519	4.000	strong unrelated	1.551	learn a-c	test	object	scene	face	29	125	77	177	229	127.500
