onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.010	2.000	remember	0.453	updating	restudy	1	scene	object	face	target	scene	other	forget	1	4	86	134	286	138	1.000	17
5.543	2.000	remember	0.568	updating	restudy	1	face	object	scene	target	face	target	remember	2	4	62	14	62	114	5.528	13
11.575	2.000	forget	0.447	updating	retprac	1	face	scene	object	competitor	scene	no response	no response	3	4	111	39	87	215	11.561	1
16.792	2.000	remember	0.383	updating	restudy	1	face	scene	object	target	face	competitor	forget	4	4	110	38	86	214	16.771	22
22.758	2.000	remember	0.360	updating	restudy	1	object	face	scene	target	object	competitor	forget	5	4	16	64	164	16	22.750	21
27.891	2.000	forget	0.476	updating	retprac	1	scene	object	face	other	face	other	forget	6	4	87	135	287	139	27.871	3
37.790	2.000	forget	0.400	updating	retprac	1	object	face	scene	competitor	face	other	forget	7	4	13	61	161	13	37.783	8
42.989	2.000	remember	0.440	updating	restudy	1	face	scene	object	target	face	competitor	forget	8	4	112	40	88	216	42.977	23
48.522	2.000	remember	0.395	updating	retprac	1	scene	face	object	target	scene	competitor	forget	9	4	39	111	263	39	48.514	7
58.438	2.000	forget	0.327	updating	retprac	1	face	scene	object	competitor	scene	other	forget	10	4	109	37	85	213	58.420	6
63.204	2.000	forget	0.369	updating	retprac	1	object	face	scene	competitor	face	no response	no response	11	4	15	63	163	15	63.195	12
68.254	2.000	remember	0.416	updating	restudy	1	scene	object	face	target	scene	other	forget	12	4	88	136	288	140	68.243	20
77.270	2.000	remember	0.375	updating	restudy	1	object	face	scene	target	object	competitor	forget	13	4	14	62	162	14	77.257	14
86.419	2.000	forget	0.554	updating	retprac	1	scene	object	face	other	face	competitor	forget	14	4	85	133	285	137	86.403	5
91.135	2.000	remember	0.309	updating	retprac	1	scene	face	object	target	scene	competitor	forget	15	4	37	109	261	37	91.119	9
95.951	2.000	remember	0.493	updating	restudy	1	face	object	scene	target	face	competitor	forget	16	4	64	16	64	116	95.938	19
100.984	2.000	forget	0.540	updating	retprac	1	object	scene	face	other	face	competitor	forget	17	4	133	85	185	237	100.965	2
106.384	2.000	forget	0.940	updating	retprac	1	face	object	scene	other	scene	competitor	forget	18	4	61	13	61	113	106.366	10
111.183	2.000	forget	0.389	updating	retprac	1	object	scene	face	other	face	other	forget	19	4	135	87	187	239	111.157	4
117.683	2.000	remember	0.497	updating	restudy	1	object	scene	face	target	object	competitor	forget	20	4	136	88	188	240	117.665	24
122.666	2.000	forget	0.378	updating	retprac	2	face	scene	object	competitor	scene	no response	no response	21	4	111	39	87	215	122.649	1
128.098	2.000	forget	0.313	updating	retprac	2	scene	face	object	other	object	competitor	forget	22	4	39	111	263	39	128.085	7
132.798	2.000	remember	0.020	updating	restudy	1	scene	face	object	target	scene	competitor	forget	23	4	40	112	264	40	132.789	15
138.181	2.000	forget	0.870	updating	retprac	2	object	face	scene	competitor	face	no response	no response	24	4	15	63	163	15	138.168	12
143.530	2.000	remember	0.264	updating	restudy	2	face	object	scene	target	face	target	remember	25	4	62	14	62	114	143.510	13
148.163	2.000	remember	0.199	updating	restudy	1	object	scene	face	target	object	target	remember	26	4	134	86	186	238	148.155	16
152.896	2.000	remember	0.490	updating	retprac	2	object	face	scene	target	object	other	forget	27	4	13	61	161	13	152.885	8
157.929	2.000	forget	0.353	updating	retprac	1	face	object	scene	competitor	object	target	remember	28	4	63	15	63	115	157.909	11
162.579	2.000	remember	0.328	updating	retprac	2	object	scene	face	target	object	competitor	forget	29	4	133	85	185	237	162.559	2
167.311	2.000	remember	0.419	updating	restudy	2	scene	object	face	target	scene	other	forget	30	4	86	134	286	138	167.297	17
176.661	2.000	remember	0.309	updating	restudy	2	face	scene	object	target	face	competitor	forget	31	4	110	38	86	214	176.647	22
183.660	2.000	remember	0.326	updating	restudy	2	face	scene	object	target	face	competitor	forget	32	4	112	40	88	216	183.641	23
189.526	2.000	remember	0.363	updating	restudy	2	object	face	scene	target	object	competitor	forget	33	4	16	64	164	16	189.508	21
194.742	2.000	remember	0.507	updating	restudy	2	face	object	scene	target	face	competitor	forget	34	4	64	16	64	116	194.736	19
199.992	2.000	remember	0.353	updating	restudy	1	scene	face	object	target	scene	competitor	forget	35	4	38	110	262	38	199.977	18
204.591	2.000	remember	0.450	updating	restudy	2	scene	object	face	target	scene	other	forget	36	4	88	136	288	140	204.585	20
210.374	2.000	remember	0.739	updating	retprac	2	face	object	scene	target	face	competitor	forget	37	4	61	13	61	113	210.367	10
215.091	2.000	forget	0.807	updating	retprac	2	object	scene	face	other	face	other	forget	38	4	135	87	187	239	215.072	4
220.190	2.000	remember	0.530	updating	restudy	2	object	scene	face	target	object	target	remember	39	4	134	86	186	238	220.177	16
224.773	2.000	forget	0.684	updating	retprac	2	scene	object	face	other	face	other	forget	40	4	87	135	287	139	224.759	3
234.006	2.000	remember	0.475	updating	retprac	2	face	scene	object	target	face	other	forget	41	4	109	37	85	213	233.984	6
240.505	2.000	remember	0.351	updating	restudy	3	face	object	scene	target	face	target	remember	42	4	62	14	62	114	240.484	13
249.221	2.000	remember	0.347	updating	restudy	2	object	scene	face	target	object	competitor	forget	43	4	136	88	188	240	249.200	24
254.320	2.000	remember	0.455	updating	restudy	2	object	face	scene	target	object	competitor	forget	44	4	14	62	162	14	254.296	14
259.903	2.000	forget	0.512	updating	retprac	2	scene	object	face	other	face	competitor	forget	45	4	85	133	285	137	259.881	5
264.503	2.000	remember	0.289	updating	restudy	3	face	scene	object	target	face	competitor	forget	46	4	112	40	88	216	264.491	23
269.186	2.000	remember	0.414	updating	retprac	3	object	face	scene	target	object	no response	no response	47	4	15	63	163	15	269.167	12
273.769	2.000	remember	0.278	updating	retprac	3	object	scene	face	target	object	competitor	forget	48	4	133	85	185	237	273.747	2
278.585	2.000	remember	0.302	updating	restudy	2	scene	face	object	target	scene	competitor	forget	49	4	40	112	264	40	278.566	15
288.284	2.000	remember	0.323	updating	retprac	2	scene	face	object	target	scene	competitor	forget	50	4	37	109	261	37	288.268	9
293.950	2.000	remember	0.304	updating	restudy	3	face	object	scene	target	face	competitor	forget	51	4	64	16	64	116	293.938	19
298.717	2.000	remember	0.546	updating	restudy	3	object	scene	face	target	object	target	remember	52	4	134	86	186	238	298.694	16
308.932	2.000	remember	0.450	updating	restudy	2	scene	face	object	target	scene	competitor	forget	53	4	38	110	262	38	308.909	18
315.348	2.000	remember	0.673	updating	retprac	2	face	object	scene	target	face	target	remember	54	4	63	15	63	115	315.341	11
321.431	2.000	remember	0.431	updating	retprac	3	face	scene	object	target	face	no response	no response	55	4	111	39	87	215	321.424	1
327.264	2.000	remember	0.534	updating	retprac	3	object	face	scene	target	object	other	forget	56	4	13	61	161	13	327.250	8
332.030	2.000	forget	0.335	updating	retprac	3	scene	face	object	competitor	face	competitor	forget	57	4	39	111	263	39	332.005	7
336.813	2.000	remember	0.088	updating	restudy	3	object	scene	face	target	object	competitor	forget	58	4	136	88	188	240	336.799	24
341.596	2.000	remember	0.321	updating	retprac	3	face	object	scene	target	face	competitor	forget	59	4	61	13	61	113	341.586	10
348.812	2.000	forget	0.329	updating	retprac	3	scene	object	face	competitor	object	competitor	forget	60	4	85	133	285	137	348.797	5
354.295	2.000	remember	0.350	updating	restudy	3	object	face	scene	target	object	competitor	forget	61	4	14	62	162	14	354.274	14
362.511	2.000	remember	0.382	updating	restudy	3	scene	face	object	target	scene	competitor	forget	62	4	40	112	264	40	362.490	15
367.777	2.000	remember	0.427	updating	retprac	3	face	scene	object	target	face	other	forget	63	4	109	37	85	213	367.756	6
374.126	2.000	remember	0.350	updating	restudy	3	scene	object	face	target	scene	other	forget	64	4	86	134	286	138	374.103	17
378.793	2.000	remember	0.332	updating	retprac	3	scene	face	object	target	scene	competitor	forget	65	4	37	109	261	37	378.781	9
385.842	2.000	forget	0.386	updating	retprac	3	object	scene	face	other	face	other	forget	66	4	135	87	187	239	385.824	4
391.758	2.000	remember	0.437	updating	restudy	3	face	scene	object	target	face	competitor	forget	67	4	110	38	86	214	391.738	22
400.041	2.000	remember	0.371	updating	restudy	3	object	face	scene	target	object	competitor	forget	68	4	16	64	164	16	400.026	21
404.757	2.000	remember	0.430	updating	restudy	3	scene	face	object	target	scene	competitor	forget	69	4	38	110	262	38	404.732	18
409.373	2.000	forget	0.382	updating	retprac	3	scene	object	face	other	face	other	forget	70	4	87	135	287	139	409.363	3
418.672	2.000	remember	0.915	updating	restudy	3	scene	object	face	target	scene	other	forget	71	4	88	136	288	140	418.649	20
427.255	2.000	remember	0.411	updating	retprac	3	face	object	scene	target	face	target	remember	72	4	63	15	63	115	427.246	11
