onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.72	6	1	1
6.001	2.5	0	3	2.66	6	1	2
11.001	2.5	0	3	2.8	8	2	1
16.001	2.5	0	3	2.96	8	2	2
31.001	2.5	0	3	2.76	9	2	1
36.001	2.5	0	3	3.29	9	2	2
41.001	2.5	0	3	2.87	7	2	1
46.001	2.5	0	3	2.76	7	2	2
61.002	2.5	0	3	2.65	11	2	1
66.001	2.5	0	3	2.12	11	2	2
71.001	2.5	0	3	2.66	5	1	1
76.001	2.5	0	3	2.89	5	1	2
81.001	2.5	0	3	2.73	9	2	1
86.001	2.5	0	3	3.11	9	2	2
91.001	2.5	1	0	2.49	3	1	1
96.001	2.5	0	3	2.7	3	1	2
101.001	2.5	0	3	2.38	4	1	1
106.001	2.5	0	3	2.47	4	1	2
111.001	2.5	0	3	2.56	2	1	1
116.001	2.5	0	3	2.63	2	1	2
121.001	2.5	0	3	3.23	7	2	1
126.001	2.5	0	3	2.69	7	2	2
131.001	2.5	0	3	2.38	4	1	1
136.001	2.5	0	3	2.46	4	1	2
141.001	2.5	0	3	2.51	12	2	1
146.001	2.5	0	3	2.58	12	2	2
151.001	2.5	0	3	2.51	3	1	1
156.001	2.5	0	3	2.49	3	1	2
171.001	2.5	0	3	2.67	2	1	1
176.001	2.5	0	3	2.46	2	1	2
181.001	2.5	0	3	2.54	10	2	1
186.001	2.5	0	3	2.63	10	2	2
191.001	2.5	0	3	2.5	12	2	1
196.001	2.5	0	3	2.59	12	2	2
201.001	2.5	0	3	2.5	1	1	1
206.001	2.5	0	3	2.38	1	1	2
211.001	2.5	0	3	2.73	7	2	1
216.001	2.5	0	3	2.73	7	2	2
221.001	2.5	0	3	2.44	3	1	1
226.002	2.5	0	3	2.59	3	1	2
231.002	2.5	0	3	2.82	11	2	1
236.001	2.5	0	3	2.73	11	2	2
241.001	2.5	0	3	2.69	10	2	1
246.001	2.5	0	3	2.67	10	2	2
251.001	2.5	0	3	2.42	9	2	1
256.001	2.5	0	3	2.48	9	2	2
261.001	2.5	0	3	2.55	12	2	1
266.001	2.5	0	3	2.64	12	2	2
271.001	2.5	0	3	2.56	8	2	1
276.001	2.5	0	3	2.73	8	2	2
281.001	2.5	0	3	2.56	6	1	1
286.001	2.5	0	3	2.66	6	1	2
291.002	2.5	0	3	2.49	2	1	1
296.001	2.5	0	3	2.62	2	1	2
301.001	2.5	0	3	2.52	8	2	1
306.001	2.5	0	3	2.7	8	2	2
311	2.5	0	3	2.43	11	2	1
316.001	2.5	0	3	2.57	11	2	2
321.001	2.5	1	0	2.77	1	1	1
326.001	2.5	0	3	2.51	1	1	2
331.001	2.5	0	3	2.47	10	2	1
336.001	2.5	0	3	2.51	10	2	2
341.001	2.5	0	3	2.47	5	1	1
346.001	2.5	0	3	2.49	5	1	2
351.001	2.5	0	3	2.48	1	1	1
356.001	2.5	0	3	2.45	1	1	2
371.001	2.5	0	3	2.42	4	1	1
376.001	2.5	0	3	2.52	4	1	2
391.001	2.5	0	3	2.42	5	1	1
396	2.5	0	3	2.58	5	1	2
401.001	2.5	0	3	2.69	6	1	1
406.001	2.5	0	3	2.76	6	1	2
