onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0	6.0	active_change	miss	n/a	n/a
20.0	6.0	active_change	miss	n/a	n/a
26.0	6.0	active_nochange	incorrect	0.886099999999999	right
36.0	6.0	passive	miss	n/a	n/a
42.0	6.0	active_change	correct	0.6736000000000004	right
52.0	6.0	active_nochange	incorrect	0.996299999999998	right
60.0	6.0	active_change	correct	0.754099999999994	right
66.0	6.0	active_nochange	incorrect	0.24989999999999668	right
72.0	6.0	active_change	correct	0.8406999999999982	right
78.0	6.0	active_change	correct	0.49049999999999727	right
86.0	6.0	active_nochange	correct	0.8673000000000002	left
92.0	6.0	active_nochange	correct	0.295100000000005	left
100.0	6.0	active_nochange	incorrect	0.39390000000000214	right
106.0	6.0	passive	miss	n/a	n/a
112.0	6.0	active_change	correct	0.6694999999999993	right
118.0	6.0	active_nochange	incorrect	0.9823999999999984	right
126.0	6.0	passive	miss	n/a	n/a
134.0	6.0	active_nochange	incorrect	0.217899999999986	right
140.0	6.0	active_nochange	miss	n/a	n/a
150.0	6.0	active_nochange	correct	0.7643999999999949	left
156.0	6.0	passive	miss	n/a	n/a
162.0	6.0	passive	n/a	0.7621000000000038	left
172.0	6.0	active_change	correct	0.22880000000000678	right
180.0	6.0	active_change	correct	0.977499999999992	right
188.0	6.0	active_nochange	miss	n/a	n/a
194.0	6.0	active_change	correct	0.6540999999999997	right
204.0	6.0	passive	n/a	0.7658000000000129	left
210.0	6.0	active_nochange	miss	n/a	n/a
216.0	6.0	active_change	correct	0.758499999999998	right
222.0	6.0	active_change	miss	n/a	n/a
228.0	6.0	active_nochange	miss	n/a	n/a
238.0	6.0	active_change	correct	0.892799999999994	right
244.0	6.0	active_change	correct	0.6625999999999976	right
252.0	6.0	active_change	miss	n/a	n/a
258.0	6.0	active_change	correct	0.09629999999998518	right
264.0	6.0	active_nochange	incorrect	0.12810000000001764	right
272.0	6.0	passive	n/a	0.5808000000000106	left
280.0	6.0	passive	miss	n/a	n/a
296.0	6.0	active_nochange	incorrect	0.23120000000000118	right
302.0	6.0	active_nochange	miss	n/a	n/a
