onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	2.81652084199595	0111111111.jpg	2	0	1	0	0.000499559604881015	0.836292114684976
14	5	1	2.09760429902235	1010111111.jpg	1	1	2	1	1.99999964144231	1.05295362443287
26	5	2	1.49282174001564	0000000011.jpg	2	1	8	0	1.99999964144227	1.05295410545163
38	5	2	1.50372597901151	0001001111.jpg	2	1	5	0	1.99999964144227	1.05295326231191
50	5	2	1.38771285500843	0000000111.jpg	2	1	7	0	1.99999964144227	1.05295394927693
62	5	1	2.09491374099161	1101011111.jpg	2	0	2	0	2.72138554862761e-08	0.4602429749417
74	5	1	NaN	1101101111.jpg	NaN	0	2	1	1.99999964144231	0.833334307916738
86	5	1	1.12579670798732	1111110011.jpg	1	1	2	1	1.99999964144231	1.05295361582511
98	5	1	1.60097947201575	1110111011.jpg	1	1	2	0	1.99999964144229	1.05295359576359
110	5	2	1.46050652299891	1000100011.jpg	2	1	6	1	1.99999964144231	0.833335019944475
122	5	2	1.59136281101382	0101010011.jpg	2	1	5	0	0.000108951365728977	0.475768902326161
134	5	2	1.78769766000914	0000011011.jpg	1	0	6	0	0.000108951365728976	0.47576892111478
146	5	2	1.26309650798794	1000000011.jpg	2	1	7	0	0.000499559604881015	0.836292114684976
158	5	1	1.52917686000001	1111111111.jpg	1	1	0	0	1.99999964144227	1.05295410545163
170	5	2	1.10145016998285	0101000011.jpg	2	1	6	1	1.99999964144231	1.05295362443287
182	5	2	1.50425538400305	1000001011.jpg	2	1	6	0	0.000499559604881014	0.836291868829569
194	5	2	1.01993918500375	0000001111.jpg	2	1	6	1	1.99999964144231	1.05295361582511
206	5	1	1.52612693302217	0111011111.jpg	1	1	2	1	1.99999964144231	0.833335019944475
218	5	1	1.16991204800433	0100111111.jpg	2	0	3	0	2.72138554862761e-08	0.475261220745019
230	5	2	0.980215754010715	0010010011.jpg	1	0	6	1	1.99999964144231	0.833334307916738
242	5	1	2.17716998100514	1011111111.jpg	1	1	1	0	1.99999964144227	1.05295397794622
254	5	1	1.75700274700648	1110001111.jpg	2	0	3	0	2.72138554862761e-08	0.475261253747653
