onset	duration	trial_type	response_time	stim_file
6.0184	2.9999	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
12.052	2.9999.1	animal4r5ext_st	N/A	animal4r5ext_st.mat
15.068	3	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
21.102	2.9999.2	face5r2ext_st	N/A	face5r2ext_st.mat
24.118	3.1	face2r5ext_st	N/A	face2r5ext_st.mat
27.135	3.0001	animal4r3ext_st	N/A	animal4r3ext_st.mat
30.152	3.0001.1	animal1r1ext_st	N/A	animal1r1ext_st.mat
33.168	3.0001.2	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
36.185	3.2	animal5r1ext_st	N/A	animal5r1ext_st.mat
42.218	2.9998	animal2r5ext_st	N/A	animal2r5ext_st.mat
45.235	3.0001.3	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
51.268	3.3	animal2r1ext_st	N/A	animal2r1ext_st.mat
54.285	3.4	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
57.301	3.0001.4	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
60.318	3.0001.5	animal1r2ext_st	N/A	animal1r2ext_st.mat
66.352	2.9999.3	face5r5ext_st	N/A	face5r5ext_st.mat
72.385	3.5	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
78.418	2.9999.4	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
81.435	3.6	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
84.451	3.7	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
87.468	3.8	animal1r5ext_st	N/A	animal1r5ext_st.mat
90.485	3.0001.6	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
93.501	3.9	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
96.518	3.0001.7	face4r5ext_st	N/A	face4r5ext_st.mat
99.535	3.0001.8	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
102.55	3.10	face3r5ext_st	N/A	face3r5ext_st.mat
105.57	3.11	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
108.58	3.12	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
111.6	3.13	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
114.62	3.14	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
117.63	3.0001.9	animal3r2ext_st	N/A	animal3r2ext_st.mat
