onset	duration	task-type
 12.3591	6	csi1
 22.5465	6	asj1
 32.7240	6	amj1
 44.9155	6	keys_s
 57.0226	6	lsi1
 69.2119	6	ali1
 87.4206	6	cookie_l
 97.5417	6	lli1
113.1888	6	socks_m
125.3094	6	ksi1
143.4926	6	llj1
153.7042	6	socks_s
167.8007	6	kmi1
183.9683	6	lsj1
196.1854	6	cookie_m
210.3065	6	kmj1
220.4895	6	lmi1
236.7031	6	pipe_l
250.8061	6	ksj1
266.9686	6	cmj1
279.1454	6	pipe_m
289.2657	6	ami1
301.4536	6	cmi1
315.6347	6	csj1
331.8503	6	keys_l
343.9683	6	lmj1
356.1511	6	clj1
372.3668	6	pipe_s
386.4604	6	kli1
404.6452	6	cookie_s
414.7727	6	asi1
430.9846	6	alj1
447.1826	6	keys_m
459.3025	6	cli1
473.4501	6	klj1
485.6470	6	socks_l
