onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.015	Etrue	1	0.553	2 x 3 =	6
4.015	4.015	Etrue	1	0.527	4 x 3 =	12
8.03	4.015000000000001	Etrue	1	0.598	3 x 4 =	12
12.045	4.016	Htrue	1	0.768	6 x 7 =	42
16.061	4.015000000000001	control	1	1.471	n/a	BLUEbox.bmp
20.076	4.814999999999998	Hfalse	0	0.867	8 x 9 =	63
24.891	4.015000000000001	Htrue	0	0.922	9 x 8 =	72
28.906	4.015999999999998	Htrue	1	1.02	6 x 9 =	54
32.922	4.215000000000003	control	1	1.519	n/a	BLUEbox.bmp
37.137	4.015000000000001	Etrue	1	0.439	3 x 5 =	15
41.152	4.015000000000001	Efalse	1	1.033	3 x 2 =	8
45.167	4.814999999999998	control	1	1.403	n/a	BLUEbox.bmp
49.982	4.814999999999998	Htrue	1	0.892	8 x 6 =	48
54.797	4.814999999999998	Htrue	1	0.829	8 x 9 =	72
59.611999999999995	4.814999999999998	Efalse	1	0.678	3 x 4 =	8
64.42699999999999	4.016000000000005	control	1	1.544	n/a	BLUEbox.bmp
68.443	4.814999999999998	control	1	1.436	n/a	BLUEbox.bmp
73.258	4.015000000000001	Htrue	1	0.612	6 x 7 =	42
77.273	4.015000000000001	Efalse	1	0.813	5 x 4 =	16
81.288	4.016000000000005	control	1	1.544	n/a	BLUEbox.bmp
85.304	4.814999999999998	Htrue	0	n/a	7 x 8 =	56
90.119	4.414999999999992	Etrue	1	0.673	5 x 3 =	15
94.53399999999999	4.814999999999998	Etrue	1	0.55	2 x 3 =	6
99.34899999999999	4.415000000000006	Etrue	1	0.589	5 x 3 =	15
103.764	4.015000000000001	Hfalse	0	0.929	9 x 6 =	48
107.779	4.415000000000006	Etrue	1	0.498	2 x 5 =	10
112.194	4.415999999999997	control	1	1.689	n/a	BLUEbox.bmp
116.61	4.415000000000006	Etrue	1	0.603	4 x 5 =	20
121.025	4.414999999999992	control	1	1.475	n/a	BLUEbox.bmp
125.44	4.414999999999992	control	1	1.372	n/a	BLUEbox.bmp
129.855	4.4150000000000205	Efalse	1	0.63	3 x 5 =	10
134.27	4.414999999999992	Hfalse	0	0.968	9 x 8 =	64
138.685	4.415999999999997	control	1	1.418	n/a	BLUEbox.bmp
143.101	4.414999999999992	Htrue	1	1.186	7 x 9 =	63
147.516	4.815000000000026	Htrue	1	0.68	7 x 8 =	56
152.33100000000002	4.614999999999981	Hfalse	1	0.92	6 x 9 =	45
156.946	4.414999999999992	Htrue	1	0.832	6 x 8 =	48
161.361	4.414999999999992	Hfalse	0	0.692	8 x 7 =	63
165.77599999999998	4.814999999999998	control	0	n/a	n/a	BLUEbox.bmp
170.59099999999998	4.814999999999998	Etrue	1	1.03	2 x 4 =	8
175.40599999999998	4.814999999999998	Etrue	1	0.943	4 x 3 =	12
180.22099999999998	4.814999999999998	Hfalse	0	0.782	9 x 7 =	56
185.03599999999997	4.815000000000026	Efalse	0	0.758	5 x 3 =	12
189.851	4.414999999999992	Efalse	1	0.635	5 x 2 =	12
194.266	4.814999999999998	Etrue	1	0.489	4 x 2 =	8
199.081	4.814999999999998	control	1	1.369	n/a	BLUEbox.bmp
203.896	4.416000000000025	Htrue	1	1.009	8 x 7 =	56
208.312	4.4	Htrue	1	0.85	6 x 8 =	48
