onset	duration	value	sample
0.082	0.0	92	82
1.368	0.0	91	1368
1.844	0.0	94	1844
3.142	0.0	9	3142
3.253	0.0	92	3253
4.539	0.0	3	4539
4.655	0.0	92	4655
19.592	0.0	2	19592
19.708	0.0	92	19708
20.994	0.0	2	20994
21.111	0.0	92	21111
22.396	0.0	3	22396
22.513	0.0	92	22513
23.799	0.0	5	23799
23.915	0.0	92	23915
25.2	0.0	6	25200
25.316	0.0	92	25316
26.602	0.0	91	26602
27.896	0.0	93	27896
29.189	0.0	9	29189
29.304	0.0	92	29304
30.591	0.0	6	30591
30.707	0.0	92	30707
31.993	0.0	2	31993
32.108	0.0	92	32108
33.395	0.0	7	33395
33.511	0.0	92	33511
34.796	0.0	91	34796
35.596	0.0	94	35596
36.916	0.0	5	36916
37.032	0.0	92	37032
38.318	0.0	7	38318
38.434	0.0	92	38434
39.721	0.0	6	39721
39.836	0.0	92	39836
41.121	0.0	91	41121
41.88	0.0	94	41880
43.191	0.0	9	43191
43.307	0.0	92	43307
44.593	0.0	10	44593
44.708	0.0	92	44708
45.995	0.0	4	45995
46.11	0.0	92	46110
47.397	0.0	5	47397
47.513	0.0	92	47513
48.801	0.0	91	48801
49.456	0.0	94	49456
50.751	0.0	1	50751
50.868	0.0	92	50868
52.155	0.0	10	52155
52.27	0.0	92	52270
53.555	0.0	3	53555
53.671	0.0	92	53671
54.959	0.0	7	54959
55.073	0.0	92	55073
56.359	0.0	91	56359
56.731	0.0	94	56731
58.044	0.0	10	58044
58.16	0.0	92	58160
59.446	0.0	10	59446
59.563	0.0	92	59563
60.848	0.0	10	60848
60.965	0.0	92	60965
62.251	0.0	8	62251
62.366	0.0	92	62366
63.653	0.0	4	63653
63.768	0.0	92	63768
65.054	0.0	91	65054
65.737	0.0	94	65737
67.057	0.0	10	67057
67.172	0.0	92	67172
68.459	0.0	3	68459
68.575	0.0	92	68575
69.861	0.0	6	69861
69.977	0.0	92	69977
71.262	0.0	1	71262
71.378	0.0	92	71378
72.665	0.0	2	72665
72.781	0.0	92	72781
74.068	0.0	91	74068
74.485	0.0	93	74485
75.785	0.0	9	75785
75.901	0.0	92	75901
77.187	0.0	9	77187
77.303	0.0	92	77303
78.59	0.0	5	78590
78.705	0.0	92	78705
79.991	0.0	5	79991
80.107	0.0	92	80107
81.393	0.0	91	81393
82.103	0.0	93	82103
83.415	0.0	6	83415
83.529	0.0	92	83529
84.816	0.0	6	84816
84.93	0.0	92	84930
86.216	0.0	10	86216
86.331	0.0	92	86331
87.619	0.0	8	87619
87.734	0.0	92	87734
89.02	0.0	1	89020
89.136	0.0	92	89136
90.425	0.0	91	90425
90.784	0.0	94	90784
92.09	0.0	5	92090
92.206	0.0	92	92206
93.494	0.0	1	93494
93.609	0.0	92	93609
94.894	0.0	1	94894
95.011	0.0	92	95011
96.298	0.0	91	96298
97.281	0.0	93	97281
98.583	0.0	1	98583
98.699	0.0	92	98699
99.984	0.0	8	99984
100.101	0.0	92	100101
101.386	0.0	8	101386
101.503	0.0	92	101503
102.788	0.0	91	102788
103.454	0.0	93	103454
104.759	0.0	3	104759
104.874	0.0	92	104874
106.16	0.0	5	106160
106.276	0.0	92	106276
107.561	0.0	3	107561
107.677	0.0	92	107677
108.962	0.0	91	108962
109.485	0.0	94	109485
110.785	0.0	5	110785
110.899	0.0	92	110899
112.188	0.0	3	112188
112.301	0.0	92	112301
113.586	0.0	3	113586
113.702	0.0	92	113702
114.988	0.0	91	114988
115.666	0.0	94	115666
116.978	0.0	9	116978
117.09	0.0	92	117090
118.379	0.0	3	118379
118.492	0.0	92	118492
119.778	0.0	7	119778
119.894	0.0	92	119894
121.18	0.0	4	121180
121.295	0.0	92	121295
122.582	0.0	91	122582
123.274	0.0	94	123274
124.584	0.0	2	124584
124.7	0.0	92	124700
125.986	0.0	4	125986
126.102	0.0	92	126102
127.389	0.0	4	127389
127.505	0.0	92	127505
128.79	0.0	91	128790
129.25	0.0	93	129250
130.559	0.0	8	130559
130.675	0.0	92	130675
131.961	0.0	3	131961
132.076	0.0	92	132076
133.363	0.0	8	133363
133.479	0.0	92	133479
134.765	0.0	6	134765
134.881	0.0	92	134881
136.169	0.0	2	136169
136.283	0.0	92	136283
137.568	0.0	91	137568
137.896	0.0	94	137896
139.221	0.0	9	139221
139.336	0.0	92	139336
140.626	0.0	6	140626
140.739	0.0	92	140739
142.029	0.0	7	142029
142.141	0.0	92	142141
143.427	0.0	4	143427
143.543	0.0	92	143543
144.828	0.0	91	144828
145.657	0.0	94	145657
146.964	0.0	9	146964
147.08	0.0	92	147080
148.369	0.0	5	148369
148.483	0.0	92	148483
149.768	0.0	7	149768
149.885	0.0	92	149885
151.173	0.0	91	151173
154.278	0.0	7	154278
154.391	0.0	92	154391
155.68	0.0	1	155680
155.793	0.0	92	155793
157.081	0.0	4	157081
157.195	0.0	92	157195
158.497	0.0	91	158497
159.505	0.0	94	159505
160.803	0.0	6	160803
160.916	0.0	92	160916
162.204	0.0	8	162204
162.318	0.0	92	162318
163.604	0.0	8	163604
163.719	0.0	92	163719
165.006	0.0	91	165006
165.612	0.0	93	165612
166.912	0.0	10	166912
167.024	0.0	92	167024
168.31	0.0	3	168310
168.426	0.0	92	168426
169.712	0.0	2	169712
169.827	0.0	92	169827
171.115	0.0	2	171115
171.23	0.0	92	171230
172.516	0.0	91	172516
172.944	0.0	93	172944
174.251	0.0	7	174251
174.367	0.0	92	174367
175.653	0.0	8	175653
175.769	0.0	92	175769
177.057	0.0	8	177057
177.172	0.0	92	177172
178.458	0.0	91	178458
178.885	0.0	93	178885
180.21	0.0	9	180210
180.325	0.0	92	180325
181.611	0.0	6	181611
181.727	0.0	92	181727
183.014	0.0	4	183014
183.13	0.0	92	183130
184.416	0.0	4	184416
184.532	0.0	92	184532
185.817	0.0	4	185817
185.933	0.0	92	185933
187.219	0.0	91	187219
187.59	0.0	93	187590
188.888	0.0	1	188888
189.003	0.0	92	189003
190.292	0.0	7	190292
190.406	0.0	92	190406
191.692	0.0	5	191692
191.807	0.0	92	191807
193.093	0.0	91	193093
193.888	0.0	94	193888
195.213	0.0	10	195213
195.329	0.0	92	195329
196.615	0.0	9	196615
196.73	0.0	92	196730
198.017	0.0	9	198017
198.133	0.0	92	198133
199.421	0.0	1	199421
199.535	0.0	92	199535
200.837	0.0	1	200837
200.953	0.0	92	200953
202.239	0.0	91	202239
202.821	0.0	93	202821
204.142	0.0	10	204142
204.257	0.0	92	204257
205.544	0.0	2	205544
205.66	0.0	92	205660
206.948	0.0	2	206948
207.062	0.0	92	207062
208.35	0.0	91	208350
208.768	0.0	94	208768
210.083	0.0	7	210083
210.199	0.0	92	210199
227.19	0.0	5	227190
227.305	0.0	92	227305
228.591	0.0	2	228591
228.707	0.0	92	228707
229.993	0.0	5	229993
230.109	0.0	92	230109
231.395	0.0	7	231395
231.511	0.0	92	231511
232.797	0.0	1	232797
232.913	0.0	92	232913
234.201	0.0	91	234201
234.574	0.0	94	234574
235.885	0.0	1	235885
236.0	0.0	92	236000
237.286	0.0	4	237286
237.402	0.0	92	237402
238.688	0.0	9	238688
238.804	0.0	92	238804
240.091	0.0	8	240091
240.207	0.0	92	240207
241.492	0.0	8	241492
241.609	0.0	92	241609
242.896	0.0	91	242896
243.235	0.0	93	243235
244.546	0.0	6	244546
244.663	0.0	92	244663
245.951	0.0	9	245951
246.065	0.0	92	246065
247.353	0.0	2	247353
247.466	0.0	92	247466
248.754	0.0	4	248754
248.868	0.0	92	248868
250.157	0.0	91	250157
250.564	0.0	94	250564
251.873	0.0	10	251873
251.988	0.0	92	251988
253.275	0.0	6	253275
253.391	0.0	92	253391
254.679	0.0	1	254679
254.793	0.0	92	254793
256.079	0.0	91	256079
256.939	0.0	94	256939
258.253	0.0	10	258253
258.365	0.0	92	258365
259.65	0.0	10	259650
259.766	0.0	92	259766
261.055	0.0	6	261055
261.168	0.0	92	261168
262.455	0.0	4	262455
262.57	0.0	92	262570
263.858	0.0	4	263858
263.972	0.0	92	263972
265.257	0.0	91	265257
265.671	0.0	93	265671
266.993	0.0	6	266993
267.109	0.0	92	267109
268.415	0.0	10	268415
268.528	0.0	92	268528
269.817	0.0	2	269817
269.93	0.0	92	269930
271.215	0.0	2	271215
271.331	0.0	92	271331
272.617	0.0	1	272617
272.733	0.0	92	272733
274.019	0.0	91	274019
274.446	0.0	93	274446
275.755	0.0	10	275755
275.871	0.0	92	275871
277.157	0.0	7	277157
277.272	0.0	88	277272
277.273	0.0	92	277273
278.561	0.0	7	278561
278.675	0.0	92	278675
279.962	0.0	1	279962
280.077	0.0	92	280077
281.365	0.0	1	281365
281.479	0.0	92	281479
282.764	0.0	91	282764
283.697	0.0	94	283697
285.017	0.0	6	285017
285.133	0.0	92	285133
286.419	0.0	8	286419
286.535	0.0	92	286535
287.823	0.0	6	287823
287.938	0.0	92	287938
289.224	0.0	6	289224
289.34	0.0	92	289340
290.627	0.0	91	290627
291.025	0.0	93	291025
292.344	0.0	5	292344
292.46	0.0	92	292460
293.748	0.0	9	293748
293.862	0.0	92	293862
295.15	0.0	8	295150
295.264	0.0	92	295264
296.554	0.0	1	296554
296.666	0.0	92	296666
297.952	0.0	91	297952
299.065	0.0	94	299065
300.388	0.0	6	300388
300.504	0.0	92	300504
301.79	0.0	2	301790
301.907	0.0	92	301907
303.197	0.0	3	303197
303.309	0.0	92	303309
304.596	0.0	3	304596
304.71	0.0	92	304710
305.999	0.0	91	305999
307.416	0.0	93	307416
308.72	0.0	9	308720
308.833	0.0	92	308833
310.121	0.0	8	310121
310.235	0.0	92	310235
311.521	0.0	3	311521
311.636	0.0	92	311636
312.922	0.0	91	312922
313.684	0.0	94	313684
314.996	0.0	10	314996
315.108	0.0	92	315108
316.393	0.0	5	316393
316.509	0.0	92	316509
317.795	0.0	8	317795
317.911	0.0	92	317911
319.2	0.0	7	319200
319.314	0.0	92	319314
320.599	0.0	91	320599
321.195	0.0	93	321195
322.501	0.0	9	322501
322.618	0.0	92	322618
323.904	0.0	6	323904
324.02	0.0	92	324020
325.308	0.0	7	325308
