onset	duration	response_time	value	stimuli
3373	4000	2309	1	SQUIRREL.bmp
11378	4000	1612	1	PANTS.bmp   
19367	4000	1445	1	WATERING.bmp
27372	3000	1645	1	PLUG.bmp    
34377	3000	1853	1	POT.bmp     
41365	3000	1615	0	NAIL.bmp    
48370	4000	1501	1	SAW.bmp     
56376	3000	1074	1	PEAR.bmp    
63364	4000	1476	1	ROOSTER.bmp 
71369	3000	rien	0	SNAIL.bmp   
78373	3000	1713	0	SPIDER.bmp  
85362	4000	2106	1	TRUMPET.bmp 
93367	3000	1912	1	PAINTBRU.bmp
100372	4000	1167	1	GLASS.bmp   
108362	4000	1474	1	SCREW.bmp   
116366	4000	1315	0	UMBRELLA.bmp
124372	4000	1773	1	LIGHTBUL.bmp
132361	3000	1764	0	SKULL.bmp   
139365	4000	1601	1	ROCKET.bmp  
147371	3000	rien	0	WHIP.bmp    
154376	3000	1534	1	SHOE.bmp    
161364	4000	1411	1	WHEEL.bmp   
169369	3000	1277	1	HAT.bmp     
176374	4000	1395	1	STOOL.bmp   
184363	3000	1391	1	WOLF.bmp    
191368	4000	986 	1	TIE.bmp     
199372	3000	1803	1	RING.bmp    
206361	4000	2129	1	TRACTOR.bmp 
214366	3000	1390	1	MOUNTAIN.bmp
221371	4000	2497	1	ski.bmp     
229360	3000	1380	1	LEG.bmp     
236365	4000	1068	1	LAMP.bmp    
244370	3000	1137	1	HAMMER.bmp  
251358	4000	1324	0	PICTURE.bmp 
259364	4000	1159	1	RULER.bmp   
267369	3000	1519	1	LOCK.bmp    
274358	3000	1021	1	NOSE.bmp    
281362	3000	1072	1	KNIFE.bmp   
288367	4000	1008	1	MOON.bmp    
296373	3000	1121	1	LION.bmp    
303361	4000	1250	1	SNAKE.bmp   
311366	3000	2062	1	LADDER.bmp  
318370	4000	1432	1	MICROSCO.bmp
326359	4000	1865	1	SKIRT.bmp   
334365	4000	3453	1	HARP.bmp    
342370	3000	1008	1	MOTORCYC.bmp
349358	3000	1094	1	TIGER.bmp   
356363	4000	1257	1	TELEPHON.bmp
364369	4000	1058	1	PALMTREE.bmp
372358	3000	rien	0	WEATHERV.bmp
379363	4000	1111	1	NECKLACE.bmp
387368	3000	1538	1	SHIRT.bmp   
394356	4000	1761	1	SYRINGE.bmp 
402362	3000	1164	1	RAT.bmp     
409367	3000	1200	1	Scale.bmp   
416355	3000	1574	1	OSTRICH.bmp 
423359	4000	1409	1	WELL.bmp    
431365	4000	rien	0	PLIERS.bmp  
439353	3000	2036	1	CIGARETT.bmp
446358	4000	3200	0	PELICAN.bmp 
454363	3000	2186	1	SWAN.bmp    
461353	3000	1432	1	PIPE.bmp    
468356	3000	2087	0	HARMONIC.bmp
475361	3000	1269	1	ZEBRA.bmp   
482366	3000	rien	0	HYENA.bmp   
489354	4000	1363	1	LADYBUG.bmp 
497360	3000	1570	1	PIANO.bmp   
504364	3000	1366	0	NAILFILE.bmp
511353	4000	1220	1	WINDOW.bmp  
519358	4000	1392	1	VASE.bmp    
527364	3000	1139	1	SOCK.bmp    
534352	3000	1108	1	PEACOCK.bmp 
541357	4000	890 	1	RABBIT.bmp  
549361	4000	1297	1	MONKEY.bmp  
