onset	duration	trial_type	response_time
30.804	11.2	n/a	9.431
45.202	11.2	n/a	9.864
58.417	11.2	n/a	9.98699999999999
70.415	11.2	n/a	9.32499999999999
83.613	11.2	n/a	9.824
98.01	11.2	n/a	9.753
112.408	11.2	low	9.574
125.606	11.2	n/a	n/a
140.004	11.2	low	9.36000000000001
152.002	11.2	n/a	9.61699999999999
164.017	11.2	n/a	10.084
178.414	11.2	n/a	10.599
190.412	11.2	n/a	9.55500000000001
202.41	11.2	n/a	10.12
215.608	11.2	high	9.32399999999998
258.802	11.2	n/a	9.49899999999997
272.016	11.2	n/a	9.49599999999998
284.014	11.2	n/a	9.50599999999997
297.212	11.2	n/a	10.25
310.41	11.2	n/a	9.40299999999996
324.808	11.2	n/a	9.964
339.205	11.2	n/a	9.62900000000002
351.204	11.2	n/a	9.45799999999997
365.601	11.2	n/a	9.78500000000003
380.016	11.2	high	9.40899999999999
392.014	11.2	low	9.82299999999998
405.212	11.2	n/a	9.44
417.21	11.2	n/a	9.87100000000004
430.408	11.2	n/a	10.072
442.406	11.2	low	9.53100000000001
486.815	11.2	low	9.56999999999999
498.813	11.2	n/a	9.94100000000003
512.011	11.2	n/a	9.76100000000008
526.409	11.2	high	10.215
539.607	11.2	n/a	9.48700000000008
552.805	11.2	n/a	10.346
567.203	11.2	n/a	9.71900000000005
581.617	11.2	low	10.071
593.615	11.2	n/a	10.527
606.813	11.2	n/a	9.69399999999996
618.811	11.2	n/a	9.38400000000001
633.209	11.2	n/a	9.61900000000003
647.607	11.2	n/a	10.051
659.605	11.2	n/a	9.49599999999998
671.603	11.2	n/a	9.91500000000008
