onset	duration	trial_type
30.723	2.7	n/a
34.323	2.7	low
40.322	2.7	high
45.121	2.7	low
49.92	2.7	low
55.919	2.7	low
59.519	2.7	low
65.518	2.7	low
70.317	2.7	high
76.316	2.7	low
81.115	2.7	low
84.715	2.7	low
88.314	2.7	n/a
91.93	2.7	high
96.729	2.7	low
100.329	2.7	n/a
106.328	2.7	low
112.327	2.7	high
117.126	2.7	n/a
123.125	2.7	low
127.924	2.7	low
131.524	2.7	low
136.323	2.7	n/a
142.322	2.7	n/a
145.922	2.7	low
150.721	2.7	high
154.32	2.7	high
160.319	2.7	n/a
165.119	2.7	n/a
169.918	2.7	n/a
173.517	2.7	n/a
179.516	2.7	low
183.116	2.7	low
187.915	2.7	n/a
193.914	2.7	low
199.93	2.7	n/a
233.524	2.7	low
239.523	2.7	low
244.323	2.7	n/a
247.922	2.7	low
252.721	2.7	low
256.321	2.7	low
262.32	2.7	low
268.319	2.7	low
273.118	2.7	n/a
276.718	2.7	low
280.317	2.7	high
285.116	2.7	high
291.115	2.7	high
294.715	2.7	n/a
298.314	2.7	n/a
304.33	2.7	low
309.129	2.7	n/a
313.928	2.7	n/a
319.927	2.7	high
323.527	2.7	low
328.326	2.7	low
334.325	2.7	n/a
339.124	2.7	low
345.123	2.7	low
348.723	2.7	n/a
354.722	2.7	n/a
360.721	2.7	n/a
366.72	2.7	n/a
370.319	2.7	n/a
375.119	2.7	low
378.718	2.7	high
384.717	2.7	low
388.317	2.7	low
393.116	2.7	low
397.915	2.7	low
402.714	2.7	high
436.326	2.7	low
439.925	2.7	high
443.524	2.7	high
449.523	2.7	n/a
454.323	2.7	n/a
460.322	2.7	low
465.121	2.7	n/a
468.72	2.7	low
472.32	2.7	n/a
477.119	2.7	n/a
483.118	2.7	low
489.117	2.7	n/a
493.916	2.7	low
498.716	2.7	n/a
503.515	2.7	n/a
507.114	2.7	low
511.914	2.7	high
515.53	2.7	n/a
521.529	2.7	low
527.528	2.7	low
532.327	2.7	low
538.326	2.7	high
541.925	2.7	low
545.525	2.7	high
551.524	2.7	low
555.123	2.7	low
559.923	2.7	low
564.722	2.7	high
570.721	2.7	n/a
574.32	2.7	low
579.12	2.7	n/a
583.919	2.7	n/a
587.518	2.7	low
591.118	2.7	low
597.117	2.7	low
603.116	2.7	low
