onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0123	1.6343999999999994	control	1.6343999999999994	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0206	3.793899999999999	control	3.793899999999999	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0288	1.845600000000001	control	1.845600000000001	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.037	0.8923000000000023	control	0.8923000000000023	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0453	1.253899999999998	control	1.253899999999998	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0535	0.9705000000000013	control	0.9705000000000013	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
40.0617	1.2701999999999956	emotion	1.2701999999999956	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0699	2.6909000000000063	emotion	2.6909000000000063	right	correct	n/a	male	black	black	black	anger
50.0782	1.7813999999999979	emotion	1.7813999999999979	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0864	1.4341000000000008	emotion	1.4341000000000008	left	correct	n/a	male	black	black	black	fear
60.0946	2.1708	emotion	2.1708	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1029	1.6772999999999882	emotion	1.6772999999999882	right	correct	n/a	female	asian	black	asian	fear
70.1111	0.9250000000000114	control	0.9250000000000114	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
75.1193	1.2287000000000035	control	1.2287000000000035	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1276	1.0373000000000019	control	1.0373000000000019	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
85.1358	0.6508999999999929	control	0.6508999999999929	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.144	1.0405999999999977	control	1.0405999999999977	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1523	1.161200000000008	control	1.161200000000008	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
100.1605	1.8427999999999969	emotion	1.8427999999999969	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1687	1.8455000000000013	emotion	1.8455000000000013	left	correct	n/a	male	black	black	black	anger
110.177	1.3100999999999914	emotion	1.3100999999999914	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1852	1.4357000000000113	emotion	1.4357000000000113	right	correct	n/a	male	black	black	black	fear
120.1934	1.3504000000000076	emotion	1.3504000000000076	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2017	1.8739999999999952	emotion	1.8739999999999952	left	correct	n/a	female	asian	black	asian	anger
130.2099	1.427599999999984	control	1.427599999999984	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2181	1.432299999999998	control	1.432299999999998	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2263	0.921999999999997	control	0.921999999999997	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2346	1.2755999999999972	control	1.2755999999999972	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.2428	1.1572000000000173	control	1.1572000000000173	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.251	0.8928999999999974	control	0.8928999999999974	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2593	1.3745000000000118	emotion	1.3745000000000118	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2675	1.341099999999983	emotion	1.341099999999983	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2757	2.301700000000011	emotion	2.301700000000011	right	correct	n/a	male	black	black	black	anger
175.284	1.5974000000000217	emotion	1.5974000000000217	left	correct	n/a	female	black	asian	asian	anger
180.2922	1.3349999999999795	emotion	1.3349999999999795	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3004	1.5217000000000098	emotion	1.5217000000000098	right	correct	n/a	female	asian	asian	black	fear
190.3087	1.0103000000000009	control	1.0103000000000009	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3169	0.8819000000000017	control	0.8819000000000017	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3251	0.9026000000000067	control	0.9026000000000067	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3333	0.719300000000004	control	0.719300000000004	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3416	1.0808000000000106	control	1.0808000000000106	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3498	0.7735000000000127	control	0.7735000000000127	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.358	1.630200000000002	emotion	1.630200000000002	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3663	1.7907000000000153	emotion	1.7907000000000153	left	correct	n/a	female	black	asian	asian	fear
230.3745	2.053399999999982	emotion	2.053399999999982	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3827	1.5920999999999879	emotion	1.5920999999999879	left	correct	n/a	male	black	black	black	fear
240.391	1.9196000000000026	emotion	1.9196000000000026	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3992	1.5173000000000059	emotion	1.5173000000000059	right	correct	n/a	female	asian	asian	black	anger
